
[00:00:00.000 --> 00:00:04.880]  我們繼續看《跨越》的系列
[00:00:04.880 --> 00:00:08.980]  上星期我們看到《士堂傳》第九章
[00:00:08.980 --> 00:00:10.760]  你記得第九章發生什麼事嗎?
[00:00:10.760 --> 00:00:11.960]  是保羅信主
[00:00:11.960 --> 00:00:14.980]  這次我們繼續看第九章的下半段
[00:00:14.980 --> 00:00:18.000]  這裡提到一個歡迎的故事
[00:00:18.000 --> 00:00:19.800]  或者一個接納的故事
[00:00:19.800 --> 00:00:22.820]  就是保羅或者素羅信了主之後
[00:00:22.820 --> 00:00:26.000]  當時的教會如何去接納他
[00:00:26.000 --> 00:00:31.600]  上一節記得保羅或者素羅是迫害教會的
[00:00:31.600 --> 00:00:35.420]  然後在大馬式的路上遇見榮耀的基督
[00:00:35.420 --> 00:00:39.420]  然後被上帝的恩典擊倒了
[00:00:39.420 --> 00:00:40.460]  他在馬上
[00:00:40.460 --> 00:00:41.660]  可能他正在騎馬
[00:00:41.660 --> 00:00:44.620]  馬上跌下來
[00:00:44.620 --> 00:00:49.960]  然後有一個懺悔和迴轉
[00:00:49.960 --> 00:00:53.120]  這裡提到他三天看不見東西
[00:00:53.120 --> 00:00:56.400]  而且不吃東西、不喝東西
[00:00:56.400 --> 00:00:58.560]  在猶太人的習慣來說
[00:00:58.560 --> 00:01:00.060]  也是一種禁食
[00:01:00.060 --> 00:01:03.960]  就是他被上帝的恩典和榮耀擊倒之後
[00:01:03.960 --> 00:01:05.360]  他願意去悔改
[00:01:05.360 --> 00:01:07.600]  有三天三夜
[00:01:07.600 --> 00:01:09.260]  他去到很深的懺悔
[00:01:09.260 --> 00:01:12.560]  並且去到反省自己
[00:01:12.560 --> 00:01:15.360]  在保羅信主的經歷裡面
[00:01:15.360 --> 00:01:18.400]  我們看到起碼每一個信主的人
[00:01:18.400 --> 00:01:21.960]  都會有一些元素
[00:01:21.960 --> 00:01:23.860]  我們每一個信主
[00:01:23.860 --> 00:01:26.260]  可能你哭了三天三夜
[00:01:26.260 --> 00:01:28.060]  或者你笑了三天三夜
[00:01:28.060 --> 00:01:33.360]  或者你像保羅那樣很戲劇性
[00:01:33.360 --> 00:01:35.060]  但起碼有兩個元素
[00:01:35.060 --> 00:01:38.760]  一定是每一個信主人的經歷有的
[00:01:38.760 --> 00:01:41.060]  你想想你信主的時候是怎樣的
[00:01:41.060 --> 00:01:43.360]  怎樣去到經歷主
[00:01:43.360 --> 00:01:46.760]  第一個元素就是與主相遇
[00:01:46.760 --> 00:01:50.760]  你跟他單對單有個個人的遇見
[00:01:50.760 --> 00:01:54.760]  每一個信主的人都應當有這樣的經歷
[00:01:54.760 --> 00:01:57.160]  無論經歷的表現是怎樣
[00:01:57.160 --> 00:01:59.360]  但起碼本質上應該是這樣
[00:01:59.360 --> 00:02:03.460]  並且第二方面就是決定的迴轉
[00:02:03.460 --> 00:02:05.360]  以前是不理會上帝的
[00:02:05.360 --> 00:02:08.460]  以前可以當上帝不在
[00:02:08.460 --> 00:02:12.360]  或者甚至是公然的去抗拒上帝
[00:02:12.360 --> 00:02:14.160]  好像保羅自己那樣
[00:02:14.160 --> 00:02:18.160]  但甘願的因為與上帝有個遇見之後
[00:02:18.160 --> 00:02:21.460]  與基督有個遇見之後甘願的去迴轉
[00:02:21.460 --> 00:02:25.860]  在我人生基本的方向上可以基督為我的主
[00:02:25.860 --> 00:02:29.660]  這是我們每一個人應該有的經歷
[00:02:29.660 --> 00:02:32.260]  你檢查一下自己的日記
[00:02:32.260 --> 00:02:35.760]  檢查一下自己信主的時候
[00:02:35.760 --> 00:02:40.760]  那個經歷是否這樣
[00:02:40.760 --> 00:02:42.860]  大家都應該有與主相遇
[00:02:42.860 --> 00:02:45.660]  並且是決定來迴轉
[00:02:45.660 --> 00:02:49.060]  這就是保羅信主的故事
[00:02:49.060 --> 00:02:54.460]  我們今天來看那個故事的繼續發展
[00:02:54.460 --> 00:02:56.260]  《九章第十節》
[00:02:56.260 --> 00:02:57.560]  這裡發生什麼事呢?
[00:02:57.560 --> 00:03:00.560]  之前在大馬式的路上
[00:03:00.560 --> 00:03:03.760]  保羅被上帝的恩典和榮耀擊倒
[00:03:03.760 --> 00:03:08.560]  然後人們就把他拖進了大馬士革
[00:03:08.560 --> 00:03:10.060]  大馬式這個地方
[00:03:10.060 --> 00:03:12.260]  《九章第十節》的故事是這樣交代的
[00:03:12.260 --> 00:03:15.160]  「那時在大馬士革有一個門徒名叫阿拿尼」
[00:03:15.160 --> 00:03:16.860]  主在異象裡面對他說
[00:03:16.860 --> 00:03:17.760]  「阿拿尼啊」
[00:03:17.760 --> 00:03:19.960]  他就說「主啊 我在這裡」
[00:03:19.960 --> 00:03:21.560]  主對他說
[00:03:21.560 --> 00:03:24.760]  「起來往那叫直街的路上」
[00:03:24.760 --> 00:03:27.860]  「在猶大的家裡面去找一個大素人」
[00:03:27.860 --> 00:03:29.160]  「叫做蘇羅」
