
[00:00:00.000 --> 00:00:05.300]  四師是近十年來神使用的青年運動
[00:00:05.300 --> 00:00:07.700]  不單要祝福年輕人
[00:00:07.700 --> 00:00:09.400]  更重要的是
[00:00:09.400 --> 00:00:14.400]  他們很想將世代之間的關係復和
[00:00:14.400 --> 00:00:17.700]  去領受《瑪麗基書》的應許
[00:00:17.700 --> 00:00:20.700]  父親的心要轉向兒女
[00:00:20.700 --> 00:00:23.400]  兒女的心要轉向父親
[00:00:23.400 --> 00:00:28.100]  我相信這是今天教會其中一個很重要要面對的應許
[00:00:28.100 --> 00:00:32.500]  因為今天我們活在一個世代撕裂的時間
[00:00:32.500 --> 00:00:35.900]  復和是很重要的
[00:00:35.900 --> 00:00:38.700]  這個撕裂不單在世代當中
[00:00:38.700 --> 00:00:41.300]  這個撕裂也在人際關係當中
[00:00:41.300 --> 00:00:44.300]  我不知道大家怎樣看民主運動
[00:00:44.300 --> 00:00:46.500]  一個不健康的副產品
[00:00:46.500 --> 00:00:50.000]  一個不健康的民主運動其實是一個分化運動
[00:00:50.000 --> 00:00:53.500]  不單止令世代之間出現分化
[00:00:53.500 --> 00:00:57.100]  不健康的民主運動也令人與人之間
[00:00:57.100 --> 00:01:00.700]  為自己各自的利益去爭取
[00:01:00.700 --> 00:01:04.700]  以至這些利益群體之間的關係
[00:01:04.700 --> 00:01:07.700]  都開始非人格化了
[00:01:07.700 --> 00:01:09.700]  不是有就是敵
[00:01:09.700 --> 00:01:14.700]  這不是耶穌要我們活的那種生命形態
[00:01:14.700 --> 00:01:16.700]  所以我們知道
[00:01:16.700 --> 00:01:19.200]  神的心意我們要去選擇
[00:01:19.200 --> 00:01:26.700]  要小心避免跌進一個對真理錯誤的應容理解
[00:01:26.700 --> 00:01:33.700]  而引致更多的不開心的傷害
[00:01:33.700 --> 00:01:39.700]  大家剛剛讀的經文13章34到35節
[00:01:39.700 --> 00:01:43.700]  耶穌告訴我們這是一條新的命令
[00:01:43.700 --> 00:01:45.700]  新的命令
[00:01:45.700 --> 00:01:47.700]  不是你可以選擇的
[00:01:47.700 --> 00:01:51.700]  是我們必須要去聽 要去做
[00:01:51.700 --> 00:01:52.700]  為什麼呢
[00:01:52.700 --> 00:01:55.700]  不是因為耶穌喜歡控制人
[00:01:55.700 --> 00:01:59.700]  因為耶穌很想我們活得更豐盛
[00:01:59.700 --> 00:02:02.700]  所以說叫你們彼此相愛
[00:02:02.700 --> 00:02:03.700]  我怎樣愛你們
[00:02:03.700 --> 00:02:06.700]  你們也要怎樣相愛
[00:02:06.700 --> 00:02:07.700]  耶穌怎樣愛我們呢
[00:02:07.700 --> 00:02:10.700]  你怎樣理解耶穌愛我們的方式
[00:02:10.700 --> 00:02:13.700]  而我們應用在我們弟兄姊妹
[00:02:13.700 --> 00:02:15.700]  甚至不只是弟兄姊妹
[00:02:15.700 --> 00:02:17.700]  愛我們的淪陷
[00:02:17.700 --> 00:02:21.700]  祂說你們若有彼此相愛的心
[00:02:21.700 --> 00:02:26.700]  聽著 是彼此相愛的心
[00:02:26.700 --> 00:02:28.700]  祂有沒有說你們已經有這個行為
[00:02:28.700 --> 00:02:29.700]  沒有
[00:02:29.700 --> 00:02:36.700]  眾人就因此認出你們是我的門徒了
[00:02:36.700 --> 00:02:41.700]  今天如果我們願意有這個心
[00:02:41.700 --> 00:02:46.700]  已經能夠被人看到我們是耶穌的門徒
[00:02:46.700 --> 00:02:49.700]  因為我們願意去跟耶穌
[00:02:49.700 --> 00:02:52.700]  很多時候聖經裡面有很多的應許
[00:02:52.700 --> 00:02:54.700]  和對我們生命的挑戰
[00:02:54.700 --> 00:02:58.700]  我們覺得 嘩 太高了
[00:02:58.700 --> 00:03:02.700]  目標太高 高到不是我們做得到的
[00:03:02.700 --> 00:03:07.700]  所以耶穌沒有說你們要有彼此相愛的行為
[00:03:07.700 --> 00:03:09.700]  人就認出你了
[00:03:09.700 --> 00:03:12.700]  是你有彼此相愛的心
[00:03:12.700 --> 00:03:15.700]  未去到行為的層面
[00:03:15.700 --> 00:03:24.700]  就可以產生一個被人認出的地步
[00:03:24.700 --> 00:03:26.700]  我在這裡侍奉了十幾個月
[00:03:26.700 --> 00:03:31.700]  就快要去到兩年之約圓滿了
[00:03:31.700 --> 00:03:35.700]  我相信柴浸是一個有愛的地方
[00:03:35.700 --> 00:03:38.700]  但是我們的愛網
[00:03:38.700 --> 00:03:43.700]  卻是有很多的破損和洞洞瀨瀨
[00:03:43.700 --> 00:03:49.700]  所以今天要重新和大家分享這個愛網重重的訊息
[00:03:49.700 --> 00:03:55.700]  因為我深信你們可以去重建這個愛網
[00:03:55.700 --> 00:03:57.700]  但是柴浸有一個好處
[00:03:57.700 --> 00:03:59.700]  也成為他的不好處
[00:03:59.700 --> 00:04:01.700]  就是我們都很勤奮
[00:04:01.700 --> 00:04:04.700]  我們都很努力
[00:04:04.700 --> 00:04:08.700]  我們很勤奮很努力去侍奉的過程裡
[00:04:08.700 --> 00:04:10.700]  我們有時候不自覺
[00:04:10.700 --> 00:04:16.700]  用力過度,用了自己的力
[00:04:16.700 --> 00:04:18.700]  以致我們越用自己的力
[00:04:18.700 --> 00:04:21.700]  用自己的方式去愛的時候
[00:04:21.700 --> 00:04:26.700]  我們的愛越產生了一種無力感
[00:04:26.700 --> 00:04:30.700]  不足,不滿足
[00:04:30.700 --> 00:04:34.700]  在這段經文裡,如果你細心去看的時候
[00:04:34.700 --> 00:04:40.700]  你要看到耶穌怎麼愛我們呢
[00:04:40.700 --> 00:04:43.700]  耶穌不是用祂的方法
[00:04:43.700 --> 00:04:45.700]  只是用祂的方法去愛
[00:04:45.700 --> 00:04:46.700]  耶穌教我們就是說
[00:04:46.700 --> 00:04:51.700]  我們要按著父要我們做的事情
[00:04:51.700 --> 00:04:54.700]  方式去愛,去愛
