
[00:00:00.000 --> 00:00:02.960]  傳統的聽衆準備 祝您平安
[00:00:02.960 --> 00:00:06.500]  我覺得特別的榮幸
[00:00:06.500 --> 00:00:10.700]  能夠在《財傳》院裡面跟大家分享
[00:00:10.700 --> 00:00:17.040]  另外一樣就是我特別是這幾天就是新冠肺炎
[00:00:17.040 --> 00:00:19.520]  就我全家都中獎了
[00:00:19.520 --> 00:00:26.720]  但是還是感恩 很特別的一種體會
[00:00:26.720 --> 00:00:31.720]  而且就跟我今天要講的也是非常貼題
[00:00:31.720 --> 00:00:34.000]  我自己先感受到了
[00:00:34.000 --> 00:00:39.900]  在下風中還怎樣能生存 怎麼能夠還繼續地服事
[00:00:39.900 --> 00:00:44.140]  在這樣的情況下
[00:00:44.140 --> 00:00:50.180]  我也想跟大家一起先用禱告來開始我們的這個訊息
[00:00:50.180 --> 00:00:51.480]  感謝我們的主
[00:00:51.480 --> 00:00:54.740]  因為你就是剛才羅博士所說的
[00:00:54.740 --> 00:00:56.420]  你坐著為王
[00:00:56.420 --> 00:00:58.520]  你掌管一切
[00:00:58.520 --> 00:01:03.020]  我們的身體靈魂你都非常清楚
[00:01:03.020 --> 00:01:05.260]  我們的需要你更清楚
[00:01:05.260 --> 00:01:09.860]  現在世界的局勢我們怎樣都看不懂
[00:01:09.860 --> 00:01:14.300]  但是只有上帝你是掌管歷史 掌管一切
[00:01:14.300 --> 00:01:18.480]  所以求求你讓我們的心完全是歸向你
[00:01:18.480 --> 00:01:20.840]  在現在很過去一個禮拜
[00:01:20.840 --> 00:01:23.080]  我們大家都經歷很多的事情
[00:01:23.080 --> 00:01:25.780]  有可能會讓我們分神
[00:01:25.780 --> 00:01:28.480]  但求求你就在這個時刻
[00:01:28.480 --> 00:01:31.720]  按進我們的心 專注於你
[00:01:31.720 --> 00:01:35.520]  因為我們唯有就是轉眼仰望耶穌
[00:01:35.520 --> 00:01:39.200]  我們才得到上帝給我們的福氣
[00:01:39.200 --> 00:01:41.700]  也求求你親自與我們同在
[00:01:41.700 --> 00:01:43.200]  聖靈感動我們的心
[00:01:43.200 --> 00:01:46.560]  讓我們能夠看明白上帝你的話語
[00:01:46.560 --> 00:01:50.780]  也能夠讓這些訊息讓我們雜心
[00:01:50.780 --> 00:01:54.480]  讓我們能夠在行動上能夠活出來
[00:01:54.480 --> 00:01:57.040]  我們感謝你的恩典 與我們同在
[00:01:57.040 --> 00:02:01.280]  我們禱告是奉主耶穌基督的名求 阿們
[00:02:01.280 --> 00:02:09.120]  好了 我就跟大家分享一下我的一些體會
[00:02:09.120 --> 00:02:13.560]  還有在這個經文當中所看見的
[00:02:13.560 --> 00:02:17.860]  上風中的使命
[00:02:17.860 --> 00:02:23.040]  還記得去年8月份來貴堂
[00:02:23.040 --> 00:02:25.280]  來分享的時候
[00:02:25.280 --> 00:02:28.980]  我就講下一站到了雅典
[00:02:28.980 --> 00:02:32.120]  我想不到到這個下一站之前
[00:02:32.120 --> 00:02:35.920]  我還要再講一講這個站之前的一站
[00:02:35.920 --> 00:02:41.520]  就在貼沙多尼加的教會
[00:02:41.520 --> 00:02:44.920]  其實如果在《使徒行傳》
[00:02:44.920 --> 00:02:46.800]  就是在17章
[00:02:46.800 --> 00:02:49.860]  因為上一次我講雅典的時候就17章
[00:02:49.860 --> 00:02:54.040]  現在我們就回到17章的開頭那裡
[00:02:54.040 --> 00:02:59.040]  就是蔣素保羅在第二次旅行步道的時候
[00:02:59.040 --> 00:03:03.540]  就去了這個貼沙多尼加教會
[00:03:03.540 --> 00:03:08.020]  究竟是什麼呢 待會我們再進去
[00:03:08.020 --> 00:03:10.620]  剛才羅姆士也說了
[00:03:10.620 --> 00:03:13.460]  這個下風中現在都是
[00:03:13.460 --> 00:03:15.620]  在我們這個宣教世界裡面
[00:03:15.620 --> 00:03:18.260]  如果我們想拆船
