
[00:00:00.000 --> 00:00:09.260]  感謝各位都有身心健康來到神的殿裡敬拜神
[00:00:09.260 --> 00:00:21.780]  這個是今天講到有關以色列的地圖
[00:00:26.360 --> 00:00:31.860]  大家看到主前931年
[00:00:31.860 --> 00:00:39.580]  所羅門王國之後分裂了南國和北國
[00:00:39.580 --> 00:00:47.940]  那條線是給大家看到耶路撒冷是南國
[00:00:47.940 --> 00:00:55.080]  撒瑪利亞和聚加是北國
[00:00:55.080 --> 00:01:02.720]  他們兩個國家對婚姻的看法是不同的
[00:01:02.720 --> 00:01:11.560]  北國的猶太人是和外邦人結婚
[00:01:11.560 --> 00:01:25.500]  所以南國的猶太人是覺得他們不是那麼潔淨
[00:01:25.500 --> 00:01:30.700]  所以南國和北國的人
[00:01:30.700 --> 00:01:40.920]  大家都不是覺得大家是彼此有聯繫
[00:01:40.920 --> 00:01:45.720]  大家都不是朋友
[00:01:45.720 --> 00:01:49.040]  這個圖有三個城市
[00:01:49.040 --> 00:01:52.740]  南邊是耶路撒冷
[00:01:52.740 --> 00:02:00.040]  北邊是撒瑪利亞和聚加
[00:02:00.040 --> 00:02:13.900]  今天我們訊息的記載在約翰福音第四章那裡
[00:02:13.900 --> 00:02:18.480]  一會兒會一路一路給大家看
[00:02:18.480 --> 00:02:24.800]  究竟這個故事是講什麼
[00:02:24.800 --> 00:02:32.060]  大家看到圖上面有一個瓦割井
[00:02:32.060 --> 00:02:37.480]  是在聚加城裡面的一個井
[00:02:37.480 --> 00:02:44.880]  在這裡耶穌向陌生人傳福音
[00:02:44.880 --> 00:02:49.640]  求聖靈教導我們學習
[00:02:49.640 --> 00:02:54.240]  這個功課向陌生人傳福音
[00:02:54.240 --> 00:02:59.040]  請大家低頭祈禱
[00:02:59.040 --> 00:03:03.720]  求聖靈幫助我們聽的講的都能夠同感一力
[00:03:03.720 --> 00:03:07.760]  學習主耶穌如何向陌生人傳福音
[00:03:07.760 --> 00:03:11.760]  以致我們在這個地上活著
[00:03:11.760 --> 00:03:13.840]  榮耀主的名
[00:03:13.840 --> 00:03:15.240]  奉主耶穌的名
[00:03:15.240 --> 00:03:21.200]  阿們
[00:03:21.200 --> 00:03:31.480]  今天訊息的主題是「活水的江河」
[00:03:31.480 --> 00:03:38.160]  剛才讀的聖經那裡記載到
[00:03:38.160 --> 00:03:41.600]  耶穌說人若喝了
[00:03:41.600 --> 00:03:47.280]  就可以來我這裡喝
[00:03:47.280 --> 00:03:54.800]  信我的人可以從他的腹中
[00:03:54.800 --> 00:03:59.240]  湧活水
[00:03:59.240 --> 00:04:05.880]  流出來成為活水的江河
[00:04:05.880 --> 00:04:12.240]  未信的人可以到這個活水的江河
[00:04:12.240 --> 00:04:26.280]  信的信徒可以湧流出活水
[00:04:26.280 --> 00:04:29.760]  在撒馬尼亞城
[00:04:29.760 --> 00:04:36.840]  去到聚家這個地方有一位婦女
[00:04:36.840 --> 00:04:43.240]  聖經說這位是撒馬尼亞婦人
[00:04:43.240 --> 00:04:47.960]  她在正午最熱的時候
[00:04:47.960 --> 00:04:52.640]  獨自一個人
[00:04:52.640 --> 00:04:57.280]  走到雅閣井
[00:04:57.280 --> 00:04:59.800]  是不是一定要去雅閣井呢
[00:04:59.800 --> 00:05:02.600]  不是
[00:05:02.600 --> 00:05:06.960]  去雅閣井的途中有很多個井
[00:05:06.960 --> 00:05:09.760]  為什麼她不要去很多個井
[00:05:09.760 --> 00:05:14.200]  為什麼她獨自一人去雅閣井
[00:05:14.200 --> 00:05:17.200]  因為
[00:05:17.200 --> 00:05:21.480]  那些人覺得她是
[00:05:21.480 --> 00:05:23.520]  不正經的婦女
[00:05:23.520 --> 00:05:25.800]  道德敗壞的婦女
[00:05:25.800 --> 00:05:29.080]  他們鄙視她
[00:05:29.080 --> 00:05:37.800]  所以這位婦女不要跟其他的婦女一起
[00:05:37.800 --> 00:05:41.840]  去打水
[00:05:41.840 --> 00:05:45.360]  大家可以想像到
[00:05:45.360 --> 00:05:51.560]  如果你是這位婦女的時候
[00:05:51.560 --> 00:05:57.400]  心裡面不是很痛苦
[00:05:57.400 --> 00:06:00.480]  當你走路的時候
[00:06:00.480 --> 00:06:04.600]  你是不是覺得很孤單
[00:06:04.600 --> 00:06:15.840]  人生的道路很多時候就是這樣很孤單
[00:06:15.840 --> 00:06:20.680]  在耶路撒冷去到聚家城這段路裡面
[00:06:20.680 --> 00:06:26.280]  是耶穌在耶路撒冷附近
[00:06:26.280 --> 00:06:35.680]  一路要走到加利利附近的地方去傳福音
[00:06:35.680 --> 00:06:39.040]  耶穌走了兩天
[00:06:39.040 --> 00:06:46.200]  非常疲倦、頸渴
[00:06:46.200 --> 00:06:51.920]  但是耶穌帶著希望
[00:06:51.920 --> 00:06:56.400]  雖然疲倦、雖然頸渴
[00:06:56.400 --> 00:07:00.760]  帶著希望
[00:07:00.760 --> 00:07:07.480]  經過雅閣井
