
[00:00:00.000 --> 00:00:02.500]  今天我們看一個題目
[00:00:02.500 --> 00:00:03.800]  讓我們回轉
[00:00:03.800 --> 00:00:08.700]  你聽到這個題目就知道是整個教會的呼籲
[00:00:08.700 --> 00:00:13.580]  所以這篇經文我們也看到整個以色列
[00:00:13.580 --> 00:00:15.940]  當時那個秘魯歸回的群體
[00:00:15.940 --> 00:00:17.600]  他們一同去做這件事
[00:00:17.600 --> 00:00:21.020]  讓我們窩福堂一同被提醒
[00:00:21.020 --> 00:00:22.060]  一起努力
[00:00:22.060 --> 00:00:24.900]  我們一起回轉在神的心意裏面
[00:00:24.900 --> 00:00:29.000]  我們或多或少都會有一些罪
[00:00:29.000 --> 00:00:31.180]  或者黑暗面去面對的
[00:00:31.180 --> 00:00:33.240]  願意神帶領我們
[00:00:33.240 --> 00:00:35.760]  我們首先有個禱告
[00:00:35.760 --> 00:00:37.420]  天父多謝你給我們今天
[00:00:37.420 --> 00:00:39.760]  又可以在疫症當中
[00:00:39.760 --> 00:00:42.040]  我們可以多些人數回來
[00:00:42.040 --> 00:00:45.720]  亦都在網上請姐妹一同敬拜
[00:00:45.720 --> 00:00:46.800]  求主祢祝福
[00:00:46.800 --> 00:00:49.940]  願意這段經文去提醒我們
[00:00:49.940 --> 00:00:52.180]  讓我們一起去學習
[00:00:52.180 --> 00:00:55.780]  願意成為一個更聖潔的群體
[00:00:55.780 --> 00:00:58.560]  我們這樣祈禱奉主耶穌基督的名
[00:00:58.560 --> 00:01:00.160]  Amen
[00:01:00.160 --> 00:01:02.740]  最近我們都知道疫情很緊張
[00:01:02.740 --> 00:01:05.460]  我們覺得整個社會
[00:01:05.460 --> 00:01:07.780]  那些人的心都很多的
[00:01:07.780 --> 00:01:10.260]  有些不安的情緒
[00:01:10.260 --> 00:01:11.760]  很多時候我們都要
[00:01:11.760 --> 00:01:13.760]  目者都要關懷弟兄姐妹
[00:01:13.760 --> 00:01:17.500]  或者是社區裏面的人士
[00:01:17.500 --> 00:01:20.720]  我們目者都會受了一個訓練
[00:01:20.720 --> 00:01:23.000]  我們叫情緒緊急
[00:01:23.000 --> 00:01:23.880]  即是急救
[00:01:23.880 --> 00:01:25.340]  情緒急救訓練
[00:01:25.340 --> 00:01:28.980]  學習一些情緒特別的需要
[00:01:28.980 --> 00:01:31.260]  我們就知道多些 了解多些
[00:01:31.260 --> 00:01:33.260]  更加做好服侍
[00:01:33.260 --> 00:01:35.280]  我們講到一個課題
[00:01:35.280 --> 00:01:41.140]  就是講到情緒有時都會跟濫藥有關
[00:01:41.140 --> 00:01:44.860]  都會影響一個人的心理狀況
[00:01:44.860 --> 00:01:47.240]  所以我又很有興趣
[00:01:47.240 --> 00:01:50.620]  其中那個訓練員跟我們講了
[00:01:50.620 --> 00:01:53.240]  他說動機提升都有個策略
[00:01:53.240 --> 00:01:55.920]  有五個階段
[00:01:55.920 --> 00:01:58.960]  這個當然是濫藥也好
[00:01:58.960 --> 00:02:00.960]  或者一些性格
[00:02:00.960 --> 00:02:03.820]  又或者是一些癮
[00:02:03.820 --> 00:02:08.600]  比如有些賭博或者其他的等等
[00:02:08.600 --> 00:02:11.740]  這個都是一個好的程序過程
[00:02:11.740 --> 00:02:13.740]  可能會經過這五個部份
[00:02:13.740 --> 00:02:14.880]  這五個部份是什麼呢
[00:02:14.880 --> 00:02:16.880]  第一個叫懵懂期
[00:02:16.880 --> 00:02:18.220]  什麼叫懵懂期呢
[00:02:18.220 --> 00:02:20.220]  你都不覺得自己有什麼問題的
[00:02:20.220 --> 00:02:22.220]  即是譬如你濫藥
[00:02:22.220 --> 00:02:26.220]  人家說你皮膚開始有些很乾燥
[00:02:26.220 --> 00:02:27.180]  你沒什麼精神
[00:02:27.180 --> 00:02:28.380]  經常打開腦你做什麼
