
[00:00:00.000 --> 00:00:02.000]  好 鄭劍威 早安
[00:00:02.000 --> 00:00:05.000]  在這裡預祝大家聖誕節快樂
[00:00:05.000 --> 00:00:08.000]  今天和大家分享這個題目
[00:00:08.000 --> 00:00:10.000]  都不是自己特意去想出來的
[00:00:10.000 --> 00:00:14.000]  我覺得有一次我聽林二郎牧師去講一些道
[00:00:14.000 --> 00:00:15.000]  講一些聖誕訊息的時候
[00:00:15.000 --> 00:00:19.000]  他用了以下一會兒那種方式來表達
[00:00:19.000 --> 00:00:21.000]  還有這個內容我覺得有些啟發
[00:00:21.000 --> 00:00:24.000]  於是我就參考他這種方式
[00:00:24.000 --> 00:00:25.000]  這種內容
[00:00:25.000 --> 00:00:28.000]  當然也都加上自己一些體會和一些觀察
[00:00:28.000 --> 00:00:30.000]  和大家分享今天這個題目
[00:00:30.000 --> 00:00:35.000]  叫做一個沒有基督的聖誕節
[00:00:35.000 --> 00:00:39.000]  當我在外面社會見到很多擺設 櫥窗 報紙
[00:00:39.000 --> 00:00:43.000]  很少發現有耶穌基督或是英系耶穌基督
[00:00:43.000 --> 00:00:45.000]  馬槽這些報紙在當中
[00:00:45.000 --> 00:00:49.000]  因為這個社會上聖誕節其實是沒有基督
[00:00:49.000 --> 00:00:53.000]  想問一下大家認不認識這兩個字
[00:00:53.000 --> 00:00:58.000]  Christmas一定是講聖誕節
[00:00:58.000 --> 00:01:02.000]  有個Xmas
[00:01:02.000 --> 00:01:05.000]  是不是等同的意思
[00:01:05.000 --> 00:01:08.000]  你覺得Christmas等於Xmas
[00:01:08.000 --> 00:01:09.000]  是一樣的意思
[00:01:09.000 --> 00:01:12.000]  你認為是的你舉手
[00:01:12.000 --> 00:01:13.000]  一個舉手是
[00:01:13.000 --> 00:01:16.000]  認為不是的舉手
[00:01:16.000 --> 00:01:18.000]  都多了很多
[00:01:18.000 --> 00:01:19.000]  以為不知道的
[00:01:19.000 --> 00:01:21.000]  你說不知道的
[00:01:21.000 --> 00:01:23.000]  有些應該沒有舉手
[00:01:23.000 --> 00:01:26.000]  可能不知道的情況
[00:01:26.000 --> 00:01:28.000]  和大家看一看
[00:01:28.000 --> 00:01:29.000]  我只是找一些資料
[00:01:29.000 --> 00:01:32.000]  真正的來源其實找不到
[00:01:32.000 --> 00:01:35.000]  不過主要有兩個說法
[00:01:35.000 --> 00:01:37.000]  第一個說法就是聖誕節
[00:01:37.000 --> 00:01:41.000]  英文這個字是Christ這個字加一個mask這個字
[00:01:41.000 --> 00:01:43.000]  是天主教用的
[00:01:43.000 --> 00:01:45.000]  因為早期是天主教
[00:01:45.000 --> 00:01:48.000]  叫做基督的彌撒
[00:01:48.000 --> 00:01:50.000]  現在叫彌撒不是崇拜
[00:01:50.000 --> 00:01:53.000]  彌撒這個字是拉丁語
[00:01:53.000 --> 00:01:56.000]  代表一個感恩的祭
[00:01:56.000 --> 00:01:58.000]  所以你見到Christmas這個字
[00:01:58.000 --> 00:02:00.000]  主角一定是基督
[00:02:00.000 --> 00:02:03.000]  一個基督的彌撒
[00:02:03.000 --> 00:02:06.000]  這個字其實
[00:02:06.000 --> 00:02:08.000]  你見到交叉這個字
[00:02:08.000 --> 00:02:13.000]  其實都有一個希臘文
[00:02:13.000 --> 00:02:15.000]  希臘文的基督這個字
[00:02:15.000 --> 00:02:16.000]  就是交叉這個字
[00:02:16.000 --> 00:02:17.000]  不需要加那個字
