
[00:00:00.000 --> 00:00:04.440]  今天我們會繼續講我們天堂的系列
[00:00:04.440 --> 00:00:07.880]  有關天堂的訊息
[00:00:07.880 --> 00:00:09.600]  差不多已經講完了
[00:00:09.600 --> 00:00:13.660]  剩下的只有三個訊息想交代一下
[00:00:13.660 --> 00:00:18.560]  其中一個就是人死了之後到底會去哪裏
[00:00:18.560 --> 00:00:20.840]  我後來又想了想
[00:00:20.840 --> 00:00:23.400]  這個題目似乎不太貼切
[00:00:23.400 --> 00:00:26.280]  所以我最後可能會改了這個題目
[00:00:26.280 --> 00:00:30.280]  人死了之後的全部歷程會是怎樣
[00:00:30.280 --> 00:00:32.360]  包括我們的靈魂
[00:00:32.360 --> 00:00:34.240]  包括我們的身體
[00:00:34.240 --> 00:00:39.520]  因爲我今天要講的不是單單人死了之後的目的地在哪裏
[00:00:39.520 --> 00:00:42.080]  而是整個歷程
[00:00:42.080 --> 00:00:46.840]  直至到天堂或者是地獄的歷程會是怎樣
[00:00:46.840 --> 00:00:52.880]  有一個超過一百年以上的墓碑
[00:00:52.880 --> 00:01:00.880]  這個墓碑上刻着"朋友,當你經過我的時候請你留步
[00:01:00.880 --> 00:01:04.880]  請你留下,我以前也是和你一樣的
[00:01:04.880 --> 00:01:07.880]  你將來也會和我一樣
[00:01:07.880 --> 00:01:10.480]  你準備來跟從我吧"
[00:01:10.480 --> 00:01:14.880]  過了很多年有人在這個墓碑上加上幾行字
[00:01:14.880 --> 00:01:18.160]  就是說"跟隨你,別搞我
[00:01:18.160 --> 00:01:21.880]  讓我搞清楚你去了哪裏"
[00:01:21.880 --> 00:01:27.880]  的確有很多人尤其是未認識耶穌基督的
[00:01:27.880 --> 00:01:30.880]  真的不知道死了之後會去哪裏
[00:01:30.880 --> 00:01:33.880]  有兩個很大的問題對於人類
[00:01:33.880 --> 00:01:37.880]  就是親朋戚友死了之後他們會去了哪裏
[00:01:37.880 --> 00:01:39.880]  究竟他們好不好
[00:01:39.880 --> 00:01:42.880]  今天我就會根據聖經的教導來看
[00:01:42.880 --> 00:01:47.880]  究竟一個人死了之後他的歷程會是怎樣
