
[00:00:00.000 --> 00:00:03.700]  我們跟隨主的人,我們的生命都是活潑的,是嗎?
[00:00:03.700 --> 00:00:06.200]  是的,因爲主是一個活潑的主。
[00:00:06.200 --> 00:00:10.300]  不管我們今天是有疾病,或者家裏沒有什麼的問題,
[00:00:10.300 --> 00:00:13.500]  但是我相信,我相信在我們的肉身裏面,
[00:00:13.500 --> 00:00:16.700]  神已經爲我們準備一個非常好的禮物。
[00:00:16.700 --> 00:00:20.200]  所以今天呢,我願意以應許跟缺居這個的題目,
[00:00:20.200 --> 00:00:23.100]  來跟大家來分享《羅馬書》的第八章。
[00:00:23.100 --> 00:00:25.700]  我盼望過了這一次以後,到六月份的時候,
[00:00:25.700 --> 00:00:27.300]  能夠比較整理得好,
[00:00:27.300 --> 00:00:32.100]  跟大家來講到關於苦難的問題,在六月、七月、八月講到苦難的問題。
[00:00:32.100 --> 00:00:34.800]  我希望在當中,我們會看到在苦難背後中,
[00:00:34.800 --> 00:00:39.700]  我們可以看見榮耀的主,如何能夠幫助我們成長。
[00:00:39.700 --> 00:00:44.700]  我們先看《羅馬書》的第八章,十二節到十七節。
[00:00:44.700 --> 00:00:46.800]  今天的經文只有五節的經文,
[00:00:46.800 --> 00:00:52.600]  我盼望這五節的經文可以幫助大家一起的在神的面前得着幫助。
[00:00:52.600 --> 00:00:55.000]  這個經文很簡單,分開三個的部分,
[00:00:55.000 --> 00:01:00.200]  講到神要給新生的基督徒的應許。
[00:01:00.200 --> 00:01:06.100]  第八章的十二節,讓我把十二節、十三節、十四節跟大家念出來,
[00:01:06.100 --> 00:01:12.500]  在唸的時候,把當中的意思跟大家來分解。
[00:01:12.500 --> 00:01:14.000]  十二節,弟兄們,
[00:01:14.000 --> 00:01:19.400]  這樣看來我們並不是欠肉體的債,是順從肉體活着。
[00:01:19.400 --> 00:01:25.500]  意思就是說,今天我們不是欠了肉體的債,我們是一個欠債的人。
[00:01:25.500 --> 00:01:31.100]  我們在信祖了以後,原來我們最深的我仍然在許多的事情,
[00:01:31.100 --> 00:01:36.700]  引發我,讓我沒有辦法按照神自己的心意來活。
[00:01:36.700 --> 00:01:41.300]  十三節,你們若順從肉體活着,必要死。
[00:01:41.300 --> 00:01:46.300]  必要死的意思就是你正在死去的這個過程的裏面。
[00:01:46.300 --> 00:01:50.800]  可憐的我們的肉身,很多時候我們在犯罪的時候,
[00:01:50.800 --> 00:01:53.100]  當我們沒有聖靈的提示的時候,
[00:01:53.100 --> 00:01:56.100]  我們真的好像是一個快死的人一樣,
[00:01:56.100 --> 00:02:01.200]  不曉得知覺,也不明白我們的過錯。
[00:02:01.200 --> 00:02:07.400]  當聖靈來到我們的新生命裏面,他帶來了一個新的原理。
[00:02:07.400 --> 00:02:13.600]  這個新的原理引到了我們開始明白,原來我們舊有的生命是可以變壞,
[00:02:13.600 --> 00:02:17.800]  也引到我們開始看到,原來在神的指引當中,
[00:02:17.800 --> 00:02:23.000]  我們的生命不再是在必死的裏面,
[00:02:23.000 --> 00:02:30.500]  乃是要靠着聖靈致死了我們肉身中的惡行,必要活着。
[00:02:30.500 --> 00:02:34.200]  活着這個字原文就是永遠活着的意思。
[00:02:34.200 --> 00:02:36.800]  所以當中有一個很大的對比,一方面說到,
[00:02:36.800 --> 00:02:42.100]  在我們沒有聖靈的提示的裏面,我們人過着舊有的生活的裏面,
[00:02:42.100 --> 00:02:46.500]  原來這種舊有的生活讓我們麻醉了,忘記了,
[00:02:46.500 --> 00:02:52.000]  以致讓我們過在一個快死的路程中也不曉得。
[00:02:52.000 --> 00:02:55.500]  但是當我們願意接受聖靈的指引的時候,
[00:02:55.500 --> 00:02:58.700]  我們致死了我們肉身中的這種傾向,
[00:02:58.700 --> 00:03:03.700]  我們就開始發現我們有永活的生活第十世界。
[00:03:03.700 --> 00:03:08.600]  因爲凡被聖靈引導的都是神的兒子。
[00:03:08.600 --> 00:03:14.300]  請大家特別注意,被聖靈引導的是講到有一個範圍,
[00:03:14.300 --> 00:03:16.500]  意思是說當我們信了主耶穌以後,
[00:03:16.500 --> 00:03:20.200]  沒錯我認識主耶穌基督,沒錯我參加教會,
[00:03:20.200 --> 00:03:24.600]  但是我們的生命是要蒙受聖靈指引底下,
[00:03:24.600 --> 00:03:27.400]  我們纔可以看到一個新的出路,
[00:03:27.400 --> 00:03:31.800]  這個出路就是我們被收納成爲神的兒子。
[00:03:31.800 --> 00:03:34.700]  從這個範圍我們會開始的看見,
