
[00:00:00.000 --> 00:00:07.200]  詩篇裏面充滿着很多私人的喜樂的源頭
[00:00:07.200 --> 00:00:12.320]  所以讀詩篇有很多這種私人的經歷
[00:00:12.320 --> 00:00:16.720]  就是他們在主裏面的喜樂的源頭
[00:00:16.720 --> 00:00:19.920]  所以今天我用幾篇詩篇跟大家來思想
[00:00:19.920 --> 00:00:21.320]  基督徒的喜樂
[00:00:21.320 --> 00:00:22.840]  一定要講一講詩篇
[00:00:22.840 --> 00:00:26.480]  第一篇是在詩篇二十一篇
[00:00:26.480 --> 00:00:30.760]  喜樂是因爲有神的能力和拯救
[00:00:30.760 --> 00:00:32.560]  詩篇二十一篇是這樣說的
[00:00:32.560 --> 00:00:35.200]  頭三節我們一起讀,好嗎?請讀
[00:00:35.200 --> 00:00:39.680]  耶和華,王必因你的能力歡喜
[00:00:39.680 --> 00:00:44.640]  因你的救恩,他的快樂何其大
[00:00:44.640 --> 00:00:48.520]  他心裏所願的,你已經賜給他
[00:00:48.520 --> 00:00:53.680]  他嘴脣所求的,你未嘗不應
[00:00:53.680 --> 00:00:56.920]  王依靠耶和華
[00:00:56.920 --> 00:01:02.240]  因至高者的慈愛,必不遙動
[00:01:02.240 --> 00:01:05.160]  這裏提到能力
[00:01:05.160 --> 00:01:09.240]  其實這個能力希伯來語文
[00:01:09.240 --> 00:01:12.520]  它的字根就是堅固的意思
[00:01:12.520 --> 00:01:14.760]  或者英文翻譯做security
[00:01:14.760 --> 00:01:18.280]  就是說是一種穩妥的意思
[00:01:18.280 --> 00:01:22.200]  這裏讓我們看見因着靠耶和華
[00:01:22.200 --> 00:01:25.840]  我們能夠有穩妥的能力
[00:01:25.840 --> 00:01:28.240]  從那裏而來,以至我們能夠有喜樂
[00:01:28.240 --> 00:01:32.840]  正如我們剛纔有七講
[00:01:32.840 --> 00:01:34.160]  已經來到第七講了
[00:01:34.160 --> 00:01:36.960]  我們的金句是尼米基第八章
[00:01:36.960 --> 00:01:41.840]  因靠耶和華而給我們的喜樂
[00:01:41.840 --> 00:01:43.160]  就是我們的力量
