
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹 我們再一次用掌聲感謝我們的主
[00:00:04.000 --> 00:00:17.000]  很開心有常青團的弟兄姊妹跟我們分享詩歌
[00:00:17.000 --> 00:00:20.000]  我們可以在主裡面互相激勵
[00:00:20.000 --> 00:00:24.000]  在正道之先的時間 我們大家一起低頭禱告
[00:00:24.000 --> 00:00:27.000]  愛我們的天父 我們感謝你
[00:00:27.000 --> 00:00:29.000]  你是那位偉大的主
[00:00:29.000 --> 00:00:33.000]  你是那位愛世人愛到底的神
[00:00:33.000 --> 00:00:37.000]  主願意我們在你面前真的降服
[00:00:37.000 --> 00:00:40.000]  我們真的願意去跟從
[00:00:40.000 --> 00:00:42.000]  讓我們的心敞開
[00:00:42.000 --> 00:00:45.000]  我們的耳朵可以聆聽你自己的話語
[00:00:45.000 --> 00:00:49.000]  我們禱告 奉救主耶穌基督的聖名 阿門
[00:00:49.000 --> 00:00:57.000]  今年是哈勃望遠鏡升空25週年的時間
[00:00:57.000 --> 00:01:00.000]  這個計劃是歐洲航天局
[00:01:00.000 --> 00:01:04.000]  和美國太空總署一起的成果
[00:01:04.000 --> 00:01:07.000]  在90年至今
[00:01:07.000 --> 00:01:10.000]  這個哈勃望遠鏡已經被譽為
[00:01:10.000 --> 00:01:12.000]  在人類文明史上面
[00:01:12.000 --> 00:01:16.000]  其中一樣最重要的觀測太空儀器
[00:01:16.000 --> 00:01:18.000]  從1960年開始
[00:01:18.000 --> 00:01:21.000]  美國人已經具體發射火箭去太空那裡
[00:01:21.000 --> 00:01:24.000]  去研究究竟可不可能在太空那裡
[00:01:24.000 --> 00:01:26.000]  擺放一個這樣的望遠鏡
[00:01:26.000 --> 00:01:31.000]  其後他們發現要採用到太空穿梭機的技術
[00:01:31.000 --> 00:01:35.000]  不過困難也隨之而來
[00:01:35.000 --> 00:01:38.000]  當中裡面有政客的弄權
[00:01:38.000 --> 00:01:41.000]  有物價不斷的上升
[00:01:41.000 --> 00:01:45.000]  以至整項計劃要去到1990年的時候
[00:01:45.000 --> 00:01:50.000]  30年之久才見到這個哈勃望遠鏡升空
[00:01:50.000 --> 00:01:56.000]  而升空回來第一張傳送回來地面的相片
[00:01:56.000 --> 00:01:59.000]  就是現在在螢光幕上看到
[00:01:59.000 --> 00:02:02.000]  你寫著NASA那張的相片
[00:02:02.000 --> 00:02:10.000]  這一張的相片遠低於當時那班科學家的期望
[00:02:10.000 --> 00:02:16.000]  科學家發現原來鏡片出了問題
[00:02:16.000 --> 00:02:20.000]  不能夠有效的對照
[00:02:20.000 --> 00:02:25.000]  影像比他們想像當中模糊得多
[00:02:25.000 --> 00:02:28.000]  1990年結算的時候
[00:02:28.000 --> 00:02:31.000]  就回望一下本來這個計劃
[00:02:31.000 --> 00:02:35.000]  預算只需要4億美元就可以完成
[00:02:35.000 --> 00:02:37.000]  但是到了1990年的時候
[00:02:37.000 --> 00:02:40.000]  埋單總共用了25億美元
[00:02:40.000 --> 00:02:45.000]  一班天文學家曾經放下自己學者的尊嚴
[00:02:45.000 --> 00:02:49.000]  去懇求政客支持撥款這一項計劃
[00:02:49.000 --> 00:02:56.000]  但是現在正因為他不能夠發揮本來的功能
[00:02:56.000 --> 00:03:00.000]  多項的研究工作被迫押後
[00:03:00.000 --> 00:03:02.000]  甚至無胎死腹中
[00:03:02.000 --> 00:03:06.000]  30年的努力彷彿付諸東流
[00:03:06.000 --> 00:03:10.000]  在研究的過程當中更加悲慘的
[00:03:10.000 --> 00:03:13.000]  就是挑戰者號穿梭機發生爆炸
[00:03:13.000 --> 00:03:16.000]  7個航天人員死亡
[00:03:16.000 --> 00:03:21.000]  現在哈勃望遠鏡竟然對不到焦
[00:03:21.000 --> 00:03:28.000]  彷彿在天上每天都旋轉著一塊25億美元的垃圾
[00:03:28.000 --> 00:03:31.000]  在太空不斷迴旋
[00:03:31.000 --> 00:03:35.000]  這個計劃成為了美國人的笑話
[00:03:35.000 --> 00:03:37.000]  歐洲人的恥辱
[00:03:37.000 --> 00:03:40.000]  實在令人很失望
[00:03:40.000 --> 00:03:44.000]  弟兄姊妹你有沒有試過你花了很多心機
[00:03:44.000 --> 00:03:49.000]  很多時間投放了很多的精力青春
[00:03:49.000 --> 00:03:54.000]  但是那件事你得不到預期的果效
[00:03:54.000 --> 00:03:57.000]  令你覺得很失望
[00:03:57.000 --> 00:04:00.000]  很沮喪
[00:04:00.000 --> 00:04:03.000]  當我們讀到哥羅西書三章的時候
[00:04:03.000 --> 00:04:07.000]  早兩個星期楊牧師就跟我們分享到
[00:04:07.000 --> 00:04:10.000]  當進入第三章的時候
[00:04:10.000 --> 00:04:15.000]  保羅將有關神學的論述
[00:04:15.000 --> 00:04:18.000]  就轉移到有關生活的應用
[00:04:18.000 --> 00:04:24.000]  怎麼可以將真理擺在各個不同的生活場所當中
[00:04:24.000 --> 00:04:28.000]  或者我們試一下整理一下這些的內容
[00:04:28.000 --> 00:04:30.000]  以致我們更加明白
[00:04:30.000 --> 00:04:32.000]  這些的基礎
[00:04:32.000 --> 00:04:37.000]  怎麼可以將真理活現在我們的生活當中
[00:04:37.000 --> 00:04:39.000]  第一件事我們值得看的
[00:04:39.000 --> 00:04:41.000]  在三章八節就這樣說
[00:04:41.000 --> 00:04:46.000]  但是現在你們必須跟著這些事
[00:04:46.000 --> 00:04:50.000]  不可再有憤怒、暴戾和仇恨
[00:04:50.000 --> 00:04:54.000]  不可說毀謗、污穢的話
[00:04:54.000 --> 00:04:57.000]  究竟門徒為什麼有個基礎
[00:04:57.000 --> 00:05:00.000]  可以跟著這些惡行呢
[00:05:00.000 --> 00:05:03.000]  為什麼我們可以這樣做呢
[00:05:03.000 --> 00:05:07.000]  原來在三章一節的時候就這樣提到
[00:05:07.000 --> 00:05:10.000]  所以你們既然與基督一同復活了
[00:05:10.000 --> 00:05:14.000]  就應當追求天上的事
[00:05:14.000 --> 00:05:16.000]  楊牧師就是這樣提醒我們
[00:05:16.000 --> 00:05:18.000]  其實我們已經死了
[00:05:18.000 --> 00:05:20.000]  並且復活過來了
[00:05:20.000 --> 00:05:22.000]  換句話說
[00:05:22.000 --> 00:05:25.000]  活著的不再是我了
[00:05:25.000 --> 00:05:29.000]  其實當我們真心相信了這位救主的時候
[00:05:29.000 --> 00:05:33.000]  其實我們就已經獲得一個新的生命
[00:05:33.000 --> 00:05:35.000]  在保羅的另一個書信
[00:05:35.000 --> 00:05:38.000]  加拉太書五章一節就更加這樣說
[00:05:38.000 --> 00:05:40.000]  為了要使我們得自由
[00:05:40.000 --> 00:05:43.000]  基督已經釋放了我們
[00:05:43.000 --> 00:05:46.000]  所以你們要挺起胸膛
[00:05:46.000 --> 00:05:50.000]  不要再讓奴隸的鴨控制你們
[00:05:50.000 --> 00:05:54.000]  很清楚、很清晰地告訴我們
[00:05:54.000 --> 00:05:56.000]  原來我們這一班門徒
[00:05:56.000 --> 00:05:59.000]  能夠跟著致死這些憤怒
[00:05:59.000 --> 00:06:02.000]  這些暴戾、這些仇恨
[00:06:02.000 --> 00:06:05.000]  並不是出自我們自己
[00:06:05.000 --> 00:06:07.000]  有時候我們會這樣形容自己
[00:06:07.000 --> 00:06:09.000]  我是一個天路客
[00:06:09.000 --> 00:06:12.000]  我是一個生命的修行者
[00:06:12.000 --> 00:06:15.000]  又或者我是一個靈修操亂的門徒
[00:06:15.000 --> 00:06:17.000]  但是我們要清楚知道
[00:06:17.000 --> 00:06:19.000]  其實靠我們
[00:06:19.000 --> 00:06:22.000]  我們沒有辦法只可以撥亂反正
[00:06:22.000 --> 00:06:25.000]  其實都是因為耶穌基督復活的緣故
[00:06:25.000 --> 00:06:27.000]  戰勝了死亡
[00:06:27.000 --> 00:06:31.000]  這是我們門徒得到生命改變的一個基礎
[00:06:31.000 --> 00:06:34.000]  是我們信仰的一個原點
[00:06:34.000 --> 00:06:37.000]  如果我們搞清楚這些基礎的時候
[00:06:37.000 --> 00:06:41.000]  我們就可以進入到保羅的提醒了
[00:06:41.000 --> 00:06:43.000]  他第一件事想跟我們說的
[00:06:43.000 --> 00:06:45.000]  就是要脫下
[00:06:45.000 --> 00:06:47.000]  不可彼此欺騙
[00:06:47.000 --> 00:06:52.000]  因為你們已經脫掉救我和救習慣
[00:06:52.000 --> 00:06:55.000]  和合本聖經翻譯得非常之好
[00:06:55.000 --> 00:06:56.000]  又或者我現在羅列出來的
[00:06:56.000 --> 00:06:58.000]  現代中文修訂譯本
[00:06:58.000 --> 00:07:00.000]  都翻譯得非常之好
[00:07:00.000 --> 00:07:03.000]  因為它將原文的事態都表達了出來
[00:07:03.000 --> 00:07:08.000]  因為你們已經脫掉
[00:07:08.000 --> 00:07:10.000]  過去式來的了
[00:07:10.000 --> 00:07:12.000]  當我們真心相信主的時候
[00:07:12.000 --> 00:07:18.000]  我們已經將那個救我和救的習慣脫掉
[00:07:18.000 --> 00:07:21.000]  我們根本上就已經是這樣
[00:07:21.000 --> 00:07:23.000]  又或者我們可以看看脫掉
[00:07:23.000 --> 00:07:25.000]  有另外一個角度去演繹
[00:07:25.000 --> 00:07:27.000]  在哥羅西書2章15節
[00:07:27.000 --> 00:07:28.000]  這裡這樣說
[00:07:28.000 --> 00:07:34.000]  他說他解除了執政者和掌權者的權勢
[00:07:34.000 --> 00:07:36.000]  脫掉這個字眼
[00:07:36.000 --> 00:07:40.000]  在2章15節就譯成解除
[00:07:40.000 --> 00:07:43.000]  又或者如果大家翻開和合本的話
[00:07:43.000 --> 00:07:47.000]  你會發現和合本將解除脫掉這個字眼
[00:07:47.000 --> 00:07:49.000]  就譯成老來
[00:07:49.000 --> 00:07:51.000]  換句話說
[00:07:51.000 --> 00:07:54.000]  其實這個字眼本來就是一個軍事的用語
[00:07:54.000 --> 00:07:56.000]  他現在告訴我們
[00:07:56.000 --> 00:07:59.000]  原來彷彿有一個敵對的勢力
[00:07:59.000 --> 00:08:02.000]  他是另外一個執政掌權的對方
[00:08:02.000 --> 00:08:04.000]  但是現在怎樣?
[00:08:04.000 --> 00:08:06.000]  他被解除武裝
[00:08:06.000 --> 00:08:08.000]  他打輸了
[00:08:08.000 --> 00:08:09.000]  繳械
[00:08:09.000 --> 00:08:13.000]  他本來有的武器已經射了下來
[00:08:13.000 --> 00:08:14.000]  換句話說
[00:08:14.000 --> 00:08:19.000]  這個勢力已經不再成為了我們的挑戰
[00:08:19.000 --> 00:08:21.000]  或者打擊
[00:08:21.000 --> 00:08:26.000]  但是偏偏可能我們內心裡面就有很多的掙扎
[00:08:26.000 --> 00:08:28.000]  如果我們看回
[00:08:28.000 --> 00:08:30.000]  保羅有說過
[00:08:30.000 --> 00:08:33.000]  不可彼此欺騙
[00:08:33.000 --> 00:08:36.000]  彼此欺騙這個修辭
[00:08:36.000 --> 00:08:38.000]  對很多的解經家來說
[00:08:38.000 --> 00:08:40.000]  都有一些不同的預測
[00:08:40.000 --> 00:08:42.000]  但是當我們讀了這麼多次
[00:08:42.000 --> 00:08:44.000]  這麼多個禮拜的哥羅西書
[00:08:44.000 --> 00:08:46.000]  也許你慢慢會明白
[00:08:46.000 --> 00:08:49.000]  其實這裡的欺騙是在說什麼?
[00:08:49.000 --> 00:08:50.000]  在說的
[00:08:50.000 --> 00:08:53.000]  其實就是那些異端邪說
[00:08:53.000 --> 00:08:54.000]  那些怎樣?
[00:08:54.000 --> 00:08:56.000]  哎呀,是基督
[00:08:56.000 --> 00:08:57.000]  怎樣?
[00:08:57.000 --> 00:08:59.000]  有個肉身的
[00:08:59.000 --> 00:09:00.000]  有個肉身?
[00:09:00.000 --> 00:09:02.000]  現在這個處境裡面
[00:09:02.000 --> 00:09:05.000]  怎麼可以是完全的神來的?
[00:09:05.000 --> 00:09:11.000]  完全的神不應該有一個肉體規範著他
[00:09:11.000 --> 00:09:13.000]  我們不可以接受這樣
[00:09:13.000 --> 00:09:15.000]  又或者有些人這樣說
[00:09:15.000 --> 00:09:18.000]  哇,耶穌這麼神聖,太偉大了
[00:09:18.000 --> 00:09:21.000]  哎呀,加伯列好一點
[00:09:21.000 --> 00:09:23.000]  加伯列和瑪利亞說話的
[00:09:23.000 --> 00:09:25.000]  親切一點
[00:09:25.000 --> 00:09:27.000]  我們要拜加伯列
[00:09:27.000 --> 00:09:30.000]  就可以去到神那裡多一點
[00:09:30.000 --> 00:09:32.000]  耶穌太厲害了,不行啊
[00:09:32.000 --> 00:09:37.000]  以致整個信仰的焦點完全擺錯了
[00:09:37.000 --> 00:09:39.000]  保羅在這裡提醒他們
[00:09:39.000 --> 00:09:41.000]  「不可」
[00:09:41.000 --> 00:09:43.000]  「不可」這個字眼
[00:09:43.000 --> 00:09:45.000]  原文有「現在式」
[00:09:45.000 --> 00:09:48.000]  他要跟這班哥羅西弟兄姊妹說
[00:09:48.000 --> 00:09:49.000]  停了
[00:09:49.000 --> 00:09:52.000]  不可以再這樣了
[00:09:52.000 --> 00:09:55.000]  其實弟兄姊妹
[00:09:55.000 --> 00:09:59.000]  有時不肯變的
[00:09:59.000 --> 00:10:02.000]  那個是我們自己
[00:10:02.000 --> 00:10:06.000]  其實根本上就擁有足夠的能力
[00:10:06.000 --> 00:10:10.000]  和潛質去做新的開始
[00:10:10.000 --> 00:10:12.000]  聖經很清楚告訴我們
[00:10:12.000 --> 00:10:15.000]  已經脫下了
[00:10:15.000 --> 00:10:18.000]  但很多時候我們就會跟自己說
[00:10:18.000 --> 00:10:22.000]  不行的,其實那些東西是很難的
[00:10:22.000 --> 00:10:26.000]  怎麼搞啊,我這個人是臭脾氣的
[00:10:26.000 --> 00:10:28.000]  我這個人是很直的
[00:10:28.000 --> 00:10:30.000]  我怎麼可以放下這些東西
[00:10:30.000 --> 00:10:35.000]  不行的,我一輩子都是這樣
[00:10:35.000 --> 00:10:38.000]  聖經也許描述成為
[00:10:38.000 --> 00:10:41.000]  我們自己跟別人說謊
[00:10:41.000 --> 00:10:44.000]  我們自己都是這樣騙自己
[00:10:44.000 --> 00:10:47.000]  當我們說完脫下
[00:10:47.000 --> 00:10:50.000]  我們又看看保羅怎麼說穿上
[00:10:50.000 --> 00:10:52.000]  「穿上了新人
[00:10:52.000 --> 00:10:56.000]  這新人正照著自己的創造者的形象
[00:10:56.000 --> 00:11:01.000]  不斷更新,以致深切地認識他」
[00:11:01.000 --> 00:11:06.000]  「穿上新人」這一句說話的修辭
[00:11:06.000 --> 00:11:08.000]  彷彿就是一個回應
[00:11:08.000 --> 00:11:11.000]  Echo著剛才所說的脫下
[00:11:11.000 --> 00:11:14.000]  因為文法一樣是用過去式
[00:11:14.000 --> 00:11:15.000]  換句話說
[00:11:15.000 --> 00:11:18.000]  當我們真心真誠信主那一刻
[00:11:18.000 --> 00:11:20.000]  願意毀身交托給他的時候
[00:11:20.000 --> 00:11:24.000]  我們不單止可以將我們的舊人脫落
[00:11:24.000 --> 00:11:27.000]  而那個新人都已經穿上了
[00:11:27.000 --> 00:11:29.000]  但是你要留意
[00:11:29.000 --> 00:11:33.000]  這裡保羅有一個很特別的轉向
[00:11:33.000 --> 00:11:36.000]  在新漢語譯本譯得很精彩
[00:11:36.000 --> 00:11:37.000]  因為他這樣形容
[00:11:37.000 --> 00:11:43.000]  他說「這新人正照著自己的創造者的形象不斷更新」
[00:11:43.000 --> 00:11:46.000]  他譯了那個時態出來
[00:11:46.000 --> 00:11:47.000]  Right now
[00:11:47.000 --> 00:11:49.000]  此時此刻
[00:11:49.000 --> 00:11:52.000]  當我們穿上了這個舊人的時候
[00:11:52.000 --> 00:11:55.000]  我們這群信徒就有一個責任和我們的使命
[00:11:55.000 --> 00:12:02.000]  就是要照著自己的創造者的形象不斷更新
[00:12:02.000 --> 00:12:05.000]  我在這個時候又要挑戰一下大家
[00:12:05.000 --> 00:12:07.000]  問大家一個問題
[00:12:07.000 --> 00:12:17.000]  你會認為這節聖經裡面所說的那個創造者是哪一位?
[00:12:17.000 --> 00:12:19.000]  我聽到一點點雜音
[00:12:19.000 --> 00:12:20.000]  行了
[00:12:20.000 --> 00:12:22.000]  你放在心裡面
[00:12:22.000 --> 00:12:26.000]  如果我們拼湊我們看了哥羅西書這麼久的話
[00:12:26.000 --> 00:12:29.000]  你應該知道創造者這個修辭
[00:12:29.000 --> 00:12:33.000]  就是應該在形容一章十六節那個
[00:12:33.000 --> 00:12:35.000]  這個宇宙這個世界
[00:12:35.000 --> 00:12:41.000]  就是藉他所做又為他所做的那個基督
[00:12:41.000 --> 00:12:43.000]  這裡展現了一個什麼圖畫?
[00:12:43.000 --> 00:12:45.000]  一個宇宙性的基督
[00:12:45.000 --> 00:12:48.000]  一個普世的救贖主
[00:12:48.000 --> 00:12:50.000]  他要挑戰我們
[00:12:50.000 --> 00:12:53.000]  要按著他本來的形象
[00:12:53.000 --> 00:12:55.000]  鼓勵我們挑戰我們
[00:12:55.000 --> 00:12:59.000]  要不斷的朝著這個形象去更新改變
[00:12:59.000 --> 00:13:03.000]  而我們要深切地認識他
[00:13:03.000 --> 00:13:04.000]  但是弟兄姊妹
[00:13:04.000 --> 00:13:06.000]  如果我們看哥羅西書我們就明白
[00:13:06.000 --> 00:13:10.000]  如果他們在基督以外
[00:13:10.000 --> 00:13:13.000]  外掛了這麼多的要求
[00:13:13.000 --> 00:13:14.000]  又要苦行啊
[00:13:14.000 --> 00:13:16.000]  修煉啊
[00:13:16.000 --> 00:13:17.000]  又要攻克己身啊
[00:13:17.000 --> 00:13:20.000]  又要敬拜天使啊
[00:13:20.000 --> 00:13:24.000]  他根本上就將基督的形象扭曲了
[00:13:24.000 --> 00:13:27.000]  他將焦點都模糊了
[00:13:27.000 --> 00:13:29.000]  那你說試問他們的生命
