
[00:00:00.000 --> 00:00:01.600]  平安 平安
[00:00:01.600 --> 00:00:03.080]  Peace be with you
[00:00:03.080 --> 00:00:09.200]  I want to begin by making sure that everyone has read the title of the message correctly
[00:00:09.200 --> 00:00:14.960]  在聚會開始時 我想要確定大家看我們今天的主題是不要看錯
[00:00:14.960 --> 00:00:20.720]  It's the secret to changing your life and not the secret to changing your wife
[00:00:20.720 --> 00:00:25.960]  是翻轉人生的秘訣 不是翻轉人妻的秘訣
[00:00:25.960 --> 00:00:29.680]  I say this because probably many of you are wondering where my wife is
[00:00:29.680 --> 00:00:33.000]  because she's the one who usually translates for me
[00:00:33.000 --> 00:00:36.520]  因為許多人可能在想 我的太太跑哪兒去了
[00:00:36.520 --> 00:00:38.400]  通常都是她幫我翻譯
[00:00:38.400 --> 00:00:41.680]  Unfortunately she's not able to translate for me today
[00:00:41.680 --> 00:00:45.720]  but we have someone who is just as 漂亮
[00:00:45.720 --> 00:00:47.840]  很遺憾我太太今天沒有辦法來幫我翻譯
[00:00:47.840 --> 00:00:51.120]  但我找到一個和她一樣貌美的翻譯
[00:00:51.120 --> 00:00:52.880]  And so thank you Pastor James for translating today
[00:00:52.880 --> 00:00:55.200]  It's my pleasure
[00:00:55.200 --> 00:00:58.000]  This will change your life
[00:00:58.000 --> 00:01:00.160]  這將要翻轉你的生命
[00:01:00.160 --> 00:01:03.560]  Was one of the most searched phrases in 2025
[00:01:03.560 --> 00:01:07.360]  這是2025年熱搜排名的最高排名
[00:01:07.360 --> 00:01:09.800]  People flooded search engines with questions like
[00:01:09.800 --> 00:01:11.800]  How do I change my life
[00:01:11.800 --> 00:01:15.080]  很多人都湧入在找我生命怎麼可以被改變
[00:01:15.080 --> 00:01:16.760]  And how do I get rich
[00:01:16.760 --> 00:01:18.120]  我怎麼樣可以致富
[00:01:18.120 --> 00:01:21.160]  And how do I help my child get married
[00:01:21.160 --> 00:01:23.680]  我怎麼樣讓我的孩子可以結婚
[00:01:23.680 --> 00:01:28.040]  Now during this time of year many search for the secret
[00:01:28.040 --> 00:01:30.160]  of health, wealth and prosperity
[00:01:30.160 --> 00:01:32.560]  在這個年末的時候許多人都在問說
[00:01:32.560 --> 00:01:35.440]  怎麼樣來健康能夠致富
[00:01:35.440 --> 00:01:38.800]  And every year the world says the same thing
[00:01:38.800 --> 00:01:41.560]  每一年世界都告訴我們同樣的答案
[00:01:41.560 --> 00:01:45.760]  The secret with changing your life starts with you
[00:01:45.760 --> 00:01:48.800]  改變你人生的秘訣是從你開始
[00:01:48.800 --> 00:01:53.200]  Even as believers I believe that many times we believe in this lie
[00:01:53.200 --> 00:01:57.320]  身為基督徒我們也常常來接受這樣的一個謊言
[00:01:57.320 --> 00:01:59.840]  That God only helps those who help themselves
[00:01:59.840 --> 00:02:02.120]  好像天助自助者
[00:02:02.120 --> 00:02:06.520]  Now yes it's true that we change when we help ourselves
[00:02:06.520 --> 00:02:10.360]  的確當我們幫助自己改變會得到改變
[00:02:10.360 --> 00:02:12.360]  But that change is only temporary
[00:02:12.360 --> 00:02:14.480]  但這樣的改變只是暫時的
[00:02:14.480 --> 00:02:18.040]  Real and lasting change doesn't come from trying harder
[00:02:18.040 --> 00:02:22.520]  真實並且長遠的改變不是只是更加努力
[00:02:22.520 --> 00:02:25.960]  But it starts from a change in who we are and not what we do
[00:02:25.960 --> 00:02:28.520]  而是從我是誰得到改變
[00:02:28.520 --> 00:02:31.160]  We think that if I can only change my job
[00:02:31.160 --> 00:02:32.440]  then my life would be better
[00:02:32.440 --> 00:02:35.320]  如果我找到新的工作我生活就更好了
[00:02:35.320 --> 00:02:38.040]  If I can only change my relationships
[00:02:38.040 --> 00:02:39.480]  then I would be happier
[00:02:39.480 --> 00:02:42.680]  如果我能夠改善我的關係我就更開心了
[00:02:42.680 --> 00:02:46.280]  If I can only change my gender and sexuality
[00:02:46.280 --> 00:02:48.000]  then everything will be fine
[00:02:48.000 --> 00:02:51.480]  如果只要能夠改變我的性別一切都沒問題了
[00:02:51.480 --> 00:02:55.000]  But we know that studies show over and over again
[00:02:55.000 --> 00:02:59.520]  that these changes make us happy for only a short moment
[00:02:59.520 --> 00:03:01.640]  但是研究報告不斷地告訴我們
[00:03:01.640 --> 00:03:04.760]  這樣的改變只是帶給我們暫時的喜樂
[00:03:04.760 --> 00:03:08.800]  And so what's the secret to real and lasting change
[00:03:08.800 --> 00:03:13.400]  所以到底真正並且長遠的改變的秘訣到底是什麼呢
[00:03:13.400 --> 00:03:19.600]  Well Apostle Paul reveals this to us in Romans 5:1-5
[00:03:19.600 --> 00:03:22.760]  What the secret to real and lasting change is
[00:03:22.760 --> 00:03:25.680]  使徒保羅在羅馬書五章一到五節告訴我們
[00:03:25.680 --> 00:03:29.560]  一個真正長遠翻轉生命的秘訣是什麼
[00:03:29.560 --> 00:03:33.320]  So let's take a look at Romans 5 starting with verse 1
[00:03:33.320 --> 00:03:36.440]  讓我們一起來看看羅馬書第五章第一節開始
[00:03:36.440 --> 00:03:39.760]  Therefore, since we have been justified by faith
[00:03:39.760 --> 00:03:43.880]  we have peace with God through our Lord Jesus Christ
[00:03:43.880 --> 00:03:49.680]  我們即因性稱義就藉著我們的主耶穌基督得與神相合
[00:03:49.680 --> 00:03:50.960]  This is the word of the Lord
[00:03:50.960 --> 00:03:51.880]  這是神的話
[00:03:51.880 --> 00:03:55.160]  Notice here that Paul doesn't say
[00:03:55.160 --> 00:03:59.880]  since you fixed your life or since you got everything all together
[00:03:59.880 --> 00:04:01.720]  保羅這邊並沒有說
[00:04:01.720 --> 00:04:04.640]  既然你把你的生活都搞定了
[00:04:04.640 --> 00:04:09.280]  No, he says since you have been justified by faith
[00:04:09.280 --> 00:04:10.920]  Everyone say faith
[00:04:10.920 --> 00:04:14.040]  保羅是說既然我們是因性稱義
[00:04:14.040 --> 00:04:16.920]  我們一起說信心
[00:04:16.920 --> 00:04:19.960]  Paul doesn't say that you have been justified by works
[00:04:19.960 --> 00:04:23.840]  but by faith which is actually a status change
[00:04:23.840 --> 00:04:26.160]  It's not a behavioral change
[00:04:26.160 --> 00:04:29.120]  所以保羅並沒有說我們是靠行為稱義
[00:04:29.120 --> 00:04:30.720]  而是靠信心稱義
[00:04:30.720 --> 00:04:34.400]  而這關鍵是在於我們的一個立場的改變
[00:04:34.400 --> 00:04:37.200]  Paul then goes on to say that we have peace
[00:04:37.200 --> 00:04:38.560]  Everyone say peace
[00:04:38.560 --> 00:04:41.880]  保羅接下來說平安或是相合
[00:04:41.880 --> 00:04:44.240]  我們一起說平安
[00:04:44.240 --> 00:04:47.560]  We have peace with God through our Lord Jesus Christ
[00:04:47.560 --> 00:04:50.400]  我們與神和好透過耶穌基督
[00:04:50.400 --> 00:04:52.800]  Paul begins with something very shocking
[00:04:52.800 --> 00:04:55.000]  保羅這邊說一個非常驚人的事實
[00:04:55.000 --> 00:05:00.400]  He says that we have peace because we are justified by faith in a person
[00:05:00.400 --> 00:05:04.120]  保羅說我們能夠因性稱義是透過一個人
[00:05:04.120 --> 00:05:08.800]  He doesn't say that we have peace because of our health, wealth and prosperity
[00:05:08.800 --> 00:05:13.720]  這邊說我們得到平安不是因為我們有更多的財富
[00:05:13.720 --> 00:05:17.080]  But peace comes through a relationship with Jesus Christ
[00:05:17.080 --> 00:05:20.680]  而平安是來自於與耶穌基督的關係
[00:05:20.680 --> 00:05:23.080]  Then Paul continues in verse 2
[00:05:23.080 --> 00:05:29.120]  And he says through him we have also obtained access by faith into this grace
[00:05:29.120 --> 00:05:30.720]  Everybody say grace
[00:05:30.720 --> 00:05:36.160]  第二節這邊又說我們又藉著他因性得以進入現在所站的恩典中
[00:05:36.160 --> 00:05:38.600]  我們一起說恩典
[00:05:38.600 --> 00:05:44.440]  And in this grace which we stand and we rejoice in hope of the glory of God
[00:05:44.440 --> 00:05:51.000]  並且歡歡喜喜的在這恩典中歡歡喜喜的盼望神的榮耀
[00:05:51.000 --> 00:05:54.480]  Peace with God doesn't come from changed circumstances
[00:05:54.480 --> 00:05:58.320]  It comes from a changed standing with God
[00:05:58.320 --> 00:06:01.640]  與神和好並不是來自於環境得到改變
[00:06:01.640 --> 00:06:04.760]  與神和好來自於我們站在神的面前
[00:06:04.760 --> 00:06:09.280]  And this doesn't happen because we achieved this on our own by ourselves
[00:06:09.280 --> 00:06:13.040]  But it's given to us by the grace of God as a gift
[00:06:13.040 --> 00:06:16.560]  這不是無法透過我們自己的努力而達成
[00:06:16.560 --> 00:06:20.240]  而是透過耶穌基督這個恩典的禮物才達成
[00:06:20.240 --> 00:06:25.160]  It's only when this truth finally sinks in that everything changes
[00:06:25.160 --> 00:06:29.840]  唯有當這樣的真理真的落實一切就改變了
[00:06:29.840 --> 00:06:32.320]  Now if there's anything that you remember from this message
[00:06:32.320 --> 00:06:33.800]  I want you to remember this
[00:06:33.800 --> 00:06:36.800]  如果你今天只記得一件事我希望你記住這件事
[00:06:36.800 --> 00:06:41.800]  We don't change to belong but we belong
[00:06:41.800 --> 00:06:43.440]  Therefore God changes us
[00:06:43.440 --> 00:06:47.880]  我們不是透過改變才得到認同或是歸屬
[00:06:47.880 --> 00:06:50.760]  而是透過歸屬我們得以被改變
[00:06:50.760 --> 00:06:51.960]  Let me say that one more time
[00:06:51.960 --> 00:06:53.280]  我再說一次
[00:06:53.280 --> 00:06:56.560]  We don't change to belong but we belong
[00:06:56.560 --> 00:06:58.400]  Therefore God changes us
[00:06:58.400 --> 00:07:02.480]  我們不是透過改變而得到歸屬
[00:07:02.480 --> 00:07:06.160]  而是透過歸屬而神能夠來改變我們
[00:07:06.160 --> 00:07:09.800]  Belonging comes first and then transformation follows
[00:07:09.800 --> 00:07:14.400]  這樣的歸屬首先發生而生命的改變就要跟隨
[00:07:14.400 --> 00:07:18.120]  Belonging is the reason why change happens
[00:07:18.120 --> 00:07:21.000]  歸屬是得到改變的關鍵
[00:07:21.000 --> 00:07:23.760]  This is a secret that the world doesn't understand
[00:07:23.760 --> 00:07:26.000]  or even AI can't index
[00:07:26.000 --> 00:07:28.520]  這是這世界無法理解的一個秘訣
[00:07:28.520 --> 00:07:31.880]  甚至人工智慧也無法分析
[00:07:31.880 --> 00:07:35.120]  This is the secret that actually changes lives
[00:07:35.120 --> 00:07:37.920]  which Paul says it's no longer a secret
[00:07:37.920 --> 00:07:41.400]  because it's been revealed to us through the Holy Spirit
[00:07:41.400 --> 00:07:44.080]  保羅說這是一個奧秘
[00:07:44.080 --> 00:07:46.800]  但是已經透過聖靈顯明出來
[00:07:46.800 --> 00:07:48.880]  So when you're justified by faith
[00:07:48.880 --> 00:07:51.840]  your relationship with God changes first
[00:07:51.840 --> 00:07:53.600]  before your behavior
[00:07:53.600 --> 00:07:56.000]  所以當我們因性稱義的時候
[00:07:56.000 --> 00:07:59.600]  我們的生命就被改變
[00:07:59.600 --> 00:08:01.480]  而不是我們的行為先被改變
[00:08:01.480 --> 00:08:06.280]  And so we no longer need to strive to receive God's love
[00:08:06.280 --> 00:08:11.800]  because we're already accepted and loved by God by His grace
[00:08:11.800 --> 00:08:15.040]  所以因此我們不需要努力地來贏取神的愛
[00:08:15.040 --> 00:08:18.440]  因為我們已經在恩典當中蒙神所愛
[00:08:18.440 --> 00:08:20.400]  We're loved by not what we do
[00:08:20.400 --> 00:08:22.840]  but who we are as a child of God
[00:08:22.840 --> 00:08:25.520]  我們蒙神所愛不是我們做了什麼
[00:08:25.520 --> 00:08:27.240]  而是因為我們是誰
[00:08:27.240 --> 00:08:28.680]  我們是神的兒女
[00:08:28.680 --> 00:08:32.240]  And it's in this place of standing
[00:08:32.240 --> 00:08:34.320]  that transformation begins
[00:08:34.320 --> 00:08:36.920]  在這樣一個立場的認同上
[00:08:36.920 --> 00:08:38.840]  轉化就要發生了
[00:08:38.840 --> 00:08:40.600]  You know about ten years ago
[00:08:40.600 --> 00:08:42.600]  when I lived in Chicago
[00:08:42.600 --> 00:08:44.840]  I pastored at a Chinese church in Chicago
[00:08:44.840 --> 00:08:47.880]  十年前我在芝加哥一個華人教會墓會
[00:08:47.880 --> 00:08:50.880]  And I did a survey asking over a hundred youth students
[00:08:50.880 --> 00:08:53.840]  and over a hundred parents a few questions
[00:08:53.840 --> 00:08:56.880]  我面對一百位學生、年輕人
[00:08:56.880 --> 00:08:59.400]  和一百位他們的家長做了一個調查
[00:08:59.400 --> 00:09:01.640]  And one of the questions that I asked was this
[00:09:01.640 --> 00:09:03.960]  我其中一個問卷的問題是
[00:09:03.960 --> 00:09:05.600]  I asked the youth students
[00:09:05.600 --> 00:09:08.080]  What is the one thing that you wish
[00:09:08.080 --> 00:09:11.040]  that you could hear your parents say to you
[00:09:11.040 --> 00:09:13.600]  我問這一百位年輕人說
[00:09:13.600 --> 00:09:16.960]  你希望你父母親對你說什麼樣的一句話
[00:09:16.960 --> 00:09:19.720]  What do you think was the number one response
[00:09:19.720 --> 00:09:23.240]  你覺得第一名的回答是什麼呢
[00:09:23.240 --> 00:09:25.520]  Over a hundred youth students said
[00:09:25.520 --> 00:09:27.720]  that they wish they can hear their parents say
[00:09:27.720 --> 00:09:28.680]  I love you
[00:09:28.680 --> 00:09:30.520]  一百位年輕人說
[00:09:30.520 --> 00:09:33.640]  他們渴望聽到父母親對他們說
[00:09:33.640 --> 00:09:34.400]  我愛你
[00:09:34.400 --> 00:09:36.320]  Then I asked over a hundred parents
[00:09:36.320 --> 00:09:38.200]  a slightly different question
[00:09:38.200 --> 00:09:40.200]  接下來我問這一百位家長
[00:09:40.200 --> 00:09:41.880]  又一點點改變的問題
[00:09:41.880 --> 00:09:43.800]  I asked them if there was one thing
[00:09:43.800 --> 00:09:46.000]  that you could say to your child
[00:09:46.000 --> 00:09:47.120]  What would it be
[00:09:47.120 --> 00:09:50.240]  如果有一句話是你希望對你孩子說的
[00:09:50.240 --> 00:09:51.360]  這是什麼一句話呢
[00:09:51.360 --> 00:09:52.720]  What do you think their response was
[00:09:52.720 --> 00:09:54.440]  你覺得答案是什麼
[00:09:54.440 --> 00:09:56.640]  Over a hundred parents
[00:09:56.640 --> 00:09:58.560]  their number one response was
[00:09:58.560 --> 00:09:59.440]  I love you
[00:09:59.440 --> 00:10:01.200]  這一百位年輕人的家長
[00:10:01.200 --> 00:10:02.520]  他們的答案是
[00:10:02.520 --> 00:10:04.440]  想要對孩子說我愛你
[00:10:04.440 --> 00:10:08.080]  What struck me wasn't that the answers were the same
[00:10:08.080 --> 00:10:10.760]  but what struck me was the tragedy in between
[00:10:10.760 --> 00:10:13.560]  讓我感到驚訝的不是他們答案是相同的
[00:10:13.560 --> 00:10:16.400]  而是這個答案的背後的狀況
[00:10:16.400 --> 00:10:19.160]  Now both sides wanted the same thing
[00:10:19.160 --> 00:10:20.840]  but somehow those words
[00:10:20.840 --> 00:10:23.280]  rarely made it across the table
[00:10:23.280 --> 00:10:26.560]  他們兩方都希望聽到同樣的回答
[00:10:26.560 --> 00:10:28.760]  但是在家中未曾發生
[00:10:28.760 --> 00:10:30.360]  And it revealed something deeper
[00:10:30.360 --> 00:10:32.960]  within our homes and in our families
[00:10:32.960 --> 00:10:35.800]  這就揭發了我們生命和家庭當中
[00:10:35.800 --> 00:10:38.160]  更深層的一個狀態
[00:10:38.160 --> 00:10:40.480]  That the love that we communicate
[00:10:40.480 --> 00:10:42.880]  is many times conditional
[00:10:42.880 --> 00:10:44.680]  這就是我們表達愛的時候
[00:10:44.680 --> 00:10:46.920]  是有條件式的愛
[00:10:46.920 --> 00:10:49.480]  Instead of simply saying I love you
[00:10:49.480 --> 00:10:52.600]  we say I love you but do better
[00:10:52.600 --> 00:10:54.040]  與其說我愛你
[00:10:54.040 --> 00:10:55.360]  我們常說我愛你
[00:10:55.360 --> 00:10:57.280]  如果你可以做更好
[00:10:57.280 --> 00:10:59.320]  And so what do our children hear
[00:10:59.320 --> 00:11:02.960]  They hear you only belong when you perform
