
[00:00:00.000 --> 00:00:05.000]  丁姐妹早晨,很高興再次能夠在主日崇拜的時間和大家見面
[00:00:05.000 --> 00:00:09.000]  我是黃牧師,再次代表多倫多以馬來環聖信會
[00:00:09.000 --> 00:00:15.000]  歡迎所有的弟兄姐妹今天來參加我們的網上主日崇拜
[00:00:15.000 --> 00:00:20.000]  因為今天的崇拜能夠使大家更加深入去明白主的訊息
[00:00:20.000 --> 00:00:26.000]  今天我們這個崇拜也很特別,我們稱之為中樹節主日
[00:00:26.000 --> 00:00:30.000]  往往在復活節節期的期間
[00:00:30.000 --> 00:00:34.000]  我們會在這個時候先有一個中樹節的主日
[00:00:34.000 --> 00:00:38.000]  然後會進入到受苦節的時間
[00:00:38.000 --> 00:00:42.000]  讓我們在今天這個中樹節的主日裡
[00:00:42.000 --> 00:00:46.000]  再次有更加的經歷為主我們的神
[00:00:46.000 --> 00:00:50.000]  讓我們在祂的侍奉裡面有更深的認識
[00:00:50.000 --> 00:00:52.000]  讓我們在聆聽主導以先
[00:00:52.000 --> 00:00:56.000]  我們一起同心低頭禱告,有望為主我們的神
[00:00:56.000 --> 00:00:58.000]  我們一起同心低頭禱告
[00:00:58.000 --> 00:01:03.000]  慈悲的天父,多謝祢,讓我們能夠由歲首到年終
[00:01:03.000 --> 00:01:07.000]  我們也能夠有更多的經歷和祝福
[00:01:07.000 --> 00:01:11.000]  從祢而來,使我們能夠在每一天的生命生活裡面
[00:01:11.000 --> 00:01:16.000]  經歷這位創造的主,所為我們帶來的一切創造
[00:01:16.000 --> 00:01:18.000]  我們再次獻上感恩
[00:01:18.000 --> 00:01:23.000]  為了今天這個中樹節的主日,我們完全恭敬交上
[00:01:23.000 --> 00:01:28.000]  求主祢帶領我們,能夠在今天裡面更認識祢
[00:01:28.000 --> 00:01:31.000]  好讓我們在地上仍然活著的時間
[00:01:31.000 --> 00:01:37.000]  我們能夠真的可以做到一些主祢所交托
[00:01:37.000 --> 00:01:40.000]  而我們必須要盡忠的,要完成的事
[00:01:40.000 --> 00:01:42.000]  求祢遠為同在
[00:01:42.000 --> 00:01:47.000]  我們同心地禱告,奉靠主耶穌基督,德性的名字而教
[00:01:47.000 --> 00:01:50.000]  好讓我們在聆聽主道以先
[00:01:50.000 --> 00:01:53.000]  我們一起同心低頭禱告,仰望主我們的神
[00:01:53.000 --> 00:01:56.000]  我們一起同心低頭禱告
[00:01:56.000 --> 00:02:01.000]  慈悲的天父,多謝祢,讓我們能夠由歲首到年終
[00:02:01.000 --> 00:02:05.000]  我們也能夠有更多的經歷和祝福
[00:02:05.000 --> 00:02:09.000]  從祢而來,使我們能夠在每一天的生命生活裡面
[00:02:09.000 --> 00:02:14.000]  經歷這位創造的主,所為我們帶來的一切創造
[00:02:14.000 --> 00:02:16.000]  我們再次獻上感恩
[00:02:16.000 --> 00:02:21.000]  我們為今天這個中樹節的主日,完全的恭敬交上
[00:02:21.000 --> 00:02:25.000]  求主祢帶領我們,能夠在今天裡面更認識祢
[00:02:25.000 --> 00:02:29.000]  好讓我們在地上仍然活著的時間
[00:02:29.000 --> 00:02:34.000]  我們能夠真的可以做到一些主祢所交托
[00:02:34.000 --> 00:02:37.000]  而我們必須要盡忠的,要完成的事
[00:02:37.000 --> 00:02:39.000]  求祢遠為同在
[00:02:39.000 --> 00:02:44.000]  我們同心地禱告,奉靠主耶穌基督,德性的名字而教
[00:02:44.000 --> 00:02:46.000]  阿妹
