
[00:00:00.000 --> 00:00:01.580]  祈禱不是悶的
[00:00:01.580 --> 00:00:04.400]  我們先說祈禱
[00:00:04.400 --> 00:00:09.520]  在所有的信徒當中
[00:00:09.520 --> 00:00:11.600]  有一個負面的感覺
[00:00:11.600 --> 00:00:15.960]  所以為什麼祈禱會這麼少人參加呢
[00:00:15.960 --> 00:00:17.560]  我們有一個負面
[00:00:17.560 --> 00:00:19.980]  回想起耶穌基督的時候
[00:00:19.980 --> 00:00:23.320]  那些門徒對祈禱也有負面的
[00:00:23.320 --> 00:00:25.660]  耶穌最想他們一起祈禱
[00:00:25.660 --> 00:00:27.940]  在赫西瑪利園他們做什麼呢
[00:00:28.520 --> 00:00:31.140]  一覺醒來就睡覺
[00:00:31.140 --> 00:00:33.860]  所以睡覺你有沒有試過祈禱睡著覺
[00:00:33.860 --> 00:00:35.040]  不要緊的
[00:00:35.040 --> 00:00:36.780]  即是門徒都是這樣
[00:00:36.780 --> 00:00:38.960]  但是後來他們改變了
[00:00:38.960 --> 00:00:41.720]  就是耶穌基督升天之後
[00:00:41.720 --> 00:00:44.440]  他們知道需要祈禱
[00:00:44.440 --> 00:00:46.020]  為什麼需要祈禱呢
[00:00:46.020 --> 00:00:48.780]  耶穌的吩咐
[00:00:48.780 --> 00:00:50.460]  等候聖靈的來臨
[00:00:50.460 --> 00:00:52.860]  更加他們是遭受到逼迫
[00:00:52.860 --> 00:00:56.700]  所以我們不要等到逼迫的時候才去祈禱
[00:00:57.000 --> 00:00:58.840]  其實逼迫也在來臨
[00:00:58.840 --> 00:01:00.920]  整個世界
[00:01:00.920 --> 00:01:02.300]  我們特別是基督教
[00:01:02.300 --> 00:01:04.700]  是在逼迫當中
[00:01:04.700 --> 00:01:08.820]  我們祈禱說那群伊拉克信主的人
[00:01:08.820 --> 00:01:10.740]  天主教徒、基督教徒
[00:01:10.740 --> 00:01:13.820]  他們如果不信會教就要死
[00:01:13.820 --> 00:01:16.780]  所以他們就被逼離開
[00:01:16.780 --> 00:01:19.180]  我們看到逼迫來到
[00:01:19.180 --> 00:01:22.100]  所以教會我們需要祈禱
[00:01:22.100 --> 00:01:24.100]  我們求主幫助我們
[00:01:24.100 --> 00:01:30.500]  見到教會使徒行傳是一個祈禱的歷史
[00:01:30.500 --> 00:01:32.540]  聖靈行傳也講到
[00:01:32.540 --> 00:01:35.460]  聖靈怎樣運行在教會當中
[00:01:35.460 --> 00:01:36.900]  如果大家回去看使徒行傳
[00:01:36.900 --> 00:01:38.540]  有一個很特別的感覺
[00:01:38.540 --> 00:01:41.180]  使徒行傳好像還沒完的感覺
