
[00:00:00.000 --> 00:00:03.000]  佛山節目要讓我們先聽神的導議,讓我們先同心同意
[00:00:03.000 --> 00:00:06.000]  第一怎麼樣,我們聽到先同心打高
[00:00:06.000 --> 00:00:11.000]  父神啊,多謝祢,讓我們能夠再次打開祢的說話
[00:00:11.000 --> 00:00:17.000]  父神啊,求祢真的讓我們學曉,求祢是怎樣的一位神
[00:00:17.000 --> 00:00:23.000]  讓我們認識祢,讓我們預備能夠永遠與祢一齊
[00:00:23.000 --> 00:00:29.000]  就讓祢的說話再次提醒我們,介紹給我們知道,祢是怎樣的人
[00:00:29.000 --> 00:00:34.000]  在地上一樣,我們今天怎樣預備去活在祢的當中
[00:00:34.000 --> 00:00:44.000]  神父啊,多謝祢,讓我們有機會再次打開祢的說話
[00:00:44.000 --> 00:00:48.000]  讓我們明白祢是誰
[00:00:48.000 --> 00:00:58.000]  多謝祢,因為祢是神父,祢從未放棄任何一位
[00:00:58.000 --> 00:01:07.000]  祢讓我們有機會向祢道歉,向祢學習,向祢預備
[00:01:07.000 --> 00:01:12.000]  讓我們能夠永遠與祢一齊活下去
[00:01:12.000 --> 00:01:18.000]  所以,神父啊,我們再次向祢宣誓生命
[00:01:18.000 --> 00:01:21.000]  讓我們也宣誓生命
[00:01:21.000 --> 00:01:30.000]  在我們學習的世界,透過我們的聖經學習,透過聖誕學習,透過教導,透過任何的方式
[00:01:30.000 --> 00:01:36.000]  讓我們知道,祢是我們應該跟隨的
[00:01:36.000 --> 00:01:40.000]  我們在名義的名義祈禱,耶穌基督,阿們
[00:01:51.000 --> 00:01:59.000]  如果你要走在師父的人生,或者人生的道路,如果你要走在上帝的時候,這條路是必定不好走的
[00:01:59.000 --> 00:02:08.000]  基於這麼一個重要的原則
[00:02:08.000 --> 00:02:14.000]  所以,如果一個基督徒希望信了主之後,他往後的生活就能夠順風順水的話
[00:02:14.000 --> 00:02:23.000]  不需要絲毫面對任何掙扎和困難的話
[00:02:23.000 --> 00:02:31.000]  只有兩個可能的情況
[00:02:31.000 --> 00:02:36.000]  第一,那個人不是一個基督徒
[00:02:36.000 --> 00:02:41.000]  因為他不需要走上帝的道路
[00:02:41.000 --> 00:02:47.000]  另一個可能的原因是,他被騙了
[00:02:47.000 --> 00:02:51.000]  或者他甘心被騙
[00:02:51.000 --> 00:02:57.000]  讓那些只是曉得討人喜悅的傳道人,說一些假的道理讓他走
[00:02:57.000 --> 00:03:05.000]  讓他以為在走上帝的路
[00:03:05.000 --> 00:03:09.000]  其實他根本就不在上帝的路裏
[00:03:09.000 --> 00:03:13.000]  他根本就不在上帝的路裏
[00:03:13.000 --> 00:03:19.000]  今天很多的基督徒寧願被人騙
[00:03:19.000 --> 00:03:24.000]  都不想知道上帝的真理是什麼
[00:03:24.000 --> 00:03:27.000]  因為這樣的一個情況
[00:03:27.000 --> 00:03:35.000]  今天這個訊息主要是集中給所有真正的基督徒去聽的
[00:03:35.000 --> 00:03:40.000]  不是一般的報道會,什麼人都可以聽
[00:03:40.000 --> 00:03:47.000]  是特別為一群追求上帝的基督徒而去預備的
[00:03:47.000 --> 00:03:52.000]  告訴我們
[00:03:52.000 --> 00:03:57.000]  上帝要在你的人生裏,一定要不斷放下試金石
[00:03:57.000 --> 00:04:07.000]  上帝要在你的人生裏,一定要不斷放下試金石
[00:04:07.000 --> 00:04:15.000]  因為這個是使你能夠分別為聖的一個很重要的功課
[00:04:15.000 --> 00:04:21.000]  為什麼這樣呢?我們來看看今天這段聖經
[00:04:21.000 --> 00:04:28.000]  今天我想看的是第四部分的第一點,4.1的第一點
[00:04:28.000 --> 00:04:36.000]  是這條試金石第一的方向
[00:04:36.000 --> 00:04:43.000]  就是原來上帝是有一些分裂的現象擺在我們當中
[00:04:43.000 --> 00:04:48.000]  問題就是你怎麼去處理分裂
[00:04:48.000 --> 00:04:52.000]  問題就是你怎麼去處理分裂
[00:04:52.000 --> 00:04:56.000]  怎麼處理你的取態事件
[00:04:56.000 --> 00:05:02.000]  這個經文不是很長,一到七節
[00:05:02.000 --> 00:05:08.000]  找到我們一同讀一次,讓我們熟悉一下
[00:05:08.000 --> 00:05:13.000]  這經文到底在講什麼?先講一下背景
[00:05:13.000 --> 00:05:20.000]  其實我這段聖經也開始承接保羅和巴拿巴在外邦世界裏的傳道
[00:05:20.000 --> 00:05:27.000]  他先由安提阿搭船到塞浦路斯島
[00:05:27.000 --> 00:05:34.000]  然後再由塞浦路斯島搭船到史瓦西亞
[00:05:34.000 --> 00:05:39.000]  即是今天的土耳其
[00:05:39.000 --> 00:05:43.000]  在他們搭船去到的時候
[00:05:43.000 --> 00:05:47.000]  他們就被他們所痛愛的弱害馬可放飛機
[00:05:47.000 --> 00:05:52.000]  他們被所痛愛的馬可放飛機
[00:05:52.000 --> 00:05:56.000]  他答應了都不去,這個人沒什麼口恥
[00:05:56.000 --> 00:06:00.000]  他答應了最後都反悔了
[00:06:00.000 --> 00:06:07.000]  於是他們就去到另一個在塞浦路斯島的安提阿的城市
[00:06:07.000 --> 00:06:10.000]  到塞浦路斯島的安提阿的城市
[00:06:10.000 --> 00:06:14.000]  在十三章裏面,飛到的時候原本很憤怒
[00:06:14.000 --> 00:06:17.000]  其實本來很不高興
[00:06:17.000 --> 00:06:21.000]  被任何一個這麼愛錫的人所傷害
[00:06:21.000 --> 00:06:24.000]  被馬可所傷害
[00:06:24.000 --> 00:06:28.000]  因為這個世界沒有什麼可以被你最愛的人所傷害
[00:06:28.000 --> 00:06:32.000]  但是這個世界最痛心的就是你所愛的人來傷害你
[00:06:32.000 --> 00:06:36.000]  我很記得這個場面,在我腦海裏永遠記住
[00:06:36.000 --> 00:06:39.000]  在這個場面我永遠記得住
[00:06:39.000 --> 00:06:46.000]  我很小的時候,曾經我媽媽很疼愛我
[00:06:46.000 --> 00:06:50.000]  不過有一次,我很不聽話
[00:06:50.000 --> 00:06:53.000]  我媽媽叫我做
[00:06:53.000 --> 00:06:58.000]  我說我不做又怎麼樣呢
[00:06:58.000 --> 00:07:02.000]  我媽媽沒責備過我
[00:07:02.000 --> 00:07:07.000]  但是我見到我媽媽流眼淚
[00:07:07.000 --> 00:07:13.000]  這個畫面在我腦海裏永遠我都不會忘記
