
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 新的朋友大家好
[00:00:05.000 --> 00:00:09.000]  今天的信息 我想一開始就問大家一個問題
[00:00:09.000 --> 00:00:13.000]  今天的信息我想一開始就問大家一個問題
[00:00:13.000 --> 00:00:18.000]  其實基督徒是怎樣做的呢
[00:00:18.000 --> 00:00:23.000]  開始的時候大家是怎樣做基督徒的呢
[00:00:23.000 --> 00:00:29.000]  現在大家又怎樣做基督徒的呢
[00:00:29.000 --> 00:00:34.000]  我想提出開始的時候怎樣做基督徒
[00:00:34.000 --> 00:00:38.000]  以及以後怎樣做基督徒是會有不同的
[00:00:38.000 --> 00:00:43.000]  開始的時候怎麼做基督徒和以後怎麼做基督徒是不一樣的
[00:00:43.000 --> 00:00:47.000]  每一個做基督徒的人都有同一樣的開始
[00:00:47.000 --> 00:00:51.000]  每個做基督徒的人都有一樣的開始
[00:00:51.000 --> 00:00:55.000]  決志 決志 口裡承認心裡相信耶穌是主
[00:00:55.000 --> 00:00:58.000]  口裡承認心裡相信耶穌是主
[00:00:58.000 --> 00:01:03.000]  門檻好像不高
[00:01:03.000 --> 00:01:06.000]  最起碼我們不用考試
[00:01:06.000 --> 00:01:10.000]  不需要上什麼課程
[00:01:10.000 --> 00:01:15.000]  口裡承認心裡相信就開始做基督徒了
[00:01:15.000 --> 00:01:19.000]  口裡承認心裡相信就開始做基督徒了
[00:01:19.000 --> 00:01:22.000]  開始了之後 決志了之後
[00:01:22.000 --> 00:01:28.000]  大家怎樣做基督徒呢
[00:01:28.000 --> 00:01:32.000]  《靈修新丁》
[00:01:32.000 --> 00:01:35.000]  是一本書當我初信主的時候
[00:01:35.000 --> 00:01:42.000]  一些大哥哥大姐姐送給我的
[00:01:42.000 --> 00:01:49.000]  當時他們就教我怎樣做基督徒
[00:01:49.000 --> 00:01:53.000]  本書裡面就講到有靈修 有讀經 有祈禱
[00:01:53.000 --> 00:02:00.000]  很重要的 回教會是不是
[00:02:00.000 --> 00:02:05.000]  但是否以後都是這些呢
[00:02:05.000 --> 00:02:09.000]  我問問你 還有傳福音呢
[00:02:09.000 --> 00:02:11.000]  佛事呢
[00:02:11.000 --> 00:02:14.000]  十一奉獻呢
[00:02:14.000 --> 00:02:19.000]  每一個基督徒都不一樣
[00:02:19.000 --> 00:02:23.000]  最近春天 今天是教宗
[00:02:23.000 --> 00:02:29.000]  如果大家去到植物公園
[00:02:29.000 --> 00:02:33.000]  你會看到很多不同的花
[00:02:33.000 --> 00:02:36.000]  我相信在神的眼中 你看到不同的花
[00:02:36.000 --> 00:02:45.000]  神覺得每一朵花都是同等的漂亮
[00:02:45.000 --> 00:02:47.000]  同樣的道理
[00:02:47.000 --> 00:02:50.000]  我們看看身邊的人
[00:02:50.000 --> 00:02:53.000]  每個人都不同
[00:02:53.000 --> 00:02:55.000]  但是只要我們盡本分
[00:02:55.000 --> 00:03:01.000]  神也同樣地喜悅我們
[00:03:01.000 --> 00:03:06.000]  只是如果有這麼多不同的變化
[00:03:06.000 --> 00:03:12.000]  那我問問大家 我們基督徒應該怎樣做呢
[00:03:12.000 --> 00:03:14.000]  我們不如反問一下自己
[00:03:14.000 --> 00:03:22.000]  現在我們是怎樣做基督徒呢
[00:03:22.000 --> 00:03:26.000]  今天我們看菲律賓書
[00:03:26.000 --> 00:03:30.000]  菲律賓書有一個特點
[00:03:30.000 --> 00:03:37.000]  保羅想向信徒表達一個心意
[00:03:37.000 --> 00:03:43.000]  這個心意就是當保羅不在信徒身邊
[00:03:43.000 --> 00:03:49.000]  甚至假如保羅可能不在人世
[00:03:49.000 --> 00:03:55.000]  保羅擔心信徒以後怎樣做基督徒
[00:03:55.000 --> 00:04:02.000]  剛才的經文看到這個教會和保羅很有淵源
[00:04:02.000 --> 00:04:05.000]  教會是保羅設立的
[00:04:05.000 --> 00:04:12.000]  菲律賓一直都在資源上支持保羅宣教
[00:04:12.000 --> 00:04:17.000]  現在保羅囚禁於羅馬
[00:04:17.000 --> 00:04:24.000]  菲律賓教會就派人去支持保羅的生活
[00:04:24.000 --> 00:04:30.000]  甚至乎我說保羅和這個教會很親密
[00:04:30.000 --> 00:04:36.000]  在書中提到他用我所親愛的My Love
[00:04:36.000 --> 00:04:44.000]  我所掛念的去形容菲律賓教會
[00:04:44.000 --> 00:04:48.000]  會不會還有一點肉麻呢
[00:04:48.000 --> 00:04:51.000]  信中提到他的處境
[00:04:51.000 --> 00:04:57.000]  他說我情願離世與基督同在
[00:04:57.000 --> 00:05:02.000]  我若被膠墊在其上
[00:05:02.000 --> 00:05:07.000]  膠墊就好像一杯水倒出來
[00:05:07.000 --> 00:05:10.000]  倒出來就什麼都沒有了
[00:05:10.000 --> 00:05:14.000]  他暗示當時他開始感覺到
[00:05:14.000 --> 00:05:19.000]  會不會自己人生已經去到最後的階段
[00:05:19.000 --> 00:05:23.000]  保羅暗示說在當時會不會自己的人生
[00:05:23.000 --> 00:05:25.000]  也到了最後的階段
[00:05:25.000 --> 00:05:27.000]  菲律賓書特別之處就是
[00:05:27.000 --> 00:05:30.000]  它彷彿是一份遺書
[00:05:30.000 --> 00:05:34.000]  菲律賓書特別在於它彷彿是一本遺書
[00:05:34.000 --> 00:05:37.000]  又可以說是一段遺言
[00:05:37.000 --> 00:05:39.000]  也可以說是一段遺言
[00:05:39.000 --> 00:05:44.000]  保羅擔心要是我不在信徒身邊的話
[00:05:44.000 --> 00:05:47.000]  保羅擔心說如果我不在信徒身邊
[00:05:47.000 --> 00:05:50.000]  如果菲律賓人有什麼差錯挫折
[00:05:50.000 --> 00:05:51.000]  他們怎麼辦呢
[00:05:51.000 --> 00:05:54.000]  如果菲律賓人有什麼差錯挫折
[00:05:54.000 --> 00:05:55.000]  他們怎麼辦
[00:05:55.000 --> 00:05:58.000]  有沒有什麼可以幫助這些信徒繼續做基督徒
[00:05:58.000 --> 00:06:02.000]  有沒有什麼可以幫助這些信徒繼續做基督徒
[00:06:02.000 --> 00:06:04.000]  所有保羅書信當中
[00:06:04.000 --> 00:06:06.000]  只有這一封信講到秘訣
[00:06:06.000 --> 00:06:08.000]  所有保羅書信當中
[00:06:08.000 --> 00:06:10.000]  只有這一份提到一個秘訣
[00:06:10.000 --> 00:06:14.000]  保羅想信徒學到這個秘訣
[00:06:14.000 --> 00:06:16.000]  保羅想信徒學到這個秘訣
[00:06:16.000 --> 00:06:18.000]  保羅想信徒學到這個秘訣
[00:06:18.000 --> 00:06:19.000]  保羅想信徒學到這個秘訣
[00:06:19.000 --> 00:06:20.000]  保羅想信徒學到這個秘訣
[00:06:20.000 --> 00:06:21.000]  保羅想信徒學到這個秘訣
[00:06:21.000 --> 00:06:22.000]  保羅想信徒學到這個秘訣
[00:06:22.000 --> 00:06:23.000]  保羅想信徒學到這個秘訣
[00:06:23.000 --> 00:06:24.000]  保羅想信徒學到這個秘訣
[00:06:24.000 --> 00:06:25.000]  保羅想信徒學到這個秘訣
[00:06:25.000 --> 00:06:26.000]  保羅想信徒學到這個秘訣
[00:06:26.000 --> 00:06:27.000]  保羅想信徒學到這個秘訣
[00:06:27.000 --> 00:06:28.000]  保羅想信徒學到這個秘訣
[00:06:28.000 --> 00:06:29.000]  保羅想信徒學到這個秘訣
[00:06:29.000 --> 00:06:30.000]  保羅想信徒學到這個秘訣
[00:06:30.000 --> 00:06:31.000]  保羅想信徒學到這個秘訣
[00:06:31.000 --> 00:06:54.000]  保羅想信徒學到這個秘訣
[00:06:54.000 --> 00:06:55.000]  保羅想信徒學到這個秘訣
[00:06:55.000 --> 00:06:56.000]  保羅想信徒學到這個秘訣
[00:06:56.000 --> 00:06:57.000]  保羅想信徒學到這個秘訣
[00:06:57.000 --> 00:06:58.000]  保羅想信徒學到這個秘訣
[00:06:58.000 --> 00:06:59.000]  保羅想信徒學到這個秘訣
[00:06:59.000 --> 00:07:00.000]  保羅想信徒學到這個秘訣
[00:07:00.000 --> 00:07:01.000]  保羅想信徒學到這個秘訣
[00:07:01.000 --> 00:07:02.000]  保羅想信徒学到這個秘訣
[00:07:02.000 --> 00:07:03.000]  保羅想信徒學到這個秘訣
[00:07:03.000 --> 00:07:04.000]  保羅想信徒學到這個秘訣
[00:07:04.000 --> 00:07:05.000]  保羅想信徒學到這個秘訣
[00:07:05.000 --> 00:07:06.000]  保羅想信徒學到這個秘訣
[00:07:06.000 --> 00:07:07.000]  保羅想信徒學到這個秘訣
[00:07:07.000 --> 00:07:08.000]  保羅想信徒學到這個秘訣
[00:07:08.000 --> 00:07:09.000]  保羅想信徒學到這個秘訣
[00:07:09.000 --> 00:07:10.000]  保羅想信徒學到這個秘訣
[00:07:10.000 --> 00:07:11.000]  保羅想信徒學到這個秘訣
[00:07:11.000 --> 00:07:12.000]  保羅想信徒學到這個秘訣
