
[00:00:00.000 --> 00:00:06.000]  我們今天會繼續從羅馬書當中學習神教導我們的功課
[00:00:06.000 --> 00:00:13.000]  我們過去四個星期都在學習人際關係這門學問
[00:00:13.000 --> 00:00:19.000]  今天的經文是從羅馬書第十五章七至十三節
[00:00:19.000 --> 00:00:25.000]  其實我們人際關係的功課都非常複雜
[00:00:25.000 --> 00:00:31.000]  複雜的程度是因為我們有不同的文化背景
[00:00:31.000 --> 00:00:37.000]  我們有很多不同的期望
[00:00:37.000 --> 00:00:42.000]  這個期望就好像我們看到一些很漂亮的東西
[00:00:42.000 --> 00:00:44.000]  我們就當這個蛋糕很漂亮
[00:00:44.000 --> 00:00:46.000]  我也想做一個
[00:00:46.000 --> 00:00:50.000]  我也想收到這個蛋糕
[00:00:50.000 --> 00:00:55.000]  我們往往因為我們實際的現況
[00:00:55.000 --> 00:00:59.000]  如果學正可能會覺得
[00:00:59.000 --> 00:01:03.000]  這個就是現實和期望的分別
[00:01:03.000 --> 00:01:06.000]  很多時候我們人與人之間的關係
[00:01:06.000 --> 00:01:08.000]  因為我們的文化背景
[00:01:08.000 --> 00:01:11.000]  我們教會裏面就算是廣東部、粵語部那裏
[00:01:11.000 --> 00:01:13.000]  都有不同的背景
[00:01:13.000 --> 00:01:15.000]  十個文化有不同的文化
[00:01:15.000 --> 00:01:18.000]  何況是粵語部、國語部呢?
[00:01:18.000 --> 00:01:20.000]  又何況是英文部呢?
[00:01:20.000 --> 00:01:23.000]  所以我們在基督徒和基督徒之間
[00:01:23.000 --> 00:01:25.000]  很多時候因為這些情況
[00:01:25.000 --> 00:01:30.000]  有一些不同的期望和實際的情況有不同
[00:01:30.000 --> 00:01:38.000]  造成一些不和或者有些事情出現
[00:01:38.000 --> 00:01:45.000]  教會裏面可能會造成一些情況不同
[00:01:45.000 --> 00:01:48.000]  甚至可能會有爭執和爭執
[00:01:48.000 --> 00:01:49.000]  聖經一直這樣說
[00:01:49.000 --> 00:01:52.000]  我們上一個星期提到羅馬書十四章
[00:01:52.000 --> 00:01:54.000]  十四章至十五章一至六節
[00:01:54.000 --> 00:01:56.000]  那裏提到教導我們
[00:01:56.000 --> 00:01:59.000]  基督徒應存著彼此同心
[00:01:59.000 --> 00:02:01.000]  來效法基督的態度
[00:02:01.000 --> 00:02:04.000]  去解決生活中的分歧
[00:02:04.000 --> 00:02:07.000]  因為各人有不同的背景、生活方式
[00:02:07.000 --> 00:02:10.000]  所以造成可能會有不同的分歧
[00:02:10.000 --> 00:02:13.000]  但這些分歧不是犯罪的分歧
[00:02:13.000 --> 00:02:17.000]  這些是在處理文化背景的分歧
[00:02:17.000 --> 00:02:24.000]  其實基督徒不合一帶來了很多煩惱
[00:02:24.000 --> 00:02:29.000]  今天我們從羅馬書十五章七節至十三節
[00:02:29.000 --> 00:02:31.000]  我們學習一個功課
[00:02:31.000 --> 00:02:33.000]  我們今天探討的問題就是
[00:02:33.000 --> 00:02:38.000]  基督徒在不同文化中怎樣可以合一
[00:02:38.000 --> 00:02:40.000]  今天這個就是我們的題目
[00:02:40.000 --> 00:02:42.000]  我們一起做個祈禱
[00:02:42.000 --> 00:02:44.000]  愛你主耶穌基督
[00:02:44.000 --> 00:02:45.000]  很多謝你
[00:02:45.000 --> 00:02:52.000]  很多謝你因為你不尋求自己的喜悅
[00:02:52.000 --> 00:02:54.000]  為我們的罪受死
[00:02:54.000 --> 00:02:56.000]  被辱罵
[00:02:56.000 --> 00:02:58.000]  為我們的罪被釘十字架
[00:02:58.000 --> 00:02:59.000]  因為你的愛
[00:02:59.000 --> 00:03:02.000]  所以我們能夠成為神的兒女
[00:03:02.000 --> 00:03:04.000]  求聖靈幫助我們
[00:03:04.000 --> 00:03:08.000]  求主幫助我們從今天的經文裏學習到
[00:03:08.000 --> 00:03:10.000]  打開我們的耳朵
[00:03:10.000 --> 00:03:11.000]  打開我們的眼睛
[00:03:11.000 --> 00:03:12.000]  看得清楚
[00:03:12.000 --> 00:03:13.000]  看得明白
[00:03:13.000 --> 00:03:17.000]  將你所對我們說的話語
[00:03:17.000 --> 00:03:20.000]  能夠存在心裏
[00:03:20.000 --> 00:03:21.000]  求你幫助我們
[00:03:21.000 --> 00:03:22.000]  我們以上的禱告
[00:03:22.000 --> 00:03:25.000]  奉主耶穌得聖的名字祈求
[00:03:25.000 --> 00:03:26.000]  阿門
[00:03:26.000 --> 00:03:29.000]  今天這段的經文七節至十三節
[00:03:29.000 --> 00:03:31.000]  我們可以分為三個部份來看
[00:03:31.000 --> 00:03:34.000]  首先第一個部份我們會看第七節
[00:03:34.000 --> 00:03:36.000]  第七節這樣說
[00:03:36.000 --> 00:03:41.000]  所以你們要彼此接納如同基督接納你們一樣
[00:03:41.000 --> 00:03:45.000]  使榮耀歸於神
[00:03:45.000 --> 00:03:46.000]  基督
[00:03:46.000 --> 00:03:49.000]  耶穌基督已經接納了我們
[00:03:49.000 --> 00:03:52.000]  我們悔改
[00:03:52.000 --> 00:03:55.000]  求告主名的時候
[00:03:55.000 --> 00:03:56.000]  恩順清義
[00:03:56.000 --> 00:03:59.000]  基督耶穌已經接納了我們
[00:03:59.000 --> 00:04:03.000]  這一節的經文就提到基督耶穌接納我們
[00:04:03.000 --> 00:04:08.000]  這個命令就說我們基督徒之間還要彼此接納
[00:04:08.000 --> 00:04:10.000]  在羅馬書的結構方面
[00:04:10.000 --> 00:04:14.000]  如果我們看一些參考書或者聖經學者分析
[00:04:14.000 --> 00:04:19.000]  這一節的經文和十四章的第一節有相似的地方
[00:04:19.000 --> 00:04:20.000]  接納的地方
[00:04:20.000 --> 00:04:22.000]  有些解經家就說
[00:04:22.000 --> 00:04:24.000]  這一段的經文七節至十三節
[00:04:24.000 --> 00:04:28.000]  就是十四節到現在的總結
[00:04:28.000 --> 00:04:30.000]  但是另一方面
[00:04:30.000 --> 00:04:32.000]  另一批的解經家就說
[00:04:32.000 --> 00:04:33.000]  聖經學者就說
[00:04:33.000 --> 00:04:34.000]  這一節的經文
[00:04:34.000 --> 00:04:35.000]  這幾節的經文
[00:04:35.000 --> 00:04:38.000]  其實是從十二章到現在的總結
[00:04:38.000 --> 00:04:41.000]  因為是說到門徒生活的關係
[00:04:41.000 --> 00:04:44.000]  我們從十二章就知道我們心意根深而變化
[00:04:44.000 --> 00:04:46.000]  我們有跟神身的關係
[00:04:46.000 --> 00:04:48.000]  但是另一批的解經家就說
[00:04:48.000 --> 00:04:51.000]  這幾節的聖經
[00:04:51.000 --> 00:04:55.000]  是從第一章開始到現在的總結
[00:04:55.000 --> 00:04:56.000]  無論怎樣都好
[00:04:56.000 --> 00:04:58.000]  我們可以從今天的話語
[00:04:58.000 --> 00:05:01.000]  聖經的話語學習神的功課
[00:05:01.000 --> 00:05:04.000]  大家可以做一個自己的決定
[00:05:04.000 --> 00:05:07.000]  彼此接納是一個命令
[00:05:07.000 --> 00:05:09.000]  不是單是承認
[00:05:09.000 --> 00:05:16.000]  他們猶太人和愛邦人是主內的弟兄姊妹
[00:05:16.000 --> 00:05:17.000]  這麼簡單
[00:05:17.000 --> 00:05:19.000]  不是這樣承認這麼簡單
[00:05:19.000 --> 00:05:21.000]  彼此接納的意思是
[00:05:21.000 --> 00:05:24.000]  他們是有靈明上的交通
[00:05:24.000 --> 00:05:26.000]  有社交上的來往
[00:05:26.000 --> 00:05:28.000]  不是只是說
[00:05:28.000 --> 00:05:30.000]  就是主的門徒這麼簡單
[00:05:30.000 --> 00:05:33.000]  是要彼此接納他們不同的地方
[00:05:33.000 --> 00:05:35.000]  我們好像在家中裏面
[00:05:35.000 --> 00:05:37.000]  我們在家中裏面
[00:05:37.000 --> 00:05:39.000]  基督徒家中裏面
[00:05:39.000 --> 00:05:41.000]  我們都有很多時會吵架
[00:05:41.000 --> 00:05:43.000]  為甚麼吵架呢
[00:05:43.000 --> 00:05:44.000]  很多時為政治吵架
[00:05:44.000 --> 00:05:46.000]  選舉吵架
[00:05:46.000 --> 00:05:48.000]  共和黨民主黨選誰
