
[00:00:00.000 --> 00:00:05.000]  今天我們來看《西伯來書》第二章
[00:00:05.000 --> 00:00:09.000]  我們看到耶穌是真人
[00:00:09.000 --> 00:00:14.000]  在第二章的第一節開始就給我們第一個警告
[00:00:14.000 --> 00:00:18.000]  在《西伯來書》裏頭有好多的警告
[00:00:18.000 --> 00:00:24.000]  在第二章的第一段 一節到四節是第一個警告
[00:00:24.000 --> 00:00:28.000]  叫我們不要隨流失去
[00:00:28.000 --> 00:00:35.000]  就講到要鄭重地聽到神兒子的話
[00:00:35.000 --> 00:00:49.000]  他講到這個律法是神接着天使傳給摩西的
[00:00:49.000 --> 00:00:54.000]  這個律法是很明確 也是必須遵循的
[00:00:54.000 --> 00:01:02.000]  但是這個作者說主耶穌的話就比律法更要確定 更要重要
[00:01:02.000 --> 00:01:06.000]  那麼以色列人他不聽律法的話
[00:01:06.000 --> 00:01:11.000]  那一定要受到報應 神要審判他 要刑罰他
[00:01:11.000 --> 00:01:19.000]  那麼你看到在出埃及記 明書記都看到
[00:01:19.000 --> 00:01:27.000]  就是以色列人他們出埃及的時候 壯丁二歲以上的有六十萬人
[00:01:27.000 --> 00:01:31.000]  那他們一直在曠野裏頭不清神的話
[00:01:31.000 --> 00:01:34.000]  多次的試探神 背叛神
[00:01:34.000 --> 00:01:40.000]  於是這個六十萬出來的壯丁都倒閉在曠野
[00:01:40.000 --> 00:01:44.000]  除了約蘇亞跟加勒兩人進去
[00:01:44.000 --> 00:01:50.000]  其他的六十萬從埃及出來的 他並不能夠進到迦南
[00:01:50.000 --> 00:01:56.000]  這是神對他們不遵守律法 背叛神的一個報應
[00:01:56.000 --> 00:02:01.000]  但是如果你不聽神兒子的話 那就後果就更嚴重了
[00:02:01.000 --> 00:02:06.000]  就要受到更重的報應 就得不到永生了
[00:02:06.000 --> 00:02:12.000]  所以這裏就警告信徒 你要聽神兒子的話
[00:02:12.000 --> 00:02:15.000]  不要隨流逝去
[00:02:15.000 --> 00:02:21.000]  這個隨流逝去就是在不知不覺中間 你就離開了神了
[00:02:21.000 --> 00:02:23.000]  離開了神的話
[00:02:23.000 --> 00:02:31.000]  這不知不覺中間就失去了這麼一個大的救恩了
[00:02:31.000 --> 00:02:39.000]  所以他這裏也特別提到 爲什麼要更要注意聽神兒子的話呢
[00:02:39.000 --> 00:02:46.000]  在第三節就說到了 講到這個救恩
[00:02:46.000 --> 00:02:51.000]  講到神的兒子的話是個救恩
[00:02:51.000 --> 00:02:56.000]  這個救恩他說是傳講的方式不一樣
[00:02:56.000 --> 00:03:04.000]  要是律法是神接着天使傳給摩西 就傳給他了
[00:03:04.000 --> 00:03:09.000]  但是這個救恩是不同的 傳講的方式不同
[00:03:09.000 --> 00:03:17.000]  是主親自講的 但律法是間接的
[00:03:17.000 --> 00:03:26.000]  還有呢 主的話有親間的人給我們證實
[00:03:26.000 --> 00:03:28.000]  就是有親間的人做見證的
[00:03:28.000 --> 00:03:32.000]  這個是神兒子的話 是有見證的
[00:03:32.000 --> 00:03:37.000]  就是當時的門徒 使徒 親間的人就說
[00:03:37.000 --> 00:03:41.000]  神的兒子的話是很重要 很確切的
[00:03:41.000 --> 00:03:44.000]  而且呢 第四節說了
[00:03:44.000 --> 00:03:51.000]  神又按自己的旨意 用神及騎士來擺辦的義能
[00:03:51.000 --> 00:03:55.000]  並聖靈的恩賜 同他們做見證
[00:03:55.000 --> 00:03:59.000]  所以你看 這個神兒子傳給我們的話呢
[00:03:59.000 --> 00:04:05.000]  不是單單像律法的時候 在山上向摩西說了就算完了
[00:04:05.000 --> 00:04:10.000]  他接着三個方面 一個是主自己的講
[00:04:10.000 --> 00:04:15.000]  第二個呢 就親間的人做見證
[00:04:15.000 --> 00:04:21.000]  而且第三個呢 還用很多的神及騎士來證實主的話
[00:04:21.000 --> 00:04:29.000]  所以這樣的神兒子的話呢 是我們更要來聽的
[00:04:29.000 --> 00:04:33.000]  那這警告呢 就說我們的信徒呢
[00:04:33.000 --> 00:04:40.000]  我們落戶了這麼大的救恩 怎能逃罪呢
[00:04:40.000 --> 00:04:47.000]  這個地方的我們呢 就是包括信徒 也包括非信徒
[00:04:47.000 --> 00:04:51.000]  這個都是要聽的
[00:04:51.000 --> 00:04:55.000]  如果你不聽 你忽略了這麼大的救恩
[00:04:55.000 --> 00:04:58.000]  那麼你怎麼能夠說逃罪
[00:04:58.000 --> 00:05:02.000]  神定罪你 那是非常應當的
[00:05:02.000 --> 00:05:05.000]  所以對這個非信徒說呢
[00:05:05.000 --> 00:05:09.000]  神兒子的話呢 耶穌的話就告訴他
[00:05:09.000 --> 00:05:13.000]  你應該往哪裏去
[00:05:13.000 --> 00:05:17.000]  你到底要按照自己的意思 一直走到底
[00:05:17.000 --> 00:05:25.000]  將來榮亡 將來滅亡了 還是要得到永生呢
[00:05:25.000 --> 00:05:28.000]  主的救恩是白白給的
[00:05:28.000 --> 00:05:32.000]  那麼就是 就不要拒絕主的救恩
[00:05:32.000 --> 00:05:34.000]  不要忽略這麼大的救恩
[00:05:34.000 --> 00:05:39.000]  那對信徒說呢 主也這麼說呢
[00:05:39.000 --> 00:05:45.000]  就是你不光只是得救 而且還要生命還要長大
[00:05:45.000 --> 00:05:47.000]  還要跟主同行
[00:05:47.000 --> 00:05:50.000]  那麼主呢 就要救你到底
[00:05:50.000 --> 00:05:53.000]  就不要忽略 不要做一半的基督徒
[00:05:53.000 --> 00:05:59.000]  就是從始到終都要跟隨主 走這條十字架的路
[00:05:59.000 --> 00:06:04.000]  那這樣的話 就是警告我們
[00:06:04.000 --> 00:06:08.000]  不要半途而廢 不要停下來
[00:06:08.000 --> 00:06:13.000]  所以這個是第一個警告
[00:06:13.000 --> 00:06:19.000]  下面呢 從第五節開始 一直到這一章的結束呢
[00:06:19.000 --> 00:06:25.000]  可以說呢 是講到耶穌是真人
[00:06:25.000 --> 00:06:29.000]  第一章的話 講到耶穌是真神
[00:06:29.000 --> 00:06:35.000]  第二章呢 就是到耶穌是人 是真人
[00:06:35.000 --> 00:06:39.000]  那這個真人呢 他就分開四個方面來講
[00:06:39.000 --> 00:06:44.000]  就說到耶穌基督爲什麼他要降世爲人
[00:06:44.000 --> 00:06:46.000]  爲什麼他要來到地上做人
[00:06:46.000 --> 00:06:50.000]  他是神的兒子 爲什麼來到地上做人呢
