
[00:00:00.000 --> 00:00:10.600]  我們已經三個月在崇拜中領受使徒行傳的訊息
[00:00:10.600 --> 00:00:18.400]  使徒行傳一直講及神的救恩、神的福音如何傳開
[00:00:18.400 --> 00:00:23.600]  神的作為在使徒行傳中的確令我們感到驚訝
[00:00:23.600 --> 00:00:29.200]  在耶穌的身邊本來只不過是一群漁民、一群農夫
[00:00:29.200 --> 00:00:33.600]  但神用到每一個人將福音傳開
[00:00:33.600 --> 00:00:36.000]  而使徒行傳後半部分
[00:00:36.000 --> 00:00:39.200]  亦即我們這三個月一起去研讀
[00:00:39.200 --> 00:00:43.000]  一直在描述保羅和他的夥伴
[00:00:43.000 --> 00:00:47.600]  如何靠著聖靈的能力將福音傳到外邦
[00:00:47.600 --> 00:00:52.200]  我相信弟兄姊妹你一直去研讀使徒行傳的時候
[00:00:52.200 --> 00:01:00.000]  一定都感受到神真的很想我們一起去參與傳福音的使命
[00:01:00.000 --> 00:01:03.800]  但有些時候是有各樣的困難
[00:01:03.800 --> 00:01:07.200]  可能難阻我們去傳福音
[00:01:07.200 --> 00:01:13.000]  我們嘗試透過今天的經文去破除這些障礙
[00:01:13.000 --> 00:01:16.000]  我們一起先低頭祈禱
[00:01:23.000 --> 00:01:25.600]  主你已經攀下大使命
[00:01:25.600 --> 00:01:31.000]  讓我們眾信徒一起去領受、一起去實踐
[00:01:31.000 --> 00:01:34.600]  大主我們承認我們是有軟弱的
[00:01:34.600 --> 00:01:39.400]  我求主你今天都藉著經文去幫助我們
[00:01:39.400 --> 00:01:42.000]  亦都打開我們的心
[00:01:42.000 --> 00:01:47.400]  願聖靈你在我們心裏面一直去動功
[00:01:47.400 --> 00:01:49.800]  求主你一直去幫助我們
[00:01:49.800 --> 00:01:54.000]  亦都去謙卑、去聽從你自己的話語
[00:01:54.000 --> 00:01:58.000]  我們這樣去祈禱奉主耶穌基督的名去祈求
[00:01:58.000 --> 00:02:00.000]  阿們
[00:02:00.000 --> 00:02:07.000]  經文第一句就講到保羅到了羅馬
[00:02:07.000 --> 00:02:09.400]  保羅終於來到羅馬
[00:02:09.400 --> 00:02:12.400]  那保羅想不想去羅馬呢?
[00:02:12.400 --> 00:02:15.600]  其實想,一直都想
[00:02:15.600 --> 00:02:24.600]  保羅所寫的羅馬書已經寫到第十五章二十二至二十四節
[00:02:24.600 --> 00:02:30.200]  他說:我多次受到難阻,不能到你們那裏去
[00:02:30.200 --> 00:02:34.000]  而我多年來又很想去見你們
[00:02:34.000 --> 00:02:37.600]  所以無論我什麼時候去到西班牙
[00:02:37.600 --> 00:02:41.200]  都希望趁我路過的時候和你們見面
[00:02:41.200 --> 00:02:44.000]  先稍微滿足我的心願
[00:02:44.000 --> 00:02:49.400]  然後由你們讓我送行到西班牙那邊去
[00:02:49.400 --> 00:02:51.800]  保羅是想去羅馬
[00:02:51.800 --> 00:02:55.600]  而他又不是最終想停在羅馬
[00:02:55.600 --> 00:02:58.000]  他想去到羅馬探訪完之後
[00:02:58.000 --> 00:03:01.800]  再經過這個地方去到更加遠的地方
[00:03:01.800 --> 00:03:05.000]  好像西班牙那樣去傳福音
[00:03:05.000 --> 00:03:08.400]  如今他來到羅馬了
[00:03:08.400 --> 00:03:11.800]  是有士兵去看守著他
[00:03:11.800 --> 00:03:15.200]  我們看到在第十六節的經文
[00:03:15.200 --> 00:03:19.000]  並且他是帶著鎖鏈的
[00:03:19.000 --> 00:03:21.200]  他被一直看守著
[00:03:21.200 --> 00:03:26.000]  其實由耶路撒冷經過很漫長的旅程
[00:03:26.000 --> 00:03:28.400]  你看看在地圖見到
[00:03:28.400 --> 00:03:31.400]  真是一個很遠的地方
[00:03:31.400 --> 00:03:33.800]  然後他終於來到羅馬了
[00:03:33.800 --> 00:03:36.400]  他一直被看守著
[00:03:36.400 --> 00:03:39.400]  他帶著鎖鏈,為什麼呢?
[00:03:39.400 --> 00:03:43.400]  從第十八至十九節今天的經文
[00:03:43.400 --> 00:03:47.200]  我們看到其實保羅理解到最終
[00:03:47.200 --> 00:03:50.000]  是因為猶太人
[00:03:50.000 --> 00:03:54.000]  就是他的本族猶太人的反對
[00:03:54.000 --> 00:03:57.800]  所以羅馬政府委派的猶太巡撫
[00:03:57.800 --> 00:04:02.800]  菲利斯就不敢釋放保羅
[00:04:02.800 --> 00:04:05.200]  將他留在監獄裏面
[00:04:05.200 --> 00:04:09.600]  是因為反對他自己的本族猶太人
[00:04:09.600 --> 00:04:14.600]  他才到羅馬繼續上訴海殺
[00:04:14.600 --> 00:04:17.000]  其實弟兄姊妹這三個月
[00:04:17.000 --> 00:04:20.000]  我們看經文多次見到
[00:04:20.000 --> 00:04:26.000]  猶太人是不斷不斷被保羅帶來麻煩
[00:04:26.000 --> 00:04:27.800]  又要去捉拿他
[00:04:27.800 --> 00:04:29.600]  又要去控告他
[00:04:29.600 --> 00:04:33.000]  逼他,甚至想他死
[00:04:33.000 --> 00:04:35.800]  你真的不得不佩服保羅
[00:04:35.800 --> 00:04:38.400]  很多猶太領袖是想害保羅
[00:04:38.400 --> 00:04:41.800]  但是保羅是一次又一次
[00:04:41.800 --> 00:04:47.600]  定義想將福音給予猶太人
[00:04:47.600 --> 00:04:50.400]  他每次去到一個新的地方
[00:04:50.400 --> 00:04:53.000]  他都先去到猶太會堂
[00:04:53.000 --> 00:04:57.400]  然後將福音傳給他的同胞猶太人
[00:04:57.400 --> 00:05:00.200]  這次保羅來到羅馬
[00:05:00.200 --> 00:05:02.800]  他被看守著,帶著鎖鏈
[00:05:02.800 --> 00:05:05.800]  他不能去到猶太會堂
[00:05:05.800 --> 00:05:09.800]  他就請同胞猶太人的領袖來
[00:05:09.800 --> 00:05:11.600]  很語重心長
[00:05:11.600 --> 00:05:14.600]  很有耐性地跟他們說話
[00:05:14.600 --> 00:05:18.800]  一開始第十七節都已經說到了
[00:05:18.800 --> 00:05:20.800]  他說:各位弟兄
[00:05:20.800 --> 00:05:23.400]  他稱呼他的那班猶太同胞
[00:05:23.400 --> 00:05:24.800]  各位弟兄
[00:05:24.800 --> 00:05:27.000]  然後第二十節都說到
[00:05:27.000 --> 00:05:31.800]  我請你們來見面談談
[00:05:31.800 --> 00:05:35.800]  保羅其實多次受到猶太人的惡待
[00:05:35.800 --> 00:05:38.600]  有足夠的理由很憤怒他
[00:05:38.600 --> 00:05:40.400]  很憎恨他
[00:05:40.400 --> 00:05:41.200]  很憎恨他們
[00:05:41.200 --> 00:05:43.400]  但是保羅沒有
[00:05:43.400 --> 00:05:45.800]  中期原因是因為二十節
[00:05:45.800 --> 00:05:48.600]  他這裡說到這一句
[00:05:48.600 --> 00:05:52.800]  保羅說:我原是為了以色列的盼望
[00:05:52.800 --> 00:05:56.000]  才戴上這條鎖鏈
[00:05:56.000 --> 00:05:58.600]  為了這份盼望
[00:05:58.600 --> 00:06:00.400]  甘願戴上鎖鏈
[00:06:00.400 --> 00:06:02.800]  為了這份福音的盼望
[00:06:02.800 --> 00:06:05.800]  他甘願放下自己的情感
[00:06:05.800 --> 00:06:09.800]  他的感受和所受的傷害
[00:06:09.800 --> 00:06:12.400]  保羅所做的每一件事
[00:06:12.400 --> 00:06:16.800]  全部是為了福音的盼望的緣故
[00:06:16.800 --> 00:06:18.800]  他穿州過省
[00:06:18.800 --> 00:06:20.800]  一路去羅馬的旅途當中
[00:06:20.800 --> 00:06:22.800]  每次面對審訊
[00:06:22.800 --> 00:06:24.800]  他都很清楚表達
[00:06:24.800 --> 00:06:28.600]  一切都是為了福音的盼望
[00:06:28.600 --> 00:06:32.000]  好像第23章的第6節
[00:06:32.000 --> 00:06:34.000]  他去到猶太公會那裡
[00:06:34.000 --> 00:06:36.600]  面對著薩都哥人
[00:06:36.600 --> 00:06:38.000]  法利塞人
[00:06:38.000 --> 00:06:41.200]  他提出了他之所以被捕受審
[00:06:41.200 --> 00:06:45.000]  是因為盼望死人復活的信念
[00:06:45.000 --> 00:06:48.400]  接著去到24章第15節
[00:06:48.400 --> 00:06:51.400]  保羅在告他的公會代表
[00:06:51.400 --> 00:06:54.000]  和巡撫菲利斯面前
[00:06:54.000 --> 00:06:55.000]  去申辯
[00:06:55.000 --> 00:07:00.000]  坦然承認他相信有死人復活的道理
[00:07:00.000 --> 00:07:03.000]  是為了這份復活盼望的道理
[00:07:03.000 --> 00:07:06.600]  然後去到26章第6節
[00:07:06.600 --> 00:07:11.600]  保羅在阿基帕王和新任巡撫菲斯都那裡
[00:07:11.600 --> 00:07:13.400]  他們去聆訊
[00:07:13.400 --> 00:07:17.000]  又再次提到他之所以受審
[00:07:17.000 --> 00:07:21.000]  全部是因為相信死人復活這個盼望
[00:07:21.000 --> 00:07:24.000]  為了死人復活的盼望
