
[00:00:00.000 --> 00:00:02.000]  大紀元節目主內平安
[00:00:02.000 --> 00:00:07.000]  每個月開始月初的時候我就緊張
[00:00:07.000 --> 00:00:08.000]  緊張什麼呢?
[00:00:08.000 --> 00:00:13.000]  因為我要編定下個月的輪值表
[00:00:13.000 --> 00:00:16.000]  真的需要一個月的時間
[00:00:16.000 --> 00:00:19.000]  就是要提醒大家報上明來
[00:00:19.000 --> 00:00:21.000]  什麼時候不可以侍奉
[00:00:21.000 --> 00:00:24.000]  什麼時候不可以來關卡教會
[00:00:24.000 --> 00:00:30.000]  還有組織牌一起之後又要去看
[00:00:30.000 --> 00:00:32.000]  不知道有沒有AI幫我的
[00:00:32.000 --> 00:00:35.000]  我的AI就是上帝給我的智慧
[00:00:35.000 --> 00:00:36.000]  幸好有弟兄姊妹
[00:00:36.000 --> 00:00:38.000]  我也有助手可以幫到我的
[00:00:38.000 --> 00:00:43.000]  但是心想有些人說有多難
[00:00:43.000 --> 00:00:45.000]  其實是很難的
[00:00:45.000 --> 00:00:46.000]  為什麼呢?
[00:00:46.000 --> 00:00:50.000]  最大的分別就是
[00:00:50.000 --> 00:00:52.000]  你上班
[00:00:52.000 --> 00:00:56.000]  你說拿假老闆可以不批的
[00:00:56.000 --> 00:00:59.000]  你說那天人手不夠
[00:00:59.000 --> 00:01:02.000]  你可不可以不拿假
[00:01:02.000 --> 00:01:03.000]  可以的
[00:01:03.000 --> 00:01:05.000]  你不是說拿假拿假
[00:01:05.000 --> 00:01:08.000]  之前有人說上來退休會拿不到假
[00:01:08.000 --> 00:01:10.000]  但是教會沒有這個東西
[00:01:10.000 --> 00:01:12.000]  我不可以不批你的假
[00:01:12.000 --> 00:01:16.000]  所以有時候有些日子可能真的沒有人了
[00:01:16.000 --> 00:01:17.000]  怎麼辦呢?
[00:01:17.000 --> 00:01:18.000]  會頭痛的
[00:01:18.000 --> 00:01:21.000]  要和我今天說的侍奉也有關係
[00:01:21.000 --> 00:01:23.000]  因為一說侍奉這件事
[00:01:23.000 --> 00:01:26.000]  我們會想起什麼呢?
[00:01:26.000 --> 00:01:29.000]  我們會說你在教會有什麼做
[00:01:29.000 --> 00:01:31.000]  就是你的侍奉
[00:01:31.000 --> 00:01:34.000]  這是一個很狹義的
[00:01:34.000 --> 00:01:36.000]  很 narrow sense 的看法
[00:01:36.000 --> 00:01:38.000]  就是一個工作
[00:01:38.000 --> 00:01:41.000]  或者教會有什麼做
[00:01:41.000 --> 00:01:44.000]  其實聖經提醒我們
[00:01:44.000 --> 00:01:46.000]  侍奉是一個很廣義
[00:01:46.000 --> 00:01:51.000]  不是只是看一件事是一個工作
[00:01:51.000 --> 00:01:53.000]  也不是你做了些什麼
[00:01:53.000 --> 00:01:55.000]  也不是你做得好不好
[00:01:55.000 --> 00:01:57.000]  也不是你做得有沒有人讚賞
[00:01:57.000 --> 00:01:59.000]  這個不是侍奉
[00:01:59.000 --> 00:02:01.000]  無論是新約舊約來說
[00:02:01.000 --> 00:02:03.000]  這個字侍奉這個字
[00:02:03.000 --> 00:02:09.000]  它的意義不是那麼狹窄的
[00:02:09.000 --> 00:02:10.000]  很多時候我都說
[00:02:10.000 --> 00:02:11.000]  就是我們看聖經
[00:02:11.000 --> 00:02:13.000]  我們都是上次說過了
[00:02:13.000 --> 00:02:14.000]  不要站得太前
[00:02:14.000 --> 00:02:17.000]  看著一句就斷章取義
[00:02:17.000 --> 00:02:20.000]  我們退後一點
[00:02:20.000 --> 00:02:22.000]  宏觀一點
[00:02:22.000 --> 00:02:23.000]  今天我們用一個宏觀角度
[00:02:23.000 --> 00:02:24.000]  看什麼叫侍奉
[00:02:24.000 --> 00:02:26.000]  侍奉這件事
[00:02:26.000 --> 00:02:29.000]  在英文的字就是 serve
[00:02:29.000 --> 00:02:32.000]  但是從拉丁文那個字
[00:02:32.000 --> 00:02:33.000]  是 Latria 的字
[00:02:33.000 --> 00:02:35.000]  這個字也是從希臘文出來的
[00:02:35.000 --> 00:02:37.000]  所以聖經新約那個古希臘文
[00:02:37.000 --> 00:02:39.000]  那個字 Latria 的字
[00:02:39.000 --> 00:02:43.000]  其實它就不是說一個工作
[00:02:43.000 --> 00:02:45.000]  它說是第一
[00:02:45.000 --> 00:02:46.000]  有幾個條件的
[00:02:46.000 --> 00:02:47.000]  當你用這個字
[00:02:47.000 --> 00:02:50.000]  第一 是面對上帝
[00:02:50.000 --> 00:02:52.000]  它不單止面對上帝
[00:02:52.000 --> 00:02:56.000]  你是欠了上帝你要還的
[00:02:56.000 --> 00:02:58.000]  哇 原來挺嚴重的
[00:02:58.000 --> 00:03:00.000]  為什麼你會欠了上帝呢
[00:03:00.000 --> 00:03:01.000]  一定是的
[00:03:01.000 --> 00:03:03.000]  因為當他在罪人的時候
[00:03:03.000 --> 00:03:07.000]  上帝已經派耶穌基督來拯救了我們
[00:03:07.000 --> 00:03:12.000]  他用重價將我們贖回
[00:03:12.000 --> 00:03:14.000]  所以我們欠了上帝
[00:03:14.000 --> 00:03:16.000]  說的不是誇張的
[00:03:16.000 --> 00:03:19.000]  第二就是這個不是一個工作
