
[00:00:00.000 --> 00:00:06.080]  我很感謝主 今天我們繼續去看信仰基本功
[00:00:06.080 --> 00:00:10.240]  我們也在看登山寶訓的系列
[00:00:10.240 --> 00:00:15.000]  講到差不多尾聲 7月份我們就會完結了這個系列
[00:00:15.000 --> 00:00:21.880]  我們今天會看結語 耶穌基督在馬丁福音第七章
[00:00:21.880 --> 00:00:25.400]  大家也知道 登山寶訓是五至七章
[00:00:25.400 --> 00:00:30.760]  七章尾的時候 耶穌整篇講到的終結是怎樣
[00:00:30.760 --> 00:00:36.000]  我們看看耶穌怎樣講 一段大家很熟悉也很簡單的經文
[00:00:36.000 --> 00:00:38.640]  所以凡聽了我者話而去做的
[00:00:38.640 --> 00:00:42.480]  好比一個聰明人把防止蓋在盤石上
[00:00:42.480 --> 00:00:44.880]  風吹雨打水沖
[00:00:44.880 --> 00:00:48.360]  撞擊那防止 防止總不倒塌
[00:00:48.360 --> 00:00:51.000]  因為根基立在盤石上
[00:00:51.000 --> 00:00:54.040]  凡聽了我者話而不去做的
[00:00:54.040 --> 00:00:58.240]  好比一個無知的人把防止蓋在沙土上
[00:00:58.240 --> 00:01:00.440]  風吹雨打水沖
[00:01:00.440 --> 00:01:03.320]  撞擊那防止 防止就倒塌了
[00:01:03.320 --> 00:01:06.080]  並且倒塌得很厲害
[00:01:06.080 --> 00:01:07.680]  耶穌講完後者說
[00:01:07.680 --> 00:01:11.200]  眾人對他的教導都感到驚奇
[00:01:11.200 --> 00:01:15.240]  因為他教導他們正像有權病的人
[00:01:15.240 --> 00:01:19.160]  不像他們的民事
[00:01:19.160 --> 00:01:27.280]  剛才蕉木師講到我們希望多些發展青年的工作
[00:01:27.280 --> 00:01:34.520]  兩個月之前有一個大型的研究
[00:01:34.520 --> 00:01:38.240]  講到在美國歷史上
[00:01:38.240 --> 00:01:40.440]  有統計以來
[00:01:40.440 --> 00:01:45.440]  教會經常聚會或者會友的人數
[00:01:45.440 --> 00:01:49.120]  首次跌破了51%
[00:01:49.120 --> 00:01:52.080]  這個研究告訴我們
[00:01:52.080 --> 00:01:56.080]  一直以來有些人都會回教會
[00:01:56.080 --> 00:01:59.360]  固定回教會或成為教會的會友
[00:01:59.360 --> 00:02:01.600]  但最近當訪問
[00:02:01.600 --> 00:02:07.000]  抽樣訪問當然不能全美國人都調查
[00:02:07.000 --> 00:02:12.760]  發現開始少於51%的人
[00:02:12.760 --> 00:02:14.120]  在美國人告訴你
[00:02:14.120 --> 00:02:15.680]  就是經常會回教會
[00:02:15.680 --> 00:02:18.840]  或者已經是教會的會友
[00:02:18.840 --> 00:02:21.480]  這個一直下降
[00:02:21.480 --> 00:02:22.720]  在70年代的時候
[00:02:22.720 --> 00:02:23.640]  70%多
[00:02:23.640 --> 00:02:24.800]  然後60%多
