
[00:00:00.000 --> 00:00:03.000]  (第129篇)
[00:00:03.000 --> 00:00:10.500]  (由於大家任從嘅版本)
[00:00:10.500 --> 00:00:13.500]  (我用咗一個盧客本嘅修訂本)
[00:00:13.500 --> 00:00:16.000]  (有幾隻字係唔同嘅)
[00:00:16.000 --> 00:00:20.500]  (咁我想大家讀我提供嘅個版本)
[00:00:20.500 --> 00:00:23.500]  (就係第129篇)
[00:00:23.500 --> 00:00:27.000]  (開始係度讀)
[00:00:27.000 --> 00:00:30.500]  (說吧,以色列,從我幼年以來)
[00:00:30.500 --> 00:00:32.500]  (人類似苦害我)
[00:00:32.500 --> 00:00:36.500]  (從我幼年以來,人類似苦害我)
[00:00:36.500 --> 00:00:38.500]  (各別有勝過我)
[00:00:38.500 --> 00:00:42.000]  (負禮的人在我半上,負禮而奸)
[00:00:42.000 --> 00:00:45.500]  (奸的泥鳩很長)
[00:00:45.500 --> 00:00:47.000]  嘩!都好慘呀!
[00:00:47.000 --> 00:00:49.000]  (跟住就,佢話)
[00:00:49.000 --> 00:00:51.000]  (要話,是公義的)
[00:00:51.000 --> 00:00:54.000]  (他肯斷你惡人的誠心)
[00:00:54.000 --> 00:00:58.000]  (怨恨惡劣案的,都蒙羞退後)
[00:00:58.000 --> 00:01:02.500]  (怨他們像房頂上的草)
[00:01:02.500 --> 00:01:04.500]  (一撒芽就枯葛)
[00:01:04.500 --> 00:01:07.500]  (收割的,不夠用手罩一把)
[00:01:07.500 --> 00:01:11.000]  (捆和的,也不夠抱滿懷)
[00:01:11.000 --> 00:01:14.000]  (汪旺的人也說)
[00:01:14.000 --> 00:01:17.000]  (怨耶和華所賜的福,歸於你們)
[00:01:17.000 --> 00:01:21.500]  (可願奉耶和華的名,給你們祝福)
[00:01:24.000 --> 00:01:30.000]  因為《朝聖詩》有一百二十一篇,到一百三十四篇
[00:01:30.000 --> 00:01:34.000]  一百二十篇,到一百三十四篇,一共有十五篇
[00:01:34.000 --> 00:01:37.000]  我現在講到尾聲
[00:01:37.000 --> 00:01:42.000]  不能夠從第一首,一百二十首作為複述篇
[00:01:42.000 --> 00:01:45.000]  大家記得,每一首都有不同的視覺
[00:01:45.000 --> 00:01:48.000]  那個朝聖者,用不同的視覺
[00:01:48.000 --> 00:01:51.000]  來說出他心裏面的說話
[00:01:51.000 --> 00:01:54.000]  對神的讚美、祈禱
[00:01:54.000 --> 00:01:59.000]  我們就去到第一百二十九篇
[00:01:59.000 --> 00:02:06.000]  一篇是講,回頭中,上行先有去,而有返,有返先得
[00:02:06.000 --> 00:02:10.000]  我講過,如果去朝聖,一去不返,這叫「朝聖」
[00:02:10.000 --> 00:02:14.000]  這叫甚麼?「飄流」,這叫甚麼?「久光」
[00:02:14.000 --> 00:02:18.000]  朝聖,你的目的地,你要去那裏前行
[00:02:18.000 --> 00:02:21.000]  去朝聖的目的,上行的目的
[00:02:21.000 --> 00:02:24.000]  去聖地的目的,去親近神的目的
[00:02:24.000 --> 00:02:29.000]  去敬拜神的目的,是要返回自己原來的地方
[00:02:29.000 --> 00:02:33.000]  在那裏繼續生活,來永遠神,見精神
[00:02:33.000 --> 00:02:38.000]  所以,這是一個回家的途中人
[00:02:38.000 --> 00:02:41.000]  在聖地裏面敬拜完
[00:02:41.000 --> 00:02:45.000]  祭司、律師祝福了他們,就送他們回家
[00:02:45.000 --> 00:02:49.000]  你們可以走了,然後他們回家途中
[00:02:49.000 --> 00:02:54.000]  他們再一次想到,他們回去要面對他們的敵人
[00:02:54.000 --> 00:03:00.000]  面對那些壓迫他們,欺壓他們,苦害他們的那些人
[00:03:00.000 --> 00:03:03.000]  那心情是怎樣呢?
[00:03:03.000 --> 00:03:09.000]  其實這首的詩篇和一百二十四篇,是一個姊妹的詩篇
[00:03:09.000 --> 00:03:11.000]  一百二十四篇
[00:03:11.000 --> 00:03:24.000]  (粵語)
[00:03:24.000 --> 00:03:26.000]  這裏都是一樣的
[00:03:26.000 --> 00:03:28.000]  (粵語)
[00:03:28.000 --> 00:03:32.000]  即是,詩的詩歌裏有領師爺
[00:03:32.000 --> 00:03:39.000]  (粵語)
[00:03:39.000 --> 00:03:48.000]  (粵語)
[00:03:48.000 --> 00:03:54.000]  (粵語)
[00:03:54.000 --> 00:04:00.000]  (粵語)
[00:04:00.000 --> 00:04:04.000]  (粵語)
[00:04:04.000 --> 00:04:08.000]  這首是一首甚麼性質的詩篇呢?
