
[00:00:00.000 --> 00:00:03.000]  諸位弟兄姊妹平安
[00:00:03.000 --> 00:00:07.000]  很開心能夠和大家在教會裏面見面
[00:00:07.000 --> 00:00:14.000]  也想和在家中的弟兄姊妹說一聲主內平安
[00:00:14.000 --> 00:00:20.000]  我相信大家都聽過一句說話
[00:00:20.000 --> 00:00:22.000]  叫做「民以食為天」
[00:00:27.000 --> 00:00:33.000]  我相信大家都會認同食和我們每一個人都息息相關
[00:00:33.000 --> 00:00:41.000]  聖經當中有一節經文
[00:00:41.000 --> 00:00:45.000]  是和食很有關係的
[00:00:45.000 --> 00:00:52.000]  我認為是一節我們在生活上很容易運用的經文
[00:00:57.000 --> 00:00:58.000]  讓我們一起讀出
[00:00:58.000 --> 00:01:08.000]  「人活著,不是單靠食物,乃是靠神口裏所出的一切話」
[00:01:08.000 --> 00:01:11.000]  這節經文又應該怎樣用呢?
[00:01:11.000 --> 00:01:15.000]  我就說幾個情況,你一定有一個適合用
[00:01:15.000 --> 00:01:24.000]  如果你是父母,你做好了晚餐
[00:01:26.000 --> 00:01:29.000]  你的兒女說:哎呀!為什麼今天不是很好吃?
[00:01:29.000 --> 00:01:37.000]  你就可以這樣對他們說:不好吃都照吃
[00:01:37.000 --> 00:01:41.000]  人活著,不是單靠食物
[00:01:41.000 --> 00:01:46.000]  乃是靠神口裏所出的一切話
[00:01:46.000 --> 00:01:52.000]  同樣的情況,如果你的兒女覺得不好吃
[00:01:56.000 --> 00:02:00.000]  你又可以這樣對他們說:不好吃你就別吃
[00:02:00.000 --> 00:02:04.000]  人活著,不是單靠食物
[00:02:04.000 --> 00:02:08.000]  乃是靠神口裏所出的一切話
[00:02:08.000 --> 00:02:13.000]  還有一個用法
[00:02:13.000 --> 00:02:18.000]  出去和朋友吃飯,桌上有一樣東西你不太想吃
[00:02:24.000 --> 00:02:26.000]  總會有時候有個朋友口多多
[00:02:26.000 --> 00:02:28.000]  他說:哎呀!要均衡飲食你吃吧
[00:02:28.000 --> 00:02:38.000]  這個時候你就可以說:人活著,不是單靠食物
[00:02:38.000 --> 00:02:43.000]  還有一個用法
[00:02:43.000 --> 00:02:46.000]  就是當我們健身的時候
[00:02:46.000 --> 00:02:52.000]  身體很餓
[00:02:54.000 --> 00:02:55.000]  但是不能吃
[00:02:55.000 --> 00:03:00.000]  這個時候你就要有一本聖經
[00:03:00.000 --> 00:03:03.000]  跟自己說
[00:03:03.000 --> 00:03:07.000]  人活著,不是單靠食物
[00:03:07.000 --> 00:03:11.000]  乃是靠神口裏所出的一切話
[00:03:11.000 --> 00:03:18.000]  等於姐妹,這本經文其實很多處境都可以用
[00:03:22.000 --> 00:03:24.000]  大家記得了嗎?
[00:03:24.000 --> 00:03:28.000]  這時間大家崇拜之後,吃飯的時候可以用一下
[00:03:28.000 --> 00:03:34.000]  讓我們低頭祈禱,好嗎?
[00:03:34.000 --> 00:03:37.000]  親愛的恩主,我們感謝你
[00:03:37.000 --> 00:03:40.000]  感謝你賜下這本經文給我們
[00:03:40.000 --> 00:03:46.000]  提醒我們,的確人活著,不是單靠食物
[00:03:50.000 --> 00:03:52.000]  乃是靠著你,靠著你口裏所出的一切話
[00:03:52.000 --> 00:03:58.000]  願神你給我們有這樣的信心,有這樣的體見
[00:03:58.000 --> 00:04:04.000]  叫我們真正依靠你
[00:04:04.000 --> 00:04:08.000]  正如主耶穌基督依靠你一樣
[00:04:08.000 --> 00:04:13.000]  願你的聖靈今天親自跟我們說話
[00:04:13.000 --> 00:04:18.000]  禱告祈求奉耶穌基督的名
[00:04:21.000 --> 00:04:22.000]  阿們
