
[00:00:00.000 --> 00:00:01.800]  有一個基督徒
[00:00:01.800 --> 00:00:04.400]  他夢見自己走在一條路上
[00:00:04.400 --> 00:00:06.400]  一直走著走著
[00:00:06.400 --> 00:00:09.780]  走到一個三叉路口
[00:00:09.780 --> 00:00:13.480]  他不知道應該向哪個方向繼續走
[00:00:13.480 --> 00:00:16.200]  於是就停住了
[00:00:16.200 --> 00:00:17.660]  籌措了很久
[00:00:17.660 --> 00:00:21.860]  他終於想到一個解決的方法
[00:00:21.860 --> 00:00:23.320]  就是摘蠔
[00:00:23.320 --> 00:00:26.240]  看看是公還是子
[00:00:26.240 --> 00:00:28.800]  他覺得自己實在沒有辦法
[00:00:28.800 --> 00:00:30.240]  如果是公仔的話
[00:00:30.240 --> 00:00:32.480]  我就走右邊
[00:00:32.480 --> 00:00:33.720]  如果不是呢
[00:00:33.720 --> 00:00:36.140]  就走左邊
[00:00:36.140 --> 00:00:38.360]  他接著就祈禱說
[00:00:38.360 --> 00:00:39.620]  主啊
[00:00:39.620 --> 00:00:42.340]  請祢引導我扔這個蚊子
[00:00:42.340 --> 00:00:46.500]  請祢引領我祢的道路
[00:00:46.500 --> 00:00:49.560]  一個好像很屬靈的方法
[00:00:49.560 --> 00:00:52.640]  但是神沒有回答他
[00:00:52.640 --> 00:00:56.700]  於是他就將蚊子扔出去
[00:00:56.700 --> 00:01:00.760]  一邊心繼續默默的想著
[00:01:00.760 --> 00:01:06.100]  讓這個蚊子來顯示神的旨意
[00:01:06.100 --> 00:01:07.680]  蚊子落地之後
[00:01:07.680 --> 00:01:09.540]  是公仔
[00:01:09.540 --> 00:01:11.600]  但是他仍然不確定
[00:01:11.600 --> 00:01:13.440]  這個是不是神的旨意
[00:01:13.440 --> 00:01:15.600]  他自言自語地說
[00:01:15.600 --> 00:01:18.040]  嗯 扔三次
[00:01:18.040 --> 00:01:20.960]  三盤兩勝都很公道
[00:01:20.960 --> 00:01:22.780]  兩次是公仔
[00:01:22.780 --> 00:01:26.600]  我就走右邊
[00:01:26.600 --> 00:01:28.200]  他接著又禱告說
