
[00:00:00.000 --> 00:00:03.000]  今天我把這一段經文
[00:00:03.000 --> 00:00:07.000]  定一個題目叫做 有人陪伴是一種幸福
[00:00:07.000 --> 00:00:09.000]  所以我想在我們生命當中
[00:00:09.000 --> 00:00:12.000]  有很多美好的事都在發生
[00:00:12.000 --> 00:00:15.000]  最美好的事就是你周邊這群的弟兄姊妹
[00:00:15.000 --> 00:00:19.000]  他跟你坐在一起 一起敬拜 一起享受生命的喜樂
[00:00:19.000 --> 00:00:21.000]  所以好不好 你要不要看一看隔壁的
[00:00:21.000 --> 00:00:23.000]  給他一個溫柔的笑容
[00:00:23.000 --> 00:00:26.000]  告訴他說 有你真好 對不對
[00:00:30.000 --> 00:00:34.000]  這段經文我們應該很多人也常常讀
[00:00:34.000 --> 00:00:37.000]  特別很多教會在提告教會的建造的時候
[00:00:37.000 --> 00:00:39.000]  各位讀到這一段經文
[00:00:39.000 --> 00:00:41.000]  因為這是初代教會的時候
[00:00:41.000 --> 00:00:45.000]  弟兄姊妹聚集在一處所做的一些事情
[00:00:45.000 --> 00:00:47.000]  那這一段經文從哪裡開始呢
[00:00:47.000 --> 00:00:51.000]  我從眾人聽見這話覺得紮心開始
[00:00:51.000 --> 00:00:54.000]  也就是彼得他跟門徒他們在講道
[00:00:54.000 --> 00:00:57.000]  講道完以後 旁邊的人就聽見
[00:00:57.000 --> 00:00:59.000]  他就覺得感動
[00:00:59.000 --> 00:01:01.000]  甚至用的詞是紮心
[00:01:01.000 --> 00:01:03.000]  就好像一根針刺在他心裡面
[00:01:03.000 --> 00:01:06.000]  讓他覺得他心中有一個東西被挑出來
[00:01:06.000 --> 00:01:07.000]  什麼被挑出來
[00:01:07.000 --> 00:01:10.000]  就覺得我有罪了 我需要來改變
[00:01:10.000 --> 00:01:12.000]  所以這群人很自然地
[00:01:12.000 --> 00:01:14.000]  他們就來問彼得跟叔叔說
[00:01:14.000 --> 00:01:16.000]  我們該做什麼
[00:01:16.000 --> 00:01:18.000]  而這是很特別的一件事
[00:01:18.000 --> 00:01:20.000]  剛剛我們被神的話語所感動的時候
[00:01:20.000 --> 00:01:22.000]  你會回應的 就是我該做什麼
[00:01:22.000 --> 00:01:26.000]  不是別人來問你 也不是別人要求你要做什麼
[00:01:26.000 --> 00:01:28.000]  而是你自己裡頭有一個回應說
[00:01:28.000 --> 00:01:30.000]  我該做 彼得是說很簡單嘛
[00:01:30.000 --> 00:01:31.000]  你就怎麼樣 悔改
[00:01:31.000 --> 00:01:33.000]  然後奉耶穌的名受洗
[00:01:33.000 --> 00:01:34.000]  然後叫你們罪得赦
[00:01:34.000 --> 00:01:38.000]  然後就被釋鎖四個聖靈在你們當中
[00:01:38.000 --> 00:01:39.000]  這也是很簡單
[00:01:39.000 --> 00:01:43.000]  可是這段經文的結束並不在這裡
[00:01:43.000 --> 00:01:44.000]  這段經文的結束
[00:01:44.000 --> 00:01:47.000]  他們這一群人居然做了一件事情
[00:01:47.000 --> 00:01:51.000]  就是他們聚集在一起生活
[00:01:51.000 --> 00:01:54.000]  這時候教會還沒有遭逼迫
[00:01:54.000 --> 00:01:57.000]  是之前耶穌受到逼迫
[00:01:57.000 --> 00:02:00.000]  但是基雄子孫也並沒有受到逼迫
[00:02:00.000 --> 00:02:02.000]  基雄子孫仍然可以分享信仰
[00:02:02.000 --> 00:02:05.000]  基雄子孫仍然可以在當中做見證
[00:02:05.000 --> 00:02:06.000]  還沒有逼迫
[00:02:06.000 --> 00:02:07.000]  所以還很安逸的在這裡
[00:02:07.000 --> 00:02:09.000]  他們就覺得很好
[00:02:09.000 --> 00:02:11.000]  因為聖靈充滿我們
[00:02:11.000 --> 00:02:12.000]  所以他們講到的時候
[00:02:12.000 --> 00:02:13.000]  這群人可以聚集
[00:02:13.000 --> 00:02:14.000]  所以有一個理由
[00:02:14.000 --> 00:02:17.000]  那個理由不是因為被逼迫
[00:02:17.000 --> 00:02:18.000]  他們聚在一起群懷
[00:02:18.000 --> 00:02:20.000]  說我們很受傷
[00:02:20.000 --> 00:02:22.000]  不是 這其實只有一個原因
[00:02:22.000 --> 00:02:24.000]  那個理由是因為被神的話感動
[00:02:24.000 --> 00:02:28.000]  他們覺得我們需要聚會
[00:02:28.000 --> 00:02:31.000]  我們需要彼此在一起
[00:02:31.000 --> 00:02:32.000]  我們彼此在一起
[00:02:32.000 --> 00:02:34.000]  就會發生許多的事情
[00:02:34.000 --> 00:02:36.000]  聖士觀經文要提醒我們一件事
[00:02:36.000 --> 00:02:38.000]  所以他們就聚集在一起
[00:02:38.000 --> 00:02:39.000]  他們聚集在一起做什麼呢
[00:02:39.000 --> 00:02:41.000]  他們聚集在一起
[00:02:41.000 --> 00:02:45.000]  他們就彼此交接 撥餅 祈禱
[00:02:45.000 --> 00:02:46.000]  他們聚集在一起
[00:02:46.000 --> 00:02:49.000]  他們就發現我們可以把錢場賣出來
