
[00:00:00.000 --> 00:00:05.000]  過去這兩個月特別給大家來思想三個字
[00:00:05.000 --> 00:00:10.000]  這個是我在教會的帶領的原理
[00:00:10.000 --> 00:00:17.000]  我盼望大家能夠在其中能夠明白教會牧羊的原理
[00:00:17.000 --> 00:00:23.000]  也在其中能夠幫助大家繼續與教會同步
[00:00:23.000 --> 00:00:28.000]  我上次跟大家來分享第一個字叫做QT
[00:00:28.000 --> 00:00:32.000]  只有一個與神常同在的人
[00:00:32.000 --> 00:00:37.000]  才會曉得神的聲音、神的意思
[00:00:37.000 --> 00:00:44.000]  在家裡面做兒子的,若是兒子沒有跟父母一起溝通
[00:00:44.000 --> 00:00:52.000]  在這個關係裡面,縱然有了這個關係,也沒有這種成長
[00:00:52.000 --> 00:00:57.000]  QT是生命,基督徒生命中與神交往的一種表達
[00:00:57.000 --> 00:01:00.000]  只有建立在這種的關係裡面
[00:01:00.000 --> 00:01:06.000]  我們的生命才開始看見他如何來轉變我們
[00:01:06.000 --> 00:01:10.000]  第二個字叫做DT門徒訓練
[00:01:10.000 --> 00:01:13.000]  門徒訓練是耶穌的心腸
[00:01:13.000 --> 00:01:17.000]  耶穌要呼喚一群人跟隨他
[00:01:17.000 --> 00:01:22.000]  那些能聽到主的聲音的人才可以跟隨他
[00:01:22.000 --> 00:01:28.000]  所以教會的生活裡面,不僅僅是我相信是什麼
[00:01:28.000 --> 00:01:32.000]  我們要問我們跟隨的是誰
[00:01:32.000 --> 00:01:36.000]  第三個字叫做LT,叫做領受的訓練
[00:01:36.000 --> 00:01:41.000]  也是今天跟大家來在當中分享的這個主題
[00:01:41.000 --> 00:01:47.000]  我相信在教會裡面,有一個神沒有改變的心意
[00:01:47.000 --> 00:01:51.000]  這個心意還是要裝備教會的帶領者
[00:01:51.000 --> 00:01:54.000]  所以我希望今天透過這個分享
[00:01:54.000 --> 00:01:58.000]  讓大家來看見教會所奔跑的道路
[00:01:58.000 --> 00:02:01.000]  是透過信徒與神的親密
[00:02:01.000 --> 00:02:05.000]  透過信徒願意跟隨主耶穌的腳蹤
[00:02:05.000 --> 00:02:12.000]  也透過教會中被挑選訓練的這些的帶領者
[00:02:12.000 --> 00:02:16.000]  來滿足神在教會中的心意
[00:02:16.000 --> 00:02:21.000]  在這個時候讓我來跟大家來念三節的經文
[00:02:21.000 --> 00:02:25.000]  我先把前面的兩節的經文念給大家聽
[00:02:25.000 --> 00:02:32.000]  當中有路加福音的六章十二節好像沒有在螢幕上面
[00:02:32.000 --> 00:02:34.000]  讓我在這個時候念給大家聽
[00:02:34.000 --> 00:02:38.000]  路加福音六章的十二跟十三節
[00:02:38.000 --> 00:02:43.000]  然後馬可福音的第三章十三到十五節
[00:02:43.000 --> 00:02:50.000]  那時耶穌出去上山禱告,整夜禱告上帝
[00:02:50.000 --> 00:02:52.000]  到了天亮叫他的門徒來
[00:02:52.000 --> 00:02:57.000]  就從他們中間挑選了十二個人
[00:02:57.000 --> 00:03:00.000]  稱他們為使徒
[00:03:00.000 --> 00:03:07.000]  有相類似的記載在馬可福音的第三章十三到十五節
[00:03:07.000 --> 00:03:12.000]  耶穌上了山,隨著自己的意識叫人來
[00:03:12.000 --> 00:03:15.000]  他們便來到他的面前
[00:03:15.000 --> 00:03:22.000]  他就設立十二個人,要他們常和自己同在
[00:03:22.000 --> 00:03:28.000]  也要派他們去傳道,並給他們權柄趕鬼
[00:03:28.000 --> 00:03:30.000]  這兩個經文都是講到
[00:03:30.000 --> 00:03:35.000]  主耶穌在開始地上服事的那三十歲的時候
[00:03:35.000 --> 00:03:40.000]  所被聖經的話語記載的一個行動
[00:03:40.000 --> 00:03:43.000]  第一個行動講到耶穌退到山上
[00:03:43.000 --> 00:03:45.000]  整夜的禱告
[00:03:45.000 --> 00:03:50.000]  大概是耶穌心裡面很願意聽到上帝的聲音
[00:03:50.000 --> 00:03:53.000]  知道上帝的心意是如何
[00:03:53.000 --> 00:03:56.000]  所以作為神子耶穌基督
[00:03:56.000 --> 00:03:59.000]  整夜在神的面前禱告
[00:03:59.000 --> 00:04:02.000]  為要明白天父的心意
[00:04:02.000 --> 00:04:04.000]  一個人能夠整夜的禱告
[00:04:04.000 --> 00:04:10.000]  相信是因為這個禱告的事情是他心裡面最關切的事情
[00:04:10.000 --> 00:04:14.000]  到了天亮,他就叫他的門徒
[00:04:14.000 --> 00:04:16.000]  從他們的中間
[00:04:16.000 --> 00:04:20.000]  意思就是說,在他們這些門徒的裡面
[00:04:20.000 --> 00:04:24.000]  他從中挑選了十二個人
[00:04:24.000 --> 00:04:27.000]  要稱他們為使徒
[00:04:27.000 --> 00:04:31.000]  使徒的身份乃是受託受差的儀式
[00:04:31.000 --> 00:04:36.000]  簡單的說明,就如同一個國家的使者一樣
[00:04:36.000 --> 00:04:41.000]  被委託來做出代表國家的舉動
[00:04:41.000 --> 00:04:46.000]  這個類似於現在大事的這個角色
[00:04:46.000 --> 00:04:48.000]  神要挑選十二個人
[00:04:48.000 --> 00:04:51.000]  為要他們能夠代表天國的福音
[00:04:51.000 --> 00:04:54.000]  能夠在當中代表了耶穌的身份
[00:04:54.000 --> 00:04:58.000]  向世界宣講這個福音的原理
[00:04:58.000 --> 00:05:02.000]  而且這十個人不僅僅是被分別出來
