
[00:00:00.000 --> 00:00:02.280]  弟兄姊妹,你們都好
[00:00:02.280 --> 00:00:07.240]  在過去的十二月三十一日
[00:00:07.240 --> 00:00:14.160]  教會在這裡進行了一個聚會
[00:00:14.160 --> 00:00:15.960]  那個叫做什麼聚會呢?
[00:00:15.960 --> 00:00:19.920]  叫做感恩晚會
[00:00:19.920 --> 00:00:23.800]  弟兄姊妹來到這裡數算
[00:00:23.800 --> 00:00:30.880]  過去一年的裡面,神在他們身上所做的每一件工作
[00:00:30.880 --> 00:00:34.420]  來到這裡,跟弟兄姊妹一同分享
[00:00:34.420 --> 00:00:39.380]  神是怎樣幫助他們,帶領他們在過去的一年裡面
[00:00:39.380 --> 00:00:44.420]  去到怎樣去到生活,以及得著能力
[00:00:44.420 --> 00:00:47.880]  新曆就過了,新年新年
[00:00:47.880 --> 00:00:49.800]  九曆新年即將到來
[00:00:49.800 --> 00:00:55.800]  很多時候我們就跟著,會不會在農曆新年之前
[00:00:55.800 --> 00:00:59.140]  都在神的面前,或者是弟兄姊妹
[00:00:59.140 --> 00:01:02.960]  有些團體的時間,或者是小組的時間
[00:01:02.960 --> 00:01:07.000]  去到數算神的恩典呢?
[00:01:07.000 --> 00:01:12.640]  今晚就跟各位分享一個叫做感恩的生命
[00:01:12.640 --> 00:01:17.300]  感恩的生命,怎樣去到才叫做感恩的生命呢?
[00:01:17.300 --> 00:01:22.000]  先說什麼叫做感恩
[00:01:22.000 --> 00:01:28.460]  其實感恩這個詞彙,或者是這種動態
[00:01:28.460 --> 00:01:31.500]  或者是這種心態
[00:01:31.500 --> 00:01:37.800]  在我們日常的生活裡面,經常都會出現
[00:01:37.800 --> 00:01:41.180]  其中一樣東西,讓各位先開心一下
[00:01:41.180 --> 00:01:46.300]  如果有人白白,很真誠地送一個iPhone11給你
[00:01:46.300 --> 00:01:48.680]  你怎樣?你跟著說什麼?
[00:01:48.680 --> 00:01:53.300]  多謝,一會兒散會不要問我拿
[00:01:53.300 --> 00:01:59.300]  接下來有些小朋友,這裡有很多都已經做了父母
[00:01:59.300 --> 00:02:02.300]  都是一個長輩
[00:02:02.300 --> 00:02:07.800]  過兩個禮拜之後,我們就會送一些紅包出去
[00:02:07.800 --> 00:02:10.800]  那些小朋友接著是怎樣?
[00:02:10.800 --> 00:02:14.300]  不是說聲多謝,也說聲新年快樂
[00:02:14.300 --> 00:02:18.300]  但是他們一收到這個紅包的時候
[00:02:18.300 --> 00:02:20.300]  心裡面是怎樣?
[00:02:20.300 --> 00:02:22.300]  一份興奮
[00:02:22.300 --> 00:02:28.300]  雖然改了那幾個字,不說多謝
[00:02:28.300 --> 00:02:30.300]  只是說新年快樂
[00:02:30.300 --> 00:02:32.300]  這些說話
[00:02:32.300 --> 00:02:37.300]  或者是,如果自己的子女都是基督徒
[00:02:37.300 --> 00:02:40.300]  可能就是身盡力健,福輝滿日
