
[00:00:00.000 --> 00:00:05.980]  多謝在很多抑鬱的陰霾裏面
[00:00:05.980 --> 00:00:10.820]  我們可以在敬拜中間有些經驗突破
[00:00:10.820 --> 00:00:14.900]  的確我想這幾個星期是一個香港人
[00:00:14.900 --> 00:00:19.340]  或者你和我都會有很相似的感覺和體會
[00:00:19.340 --> 00:00:22.340]  有人說香港現在是集體抑鬱
[00:00:22.340 --> 00:00:26.000]  所以其實是很需要醫治
[00:00:26.000 --> 00:00:28.500]  很需要激勵 很需要鼓舞
[00:00:28.500 --> 00:00:33.840]  我想想 昨天我清晨要講道
[00:00:33.840 --> 00:00:35.740]  昨天是星期六
[00:00:35.740 --> 00:00:39.400]  所以我在家裏回來 我坐巴士
[00:00:39.400 --> 00:00:40.900]  我講講我的心情
[00:00:40.900 --> 00:00:44.300]  坐巴士在四美街下車
[00:00:44.300 --> 00:00:46.340]  四美街下車那個站一下車
[00:00:46.340 --> 00:00:49.420]  我見到在我後面有另一架巴士
[00:00:49.420 --> 00:00:50.980]  又停在那裏
[00:00:50.980 --> 00:00:54.580]  那架巴士268C
[00:00:54.580 --> 00:00:58.100]  我想這架巴士是來自元朗那邊的
[00:00:58.100 --> 00:01:03.180]  我突然間心裏有很多感觸 感覺
[00:01:03.180 --> 00:01:04.540]  我就看看是甚麼人下車
[00:01:04.540 --> 00:01:06.180]  見到一個穿著黑衣的年輕人
[00:01:06.180 --> 00:01:07.780]  這架巴士下車
[00:01:07.780 --> 00:01:10.300]  我馬上看看他有沒有受傷
[00:01:10.300 --> 00:01:12.000]  大概是六點多的時候
[00:01:12.000 --> 00:01:17.180]  馬上其實很反映那個心境
[00:01:17.180 --> 00:01:23.040]  在那個狀況裏面很記掛著他們
[00:01:23.040 --> 00:01:28.980]  所以我想這種心情是很多人有的心情
[00:01:28.980 --> 00:01:31.420]  今早起床 看看清了場沒有
[00:01:31.420 --> 00:01:32.720]  有多少人受傷
[00:01:32.720 --> 00:01:40.820]  關心這些新聞的報道
[00:01:40.820 --> 00:01:42.820]  同一個時間我想起另外一幕
[00:01:42.820 --> 00:01:45.120]  就是我們去回家
[00:01:45.120 --> 00:01:46.220]  有哪些人有去的
[00:01:46.220 --> 00:01:49.060]  參與過其中一部份 都有不少
[00:01:49.060 --> 00:01:53.340]  那裏是講合一 講家
[00:01:53.340 --> 00:01:54.540]  教會是一家
[00:01:54.540 --> 00:01:57.580]  特別是華人世界裏面的那五個族群
[00:01:57.580 --> 00:01:58.980]  成為一家人
[00:01:58.980 --> 00:02:00.580]  我想起一件事就是
[00:02:00.580 --> 00:02:06.380]  其實香港現在這個時候有很多矛盾衝突
[00:02:06.380 --> 00:02:09.880]  我們固然有我們的看法
[00:02:09.880 --> 00:02:16.060]  不過這個矛盾衝突是真實出現在我們城市裏面
[00:02:16.060 --> 00:02:17.860]  我們想一想 我們真是好了
[00:02:17.860 --> 00:02:20.060]  一家人 可以成為一家人
[00:02:20.060 --> 00:02:22.660]  我發覺有一個經驗很特別
[00:02:22.660 --> 00:02:24.660]  我離開的時候 應該是第二天
[00:02:24.660 --> 00:02:27.100]  我離開的時候坐巴士
[00:02:27.100 --> 00:02:29.100]  我坐S1 轉地鐵
[00:02:29.100 --> 00:02:32.100]  巴士站有很多人排隊等車
[00:02:32.100 --> 00:02:34.100]  所以有很多人 都長了一段路
[00:02:34.100 --> 00:02:35.600]  巴士還沒來
[00:02:35.600 --> 00:02:37.600]  我看到在排隊中間
[00:02:37.600 --> 00:02:38.600]  在我前前後後
[00:02:38.600 --> 00:02:40.600]  有些內地的家人在那裏
[00:02:40.600 --> 00:02:43.600]  談幾句 用普通話
[00:02:43.600 --> 00:02:45.600]  有些來自廣東省的
[00:02:45.600 --> 00:02:47.100]  所以可以用廣東話談
[00:02:47.100 --> 00:02:52.100]  在我前面 後面應該是
[00:02:52.100 --> 00:02:54.100]  有人知道我是香港人
[00:02:54.100 --> 00:02:57.100]  突然跟我說 問我
[00:02:57.100 --> 00:03:01.100]  其實好像香港最近很亂
[00:03:01.100 --> 00:03:05.100]  有很多人出來亂打人
[00:03:05.100 --> 00:03:12.100]  我發覺我裏面突然被激起一個感覺
[00:03:12.100 --> 00:03:18.100]  我馬上說 你知不知道香港發生了什麼事
[00:03:18.100 --> 00:03:21.100]  幾個月前又發生了什麼事
[00:03:21.100 --> 00:03:23.100]  逃犯條例引起
[00:03:23.100 --> 00:03:26.100]  什麼叫逃犯條例 沒聽過 是怎樣的
[00:03:26.100 --> 00:03:29.100]  我發覺好像
[00:03:29.100 --> 00:03:30.100]  其實很特別
[00:03:30.100 --> 00:03:32.100]  剛剛在會場裏面
[00:03:32.100 --> 00:03:34.100]  我們才說我們是一家人
[00:03:34.100 --> 00:03:35.100]  我們是一起的
[00:03:35.100 --> 00:03:37.100]  出來的會場之後
[00:03:37.100 --> 00:03:39.100]  我發覺好像
[00:03:39.100 --> 00:03:41.100]  我發覺兩地的差異
[00:03:41.100 --> 00:03:44.100]  帶給我有很多很容易被激發的
[00:03:44.100 --> 00:03:46.100]  用英文說
[00:03:46.100 --> 00:03:50.100]  好像心裏面很highly charged
[00:03:50.100 --> 00:03:53.100]  很容易擦火就會著火
[00:03:53.100 --> 00:03:56.100]  一說起 一問起
[00:03:56.100 --> 00:03:58.100]  裏面就很容易扯火
[00:03:58.100 --> 00:04:00.100]  很躁動 用中文去說
[00:04:00.100 --> 00:04:03.100]  最近這個詞語很多出現
[00:04:03.100 --> 00:04:05.100]  都不用那麼躁動
[00:04:05.100 --> 00:04:06.100]  接著巴士來了
[00:04:06.100 --> 00:04:09.100]  不談了 上車了
[00:04:09.100 --> 00:04:11.100]  我想下其實這種心情
[00:04:11.100 --> 00:04:13.100]  我猜都是香港人很多心情
[00:04:13.100 --> 00:04:15.100]  可能你都有這種心情
[00:04:15.100 --> 00:04:19.100]  一方面看到城市很多混亂
[00:04:19.100 --> 00:04:22.100]  很多你不想見到的事發生
[00:04:22.100 --> 00:04:25.100]  另一方面你很想罵人
[00:04:25.100 --> 00:04:28.100]  另一方面裏面很容易扯火
[00:04:28.100 --> 00:04:30.100]  見到一個人和你的看法有些不同
[00:04:30.100 --> 00:04:33.100]  你覺得你很煩躁
[00:04:33.100 --> 00:04:36.100]  很矛盾又很傷心
[00:04:36.100 --> 00:04:39.100]  昨天已經說完了
[00:04:39.100 --> 00:04:41.100]  想下是不是要說這些
[00:04:41.100 --> 00:04:44.100]  今天說國民國前書講合一
[00:04:44.100 --> 00:04:46.100]  想下半夜四點多起床
[00:04:46.100 --> 00:04:48.100]  是不是要改一下
[00:04:48.100 --> 00:04:49.100]  不如說第二件事
[00:04:49.100 --> 00:04:51.100]  不如說一下奏作詩
[00:04:51.100 --> 00:04:54.100]  不如說一下拳王愛
[00:04:54.100 --> 00:04:56.100]  不如說一下魯德基
[00:04:56.100 --> 00:04:57.100]  在混亂時代裏面
[00:04:57.100 --> 00:04:59.100]  怎樣可以做好人
[00:04:59.100 --> 00:05:01.100]  諸如此類
[00:05:01.100 --> 00:05:03.100]  其實裏面有很多思想
[00:05:03.100 --> 00:05:06.100]  很多事想起
[00:05:06.100 --> 00:05:08.100]  但都在混亂之中睡著了
[00:05:08.100 --> 00:05:12.100]  起床都不如說回這邊
[00:05:12.100 --> 00:05:14.100]  所以其實我想
[00:05:14.100 --> 00:05:17.100]  這個城市這個年代裏面
[00:05:17.100 --> 00:05:19.100]  這也是我們同樣的經歷
[00:05:19.100 --> 00:05:21.100]  很多感覺
[00:05:21.100 --> 00:05:23.100]  很多情緒
[00:05:23.100 --> 00:05:27.100]  心裏面很容易被勒著
[00:05:27.100 --> 00:05:31.100]  很容易有對立的情況發生
[00:05:31.100 --> 00:05:35.100]  如果我們說教會要成為光成為炎
[00:05:35.100 --> 00:05:36.100]  在這個年代裏
[00:05:36.100 --> 00:05:37.100]  我們要告訴別人
[00:05:37.100 --> 00:05:38.100]  有盼望的
[00:05:38.100 --> 00:05:40.100]  我們有前面有路的
[00:05:40.100 --> 00:05:42.100]  我們的神是一個慈愛的神
[00:05:42.100 --> 00:05:45.100]  我覺得如果教會的群體裏面
[00:05:45.100 --> 00:05:48.100]  都有很多火花
[00:05:48.100 --> 00:05:50.100]  都有很多不友好
[00:05:50.100 --> 00:05:52.100]  都有很多爭拗
[00:05:52.100 --> 00:05:54.100]  有很多不同的意見
[00:05:54.100 --> 00:05:58.100]  有很多疑似粗口的話
[00:05:58.100 --> 00:06:01.100]  其實我們都很難在這個社會裏面
[00:06:01.100 --> 00:06:04.100]  告訴別人這個城市有盼望
[00:06:04.100 --> 00:06:07.100]  所以我想教會怎樣可以
[00:06:07.100 --> 00:06:10.100]  真正彰顯到神要教會
[00:06:10.100 --> 00:06:11.100]  彰顯到那個合一呢
[00:06:11.100 --> 00:06:13.100]  那個精神在哪裏呢
[00:06:13.100 --> 00:06:16.100]  所以我想今天都可以說回這段聖經
[00:06:16.100 --> 00:06:20.100]  前書十二章這段經文
[00:06:20.100 --> 00:06:21.100]  說合一
[00:06:21.100 --> 00:06:22.100]  其實聖經在新約裏面
[00:06:22.100 --> 00:06:25.100]  主要有三個地方有說到
[00:06:25.100 --> 00:06:27.100]  第一個地方就是已不溯書
[00:06:27.100 --> 00:06:30.100]  應該前兩個星期已經委承港獨
[00:06:30.100 --> 00:06:31.100]  那段經文
[00:06:31.100 --> 00:06:34.100]  另外一段經文就是約翰福音十七章
[00:06:34.100 --> 00:06:36.100]  就是耶穌的禱文
[00:06:36.100 --> 00:06:38.100]  大祭司的禱文
[00:06:38.100 --> 00:06:40.100]  這個在回家裏面很強調
[00:06:40.100 --> 00:06:42.100]  這個就是主題
[00:06:42.100 --> 00:06:44.100]  還有另外一段就是今天這段
[00:06:44.100 --> 00:06:45.100]  就是哥林多前書
[00:06:45.100 --> 00:06:49.100]  保羅用身體這個比喻講教會
[00:06:49.100 --> 00:06:51.100]  去講甚麼叫做合一
[00:06:51.100 --> 00:06:55.100]  甚麼叫做合一中間可以有不同
[00:06:55.100 --> 00:06:57.100]  讓我看看這段經文好不好
[00:06:57.100 --> 00:07:01.100]  讓我看看怎樣透過這個身體的比喻
[00:07:01.100 --> 00:07:03.100]  去講教會
[00:07:03.100 --> 00:07:04.100]  然後中間學習
[00:07:04.100 --> 00:07:06.100]  怎樣去能夠合一
[00:07:06.100 --> 00:07:07.100]  有三個要素
[00:07:07.100 --> 00:07:09.100]  哥林多前書十二章
[00:07:09.100 --> 00:07:11.100]  我們由十二節到二十一節
[00:07:11.100 --> 00:07:14.100]  我選了中間的這一段
[00:07:14.100 --> 00:07:17.100]  臨前十二章第十二節
[00:07:17.100 --> 00:07:22.100]  我們就等PowerPoint出來
[00:07:24.100 --> 00:07:26.100]  如果PowerPoint有問題
[00:07:26.100 --> 00:07:28.100]  大家請聽我讀出來好不好
[00:07:28.100 --> 00:07:31.100]  如果你暫時在等的時間裏
[00:07:31.100 --> 00:07:32.100]  如果你有聖經
[00:07:32.100 --> 00:07:33.100]  你有電話
[00:07:33.100 --> 00:07:34.100]  你都可以看著
[00:07:34.100 --> 00:07:36.100]  然後大家一起聽
[00:07:36.100 --> 00:07:38.100]  一起去看這段聖經好不好
[00:07:38.100 --> 00:07:40.100]  我將它分成三段
[00:07:40.100 --> 00:07:42.100]  就是十二節去到第十五
[00:07:42.100 --> 00:07:44.100]  十二節先到第十四節
[00:07:44.100 --> 00:07:46.100]  這個是第一個段落
[00:07:46.100 --> 00:07:48.100]  聖經說就如身子是一個
[00:07:48.100 --> 00:07:50.100]  它有許多肢體
[00:07:50.100 --> 00:07:51.100]  而且肢體雖多
[00:07:51.100 --> 00:07:53.100]  仍是一個身子
[00:07:53.100 --> 00:07:55.100]  基督也是這樣
[00:07:55.100 --> 00:07:56.100]  我們不驅使猶太人
[00:07:56.100 --> 00:07:57.100]  使希臘人
[00:07:57.100 --> 00:07:58.100]  是為奴隸
[00:07:58.100 --> 00:07:59.100]  是自主的
[00:07:59.100 --> 00:08:01.100]  都從一位聖靈受洗
