
[00:00:00.000 --> 00:00:01.560]  各位女士們平安
[00:00:01.560 --> 00:00:03.480]  我們感謝神
[00:00:03.480 --> 00:00:05.680]  今天我們在一起來到神的殿中
[00:00:05.680 --> 00:00:07.200]  一起來敬拜
[00:00:07.200 --> 00:00:10.200]  每一次是神所賜的恩
[00:00:10.200 --> 00:00:11.560]  今天我特別想到
[00:00:11.560 --> 00:00:13.200]  一會兒我們會為
[00:00:13.200 --> 00:00:17.000]  在全世界不同地方受壓迫的教會
[00:00:17.000 --> 00:00:18.880]  或者是教徒來祈禱
[00:00:18.880 --> 00:00:22.240]  我就想到每一次能夠可以很平安
[00:00:22.240 --> 00:00:24.720]  我們很自由地來敬拜神
[00:00:24.720 --> 00:00:26.640]  都不是必然的
[00:00:26.640 --> 00:00:28.520]  很多各處的教會
[00:00:28.520 --> 00:00:31.480]  其實是面對著很多不同的難處
[00:00:31.480 --> 00:00:33.600]  不能夠公開的敬拜
[00:00:33.600 --> 00:00:35.720]  我們今天敬拜上帝
[00:00:35.720 --> 00:00:36.680]  我們很願意
[00:00:36.680 --> 00:00:38.960]  我們不是一個循例的活動
[00:00:38.960 --> 00:00:43.080]  而每一次我們心裏面是帶著一份誠實的心
[00:00:43.080 --> 00:00:46.680]  我們很想真是將神所當得的尊榮
[00:00:46.680 --> 00:00:48.040]  來獻給祂
[00:00:48.040 --> 00:00:50.040]  去讚美祂 去感謝祂
[00:00:50.040 --> 00:00:52.240]  亦在我們讀聖經的時候
[00:00:52.240 --> 00:00:55.200]  透過我們一起小心領受經文
[00:00:55.200 --> 00:00:57.280]  表達我們對祂的敬拜
[00:00:57.480 --> 00:01:00.240]  所以今天我們再次帶著敬拜的心
[00:01:00.240 --> 00:01:03.160]  來到再思想聖經以撮合書籍的經文
[00:01:03.160 --> 00:01:04.080]  大家和我在一起
[00:01:04.080 --> 00:01:05.080]  我們同心祈禱
[00:01:05.080 --> 00:01:06.400]  我們交給主
[00:01:06.400 --> 00:01:13.040]  天地的主
[00:01:13.040 --> 00:01:15.040]  永恆的上帝
[00:01:15.040 --> 00:01:17.640]  主啊祢的寶座
[00:01:17.640 --> 00:01:19.440]  立定在天上面
[00:01:19.440 --> 00:01:21.480]  祢以祢的權柄
[00:01:21.480 --> 00:01:22.960]  掌管天地
[00:01:22.960 --> 00:01:25.080]  掌管人類的歷史
[00:01:25.080 --> 00:01:27.240]  主啊祢自己
[00:01:27.240 --> 00:01:28.760]  清楚的應許
[00:01:28.760 --> 00:01:31.560]  祢的慈愛永遠長存
[00:01:31.560 --> 00:01:34.480]  主啊我們今天一群熟悉祢的子民
[00:01:34.480 --> 00:01:37.520]  再次到祢的面前同心的敬拜祢
[00:01:37.520 --> 00:01:40.640]  主啊祢配得一切的尊榮
[00:01:40.640 --> 00:01:44.240]  因為我們是憑著祢的旨意所創造
[00:01:44.240 --> 00:01:45.840]  由每一天
[00:01:45.840 --> 00:01:48.880]  行在祢自己恩典的路上面
[00:01:48.880 --> 00:01:52.360]  如今我們在祢面前讚美祢
[00:01:52.360 --> 00:01:55.360]  因為祢自己的慈愛永不改變
[00:01:55.760 --> 00:01:57.240]  祢自己應許
