
[00:00:00.000 --> 00:00:03.240]  今日我們的經文是以西傑書
[00:00:03.240 --> 00:00:05.840]  裏面提到以西傑先知
[00:00:05.840 --> 00:00:08.360]  在一個最大的苦難的時刻
[00:00:08.360 --> 00:00:12.560]  因為他的民族、文化整體被摧毀
[00:00:12.560 --> 00:00:15.600]  當時是被巴比倫所破滅
[00:00:15.600 --> 00:00:18.880]  他們國家民族都被擄去巴比倫
[00:00:18.880 --> 00:00:20.640]  在加巴魯河邊
[00:00:20.640 --> 00:00:22.280]  就在這個時刻
[00:00:22.280 --> 00:00:23.920]  他心裏非常困苦
[00:00:23.920 --> 00:00:27.920]  對自己這個民族的前途非常困惑
[00:00:28.320 --> 00:00:30.200]  人生就沒有希望了
[00:00:30.200 --> 00:00:33.520]  但這個時候他遇到上帝向他的出現
[00:00:33.520 --> 00:00:37.840]  就是說宇宙的另一面那種無盡的榮耀
[00:00:37.840 --> 00:00:39.120]  突然向他出現
[00:00:39.120 --> 00:00:42.600]  他見到另一面的世界那種榮耀
[00:00:42.600 --> 00:00:44.880]  和那一面的靈界的存在
[00:00:44.880 --> 00:00:48.840]  而上帝的靈是將他帶他飛起
[00:00:48.840 --> 00:00:51.640]  靈將我舉起帶我而去
[00:00:51.640 --> 00:00:53.360]  我心中甚苦
[00:00:53.360 --> 00:00:54.680]  靈性憤激
[00:00:54.680 --> 00:00:57.840]  並且耶和華的靈在我身上大有能力
[00:00:58.200 --> 00:01:02.600]  當時其實是很多艱難困苦的時刻
[00:01:02.600 --> 00:01:05.320]  他不知道這個民族
[00:01:05.320 --> 00:01:08.520]  他自己所愛的百姓的前途是怎樣
[00:01:08.520 --> 00:01:10.840]  而且又充滿激情
[00:01:10.840 --> 00:01:12.760]  因為一個人如果遇到上帝
[00:01:12.760 --> 00:01:15.360]  一定會有很大激情在
[00:01:15.360 --> 00:01:17.600]  所以在那個很大激情裏面
[00:01:17.600 --> 00:01:18.600]  但他發覺
[00:01:18.600 --> 00:01:21.760]  他好像被提到他半空的時期
[00:01:21.760 --> 00:01:22.480]  他發覺
[00:01:22.480 --> 00:01:24.280]  耶和華的靈
[00:01:24.280 --> 00:01:26.000]  原文就是他的手
[00:01:26.000 --> 00:01:29.640]  上帝的雙手在他身上大有能力
[00:01:29.640 --> 00:01:32.120]  上帝的雙手就是他的靈
[00:01:32.120 --> 00:01:34.120]  神的靈在人的身上
[00:01:34.120 --> 00:01:37.880]  在整體好像沒有希望的時候
[00:01:37.880 --> 00:01:39.880]  遇到上帝的出現
[00:01:39.880 --> 00:01:45.120]  這幅畫畫到以西傑先知的異象
[00:01:45.120 --> 00:01:47.720]  是天上突然出現一種景象
[00:01:47.720 --> 00:01:49.480]  上帝的顯現
[00:01:49.480 --> 00:01:51.080]  只是前面
[00:01:51.080 --> 00:01:52.480]  還有盤環
[00:01:53.600 --> 00:01:57.040]  以西傑先知由此看到未來世界的發展
[00:01:57.040 --> 00:02:00.600]  他更加看到枯骨的復活
[00:02:00.600 --> 00:02:02.000]  以色列的復國
[00:02:02.000 --> 00:02:06.120]  而且他更看見1948年的以色列復國
[00:02:06.120 --> 00:02:08.440]  他看到的是更大的未來
[00:02:08.440 --> 00:02:10.800]  他看到耶穌基督的來臨
[00:02:10.800 --> 00:02:13.720]  他看見聖殿的重建
[00:02:13.720 --> 00:02:17.600]  他也看見人的心靈可以改變
[00:02:17.600 --> 00:02:19.240]  所以他有悲苦
[00:02:19.240 --> 00:02:19.960]  他有激情
[00:02:19.960 --> 00:02:21.680]  但他又有盼望
[00:02:21.680 --> 00:02:24.040]  上帝的手在他身上
[00:02:24.040 --> 00:02:26.040]  上帝的手在他身上
[00:02:26.040 --> 00:02:28.960]  上帝的靈就是有力的手在先知的身上
[00:02:28.960 --> 00:02:30.960]  使人重見希望
[00:02:30.960 --> 00:02:33.000]  人有沒有希望呢?
[00:02:33.000 --> 00:02:34.800]  我們今天這個世界
[00:02:34.800 --> 00:02:37.280]  我們看報紙、看新聞
[00:02:37.280 --> 00:02:39.280]  因為我做時事評論
[00:02:39.280 --> 00:02:41.280]  時事評論經常有個害怕
[00:02:41.280 --> 00:02:43.760]  就是今天如果沒有新聞不知道說什麼
[00:02:43.760 --> 00:02:45.760]  但從來不會沒有
[00:02:45.760 --> 00:02:49.240]  不會害怕沒有死人、塌樓、沒有打仗、沒有衝突
[00:02:49.240 --> 00:02:50.760]  那沒話可說
[00:02:50.760 --> 00:02:52.760]  但是天天都有
[00:02:52.760 --> 00:02:56.440]  而今天我們面對人的很多困難
[00:02:56.440 --> 00:02:58.040]  當我去到四川
[00:02:58.040 --> 00:03:00.040]  因為四川地震之後
[00:03:00.040 --> 00:03:03.120]  當時我們去四川地震
[00:03:03.120 --> 00:03:04.720]  我們捐的錢不是很多
[00:03:04.720 --> 00:03:09.280]  我們繼續五年連續做心靈的重建
[00:03:09.280 --> 00:03:10.800]  最近其實我很忙
[00:03:10.800 --> 00:03:12.800]  去了六個大城市
[00:03:12.800 --> 00:03:16.000]  十幾個縣城去探訪貧困的人
[00:03:16.000 --> 00:03:20.760]  在大城市我們跟著那些著名學者對話
[00:03:20.760 --> 00:03:23.160]  又跟政府來對話
[00:03:23.160 --> 00:03:28.360]  而政府正在考慮對基督教會放寬
[00:03:28.360 --> 00:03:30.360]  對家庭教會會放寬
[00:03:30.360 --> 00:03:33.800]  而且是整體一個新的政策
[00:03:33.800 --> 00:03:36.560]  正在考慮我們參與的對話
[00:03:36.560 --> 00:03:39.360]  這當然是那個層次的人
[00:03:39.360 --> 00:03:42.000]  但我更關心的是那些草根的大眾
[00:03:42.000 --> 00:03:44.360]  所以我們在西南民族大學
[00:03:44.360 --> 00:03:47.800]  特別去資助心理輔導和社會工作
[00:03:47.800 --> 00:03:50.600]  這個學院的學生
[00:03:50.600 --> 00:03:53.000]  因為那裏是少數民族的地方
[00:03:53.000 --> 00:03:55.000]  少數民族是受很多傷害的
[00:03:55.000 --> 00:03:57.280]  其實我們漢人是傷害過他們的
[00:03:57.280 --> 00:03:59.480]  而他們經過地震的災難
[00:03:59.480 --> 00:04:01.880]  他們是很需要培養一些人
[00:04:01.880 --> 00:04:03.520]  懂得去安慰人
[00:04:03.520 --> 00:04:07.120]  所以我們幫助四川大地震之後
[00:04:07.120 --> 00:04:09.480]  心靈重建派了兩個心理學家
[00:04:09.480 --> 00:04:10.600]  不會做得多少事情
[00:04:10.600 --> 00:04:12.960]  我們一定要栽培後一代出來
[00:04:12.960 --> 00:04:15.960]  所以我們資助了一批學生
[00:04:15.960 --> 00:04:17.960]  而其中一個學生
[00:04:17.960 --> 00:04:19.960]  這個男生叫做阿宇
[00:04:19.960 --> 00:04:23.800]  他一站起來說話就哭了
[00:04:23.800 --> 00:04:25.600]  很少見男生哭的
[00:04:25.600 --> 00:04:27.440]  女生哭的我們見過很多
[00:04:27.440 --> 00:04:29.720]  很多女學生去資助他哭
[00:04:29.720 --> 00:04:31.520]  但這個男生他哭
[00:04:31.520 --> 00:04:33.920]  是因為他說
[00:04:33.920 --> 00:04:36.760]  他入大學之前去探望他哥哥
[00:04:36.760 --> 00:04:40.320]  哥哥十多年前已經出去打工來供他讀書
[00:04:40.320 --> 00:04:41.720]  哥哥帶他很多
[00:04:41.720 --> 00:04:43.600]  十多年去捱世界
