
[00:00:00.000 --> 00:00:02.000]  有沒有聽過Batman?
[00:00:02.000 --> 00:00:04.000]  有看過吧?
[00:00:04.000 --> 00:00:06.000]  他英文講得很快
[00:00:06.000 --> 00:00:10.000]  所以大家可能聽不清楚他到底在講什麼
[00:00:10.000 --> 00:00:12.000]  其實這是一個結局
[00:00:12.000 --> 00:00:15.000]  這個警察局長和他的小孩在說
[00:00:15.000 --> 00:00:17.000]  He is not a hero
[00:00:17.000 --> 00:00:20.000]  事實上這個電影的主題曲就是
[00:00:20.000 --> 00:00:22.000]  I am not a hero
[00:00:22.000 --> 00:00:25.000]  這個警察局長在結束的時候說
[00:00:25.000 --> 00:00:26.000]  他不是一個hero
[00:00:26.000 --> 00:00:29.000]  他是一個默默的守護天使
[00:00:29.000 --> 00:00:34.000]  他是一個視察着
[00:00:34.000 --> 00:00:38.000]  看着很保護的一個保護者
[00:00:38.000 --> 00:00:41.000]  當然當你看到這個結局
[00:00:41.000 --> 00:00:43.000]  這些comment的時候
[00:00:43.000 --> 00:00:44.000]  對我來說
[00:00:44.000 --> 00:00:48.000]  他就不是電影裏的Bruce Wayne
[00:00:48.000 --> 00:00:50.000]  更加不是Batman
[00:00:50.000 --> 00:00:51.000]  對我來說
[00:00:51.000 --> 00:00:53.000]  這個默默的守護者
[00:00:53.000 --> 00:00:55.000]  這個能夠經常監察着
[00:00:55.000 --> 00:00:56.000]  看着我們
[00:00:56.000 --> 00:00:58.000]  保護我們的人
[00:00:58.000 --> 00:01:00.000]  是我們的天父上帝
[00:01:00.000 --> 00:01:02.000]  天父上帝其實從來都沒離開過我們
[00:01:02.000 --> 00:01:04.000]  天父上帝眼睜睜看着每一個
[00:01:04.000 --> 00:01:05.000]  屬於他自己的人
[00:01:05.000 --> 00:01:06.000]  有問題有需要的時候
[00:01:06.000 --> 00:01:08.000]  他是清楚知道的
[00:01:08.000 --> 00:01:10.000]  不過什麼時候幫呢?
[00:01:10.000 --> 00:01:11.000]  什麼時候會出手呢?
[00:01:11.000 --> 00:01:13.000]  神就用他自己的時間
