
[00:00:00.000 --> 00:00:03.900]  我們一起有個祈禱 開始今天的講禱
[00:00:03.900 --> 00:00:08.000]  深愛我們的天父上帝 我們很感謝祢
[00:00:08.000 --> 00:00:10.500]  祢讓我們有機會回到教會
[00:00:10.500 --> 00:00:13.600]  雖然第一課由康澤搬來真理樓
[00:00:13.600 --> 00:00:18.000]  但我們仍然珍惜每一個星期可以敬拜祢的機會
[00:00:18.000 --> 00:00:21.200]  主啊 祢將祢自己的說話 賜下
[00:00:21.200 --> 00:00:23.800]  讓我們無論哪一個世代的人
[00:00:23.800 --> 00:00:28.500]  都可以繼續去讀 去明白 去進行
[00:00:28.500 --> 00:00:33.400]  天父我們也珍惜每一個我們仍然可以看祢話語的機會
[00:00:33.400 --> 00:00:37.000]  仍然可以按著真理宣講真道的機會
[00:00:37.000 --> 00:00:41.300]  求主幫助我們 讓我們的生命能夠在祢的道裡面
[00:00:41.300 --> 00:00:44.800]  被祢提醒 被祢激勵 繼續成長
[00:00:44.800 --> 00:00:46.700]  多謝祢聽我們的祈禱
[00:00:46.700 --> 00:00:51.100]  禱告奉靠主耶穌基督 得聖名至耳及 阿們
[00:00:51.100 --> 00:00:56.500]  好 今天跟大家講到的經文其實是大家都很熟悉的了
[00:00:56.500 --> 00:01:00.400]  而這個經文的講題也很有意思
[00:01:00.400 --> 00:01:03.400]  是若基督問你「我是誰」
[00:01:03.400 --> 00:01:04.900]  如果真是基督這樣問你
[00:01:04.900 --> 00:01:07.000]  這條問題你會怎樣回答呢?
[00:01:07.000 --> 00:01:10.300]  可能你也會像彼得那樣衝口而出
[00:01:10.300 --> 00:01:12.500]  「耶穌就是基督啦」
[00:01:12.500 --> 00:01:15.700]  恭喜你 你答對了 你有100分
[00:01:15.700 --> 00:01:19.800]  不過這條問題的重點不是答案
[00:01:19.800 --> 00:01:25.000]  而是我們對於耶穌是基督這個身份有多了解呢?
[00:01:25.000 --> 00:01:30.300]  這個身份對於我們的生命來說又有什麼意義呢?
[00:01:30.300 --> 00:01:33.300]  不知道大家有沒有想過
[00:01:33.300 --> 00:01:36.100]  為什麼耶穌會問這條問題呢?
[00:01:36.100 --> 00:01:38.800]  我們來看看
[00:01:38.800 --> 00:01:43.700]  好 耶穌在第十八節那裡問門徒
[00:01:43.700 --> 00:01:45.900]  「引說我是誰?」
[00:01:45.900 --> 00:01:50.200]  其實這條問題是在回應上文的第七至第九節
[00:01:50.200 --> 00:01:55.000]  希律王聽到耶穌所行的神蹟 他就疑惑
[00:01:55.000 --> 00:01:58.400]  約翰已經被他斬頭了
[00:01:58.400 --> 00:02:01.100]  「但這是誰?」
[00:02:01.100 --> 00:02:04.800]  耶穌在第八節的時候行了三個神蹟
[00:02:04.800 --> 00:02:09.500]  包括平靜風浪、趕鬼和醫病
[00:02:09.500 --> 00:02:11.800]  在八章二十五節那裡
[00:02:11.800 --> 00:02:14.700]  連耶穌的門徒也在那裡問
[00:02:14.700 --> 00:02:16.700]  「這到底是誰?」
[00:02:16.700 --> 00:02:21.300]  「他吩咐風浪 連風浪也聽從他」
[00:02:21.300 --> 00:02:24.100]  耶穌的身份被質疑
[00:02:24.100 --> 00:02:26.300]  其實早在第五章
[00:02:26.300 --> 00:02:28.800]  耶穌醫好了一個癱子
[00:02:28.800 --> 00:02:32.200]  又宣告他的罪得到赦免的時候
[00:02:32.200 --> 00:02:37.200]  已經招來民事、法利賽人對他的紛紛議論
[00:02:37.200 --> 00:02:39.400]  他們說「這個人是誰?」
[00:02:39.400 --> 00:02:41.700]  「竟然說褻瀆的話」
[00:02:41.700 --> 00:02:46.200]  「除了神自己以外 誰能赦罪呢?」
[00:02:46.200 --> 00:02:49.500]  當耶穌的名聲越發被傳開的時候
[00:02:49.500 --> 00:02:53.900]  耶穌的權柄和身份又越發被質疑
[00:02:53.900 --> 00:02:55.500]  究竟耶穌是基督
[00:02:55.500 --> 00:02:57.900]  對我們的信仰有什麼意思?
[00:02:57.900 --> 00:02:59.600]  有多重要呢?
[00:02:59.600 --> 00:03:02.600]  我們來看看
[00:03:02.600 --> 00:03:04.300]  耶穌是基督
[00:03:04.300 --> 00:03:10.500]  這個身份是只有信徒才可以明白的一個獨特的身份
[00:03:10.500 --> 00:03:15.400]  我們會看路加福音九章十八節到第二十二節
[00:03:15.400 --> 00:03:17.100]  在第二十八節
[00:03:17.100 --> 00:03:19.200]  耶穌一開始就問門徒
[00:03:19.200 --> 00:03:21.400]  「人說我是誰?」
[00:03:21.400 --> 00:03:23.800]  門徒的答案是
[00:03:23.800 --> 00:03:26.600]  「有人說是施洗的約翰」
[00:03:26.600 --> 00:03:28.700]  「有人說是以利亞」
[00:03:28.700 --> 00:03:33.100]  「還有人說是古時的一位先知復活了」
[00:03:33.100 --> 00:03:37.200]  雖然先知已經是一個很高的地位
[00:03:37.200 --> 00:03:41.100]  但耶穌的身份又豈止是先知呢?
[00:03:41.100 --> 00:03:42.500]  在第二十節
[00:03:42.500 --> 00:03:47.400]  主耶穌就問門徒「你們說我是誰?」
[00:03:47.400 --> 00:03:50.600]  這一節和第十八節是一個對比
[00:03:50.600 --> 00:03:54.600]  門徒跟著耶穌和自己有一些很緊密的相處
[00:03:54.600 --> 00:03:56.200]  耶穌自然就期待
[00:03:56.200 --> 00:03:58.300]  「這班門徒我都很熟了」
[00:03:58.300 --> 00:04:00.000]  「他們都很熟我的了」
[00:04:00.000 --> 00:04:03.700]  都期待他們有一個不同的答案
[00:04:03.700 --> 00:04:06.000]  果然彼得就回答了
[00:04:06.000 --> 00:04:08.100]  「你是神的基督」
[00:04:08.100 --> 00:04:09.300]  在希臘文裡
[00:04:09.300 --> 00:04:15.200]  「基督」和希伯來文的「尼塞亞」是同一個字
[00:04:15.200 --> 00:04:19.400]  即是說到希伯來文的「尼塞亞」就是「基督」
[00:04:19.400 --> 00:04:21.900]  而這個字其實是甚麼人呢?
[00:04:21.900 --> 00:04:25.600]  他們可以泛指一些神的受高者
[00:04:25.600 --> 00:04:29.600]  即是舊約裡面的先知、祭司和君王
[00:04:29.600 --> 00:04:32.900]  但如果這個字用在主耶穌的身上
[00:04:32.900 --> 00:04:35.100]  就是要特別去強調
[00:04:35.100 --> 00:04:37.900]  祂是上帝應許給以色列人
[00:04:37.900 --> 00:04:43.000]  在末後掌權的時候的一位大君王
