
[00:00:00.000 --> 00:00:13.000]  (主席)各位聽眾,最近伊斯蘭國那些恐襲是在世界各地發生
[00:00:13.000 --> 00:00:20.000]  而且往往都是在一些人多的地方發生
[00:00:20.000 --> 00:00:28.000]  但是有一些,給我自己很大的一種警惕提醒
[00:00:28.000 --> 00:00:32.000]  這一切的事原來神一早已經預言
[00:00:32.000 --> 00:00:36.000]  預言大巴比倫的興起
[00:00:36.000 --> 00:00:39.000]  祂要喝醉聖徒的血
[00:00:39.000 --> 00:00:44.000]  另一方面,神也呼籲祂的子民
[00:00:44.000 --> 00:00:49.000]  從大巴比倫出來,不要再在這個地方
[00:00:49.000 --> 00:00:56.000]  第三個方面,祂也預言未來的迪基督興起的時間
[00:00:56.000 --> 00:01:01.000]  大巴比倫和迪基督之間的關係
[00:01:01.000 --> 00:01:06.000]  是迪基督行透大巴比倫
[00:01:06.000 --> 00:01:09.000]  甚至要用火將祂燒盡
[00:01:09.000 --> 00:01:15.000]  這一切的事,我們見到未來應該是七年大災難才會發生的事
[00:01:15.000 --> 00:01:20.000]  但是你見到祂的前奏,一步一步已經開始出來
[00:01:20.000 --> 00:01:26.000]  我不知道大家對聖經的預言有沒有一種感覺
[00:01:26.000 --> 00:01:29.000]  就是渴望能夠知道更加多
[00:01:29.000 --> 00:01:32.000]  在今天,我特別要跟大家說
[00:01:32.000 --> 00:01:34.000]  整個世界發生這一大堆的事
[00:01:34.000 --> 00:01:37.000]  離不開一個人,他的後裔
[00:01:37.000 --> 00:01:40.000]  這個人是誰呢?就是阿伯拉罕
[00:01:40.000 --> 00:01:43.000]  希伯來書十一章的一到二節
[00:01:43.000 --> 00:01:52.000]  他說信就是所望之時的實體,換句話來說,實體就是有根有據
[00:01:52.000 --> 00:01:58.000]  是未見之時的確據,確據也可以把它翻譯成見證
[00:01:58.000 --> 00:02:05.000]  換句話來說,我們今天所信,雖然是未見
[00:02:05.000 --> 00:02:11.000]  只不過是仰望著,盼望著,等候著將來要來臨的事
[00:02:11.000 --> 00:02:14.000]  但是我們的信是有根有據
[00:02:14.000 --> 00:02:23.000]  第二,我們的信也是有見證人在這個地方將他們的見證留下來
[00:02:23.000 --> 00:02:31.000]  而這些見證在歷史是考古,我們是無從推諉的事實
[00:02:31.000 --> 00:02:35.000]  第二節,古人在他們的經歷裏面
[00:02:35.000 --> 00:02:40.000]  有美好的證據,或者有美好的見證
[00:02:40.000 --> 00:02:46.000]  這個古人是什麼呢?就是聖經裏面所記載到有關信心的偉人
[00:02:46.000 --> 00:02:52.000]  在他們自己過去的經歷裏面,他們真的印證到他們所信的是真的
[00:02:52.000 --> 00:03:01.000]  第三節,就是因為這個信,我們就知道整個世界,整個宇宙不是從那些顯然之物而來的
[00:03:01.000 --> 00:03:09.000]  就是說物質不能夠自有永有,物質不是自有永有的
[00:03:09.000 --> 00:03:15.000]  如果物質不是自有永有,到底這個物質從何而來呢?
[00:03:15.000 --> 00:03:27.000]  一定是從一個永恆,自有永有,創天造地,設計者,創造者那裏而來
[00:03:27.000 --> 00:03:34.000]  因為這樣希伯來書很清楚講到,我們的信仰是合情,而且合理
[00:03:34.000 --> 00:03:36.000]  那麼我們的信仰是信誰呢?
[00:03:36.000 --> 00:03:43.000]  在希伯來書十一章第六節,他就說人非有信,就不能得神的喜悅
[00:03:43.000 --> 00:03:52.000]  因為到神面前來的人,必須信他時這一位的神
[00:03:52.000 --> 00:03:58.000]  在希臘文的原文,他時這個字,estin,e-s-t-i-n
[00:03:58.000 --> 00:04:04.000]  和中文翻譯必須信有神是有不同的
[00:04:04.000 --> 00:04:10.000]  原來我們今天不只是信有神,而是要信他時的這一位神
[00:04:10.000 --> 00:04:14.000]  那麼如果這個他時這一位神是誰的神呢?
[00:04:14.000 --> 00:04:20.000]  就是出埃及記三章十四箭,神第一次向摩西介紹他自己是誰
[00:04:20.000 --> 00:04:26.000]  向人介紹他自己是誰的時候,他就說我就是我是
[00:04:26.000 --> 00:04:33.000]  我是自有永有,原來這個名字就是我就是我是
[00:04:33.000 --> 00:04:40.000]  既然他的名字是我是,我們今天稱呼他就是他時這一位
[00:04:40.000 --> 00:04:45.000]  而這個紙巾就是耶和華的紙巾
[00:04:45.000 --> 00:04:51.000]  頂姐妹,原來聖經裡面叫我們今天相信,是相信這一位耶和華神
[00:04:51.000 --> 00:04:55.000]  不是隨隨便便說我相信這個世界是有神就算了
[00:04:55.000 --> 00:04:59.000]  我們今天特別要跟大家分享
[00:04:59.000 --> 00:05:05.000]  到底我們從何知道我們今天的信仰是合情又合理的呢?
[00:05:05.000 --> 00:05:10.000]  聖經告訴我們,神存在普遍的啟示
[00:05:10.000 --> 00:05:13.000]  就是透過所做之物,叫人無可退位
[00:05:13.000 --> 00:05:17.000]  這是一個我們叫做普遍的啟示
