
[00:00:00.000 --> 00:00:06.060]  在第一段聖經,日韓福音,十九章,夜五至二十七節
[00:00:06.060 --> 00:00:11.260]  看到當時耶穌被釘十字架之前
[00:00:11.260 --> 00:00:13.860]  原來祂不是孤單
[00:00:13.860 --> 00:00:20.160]  有四個愛祂的婦人站在十字架的旁邊
[00:00:20.160 --> 00:00:23.500]  任何人如果和羅馬政府
[00:00:23.500 --> 00:00:29.500]  認為應該釘十字架的一些危險分子來親近
[00:00:29.500 --> 00:00:33.100]  都是有很大的冒險
[00:00:33.100 --> 00:00:38.300]  這幾個的婦人站在十字架的旁邊
[00:00:38.300 --> 00:00:42.700]  不是因為他們的身份不重要
[00:00:42.700 --> 00:00:47.500]  他們來完全是為了愛
[00:00:47.500 --> 00:00:51.200]  驅除了一些的恐懼
[00:00:51.200 --> 00:00:55.400]  其實他們仍然是有恐懼
[00:00:55.400 --> 00:00:59.900]  我們對格羅巴的妻子瑪利亞不認識
[00:00:59.900 --> 00:01:02.200]  另外三位是認識的
[00:01:02.200 --> 00:01:05.800]  包括了耶穌的媽媽瑪利亞
[00:01:05.800 --> 00:01:09.900]  瑪利亞的姐妹薩羅米
[00:01:09.900 --> 00:01:13.100]  就是雅各和日韓的母親
[00:01:13.100 --> 00:01:18.600]  她曾經請求耶穌在她的國來臨的時候
[00:01:18.600 --> 00:01:25.700]  讓她兩個兒子坐在險要的位置
[00:01:25.700 --> 00:01:27.500]  顯赫的位置
[00:01:27.500 --> 00:01:32.400]  第四位就是莫大拉的瑪利亞
[00:01:32.400 --> 00:01:36.900]  耶穌從她身上曾經是趕出了七隻鬼
[00:01:36.900 --> 00:01:41.900]  她永遠不忘記主耶穌為她所做的事情
[00:01:41.900 --> 00:01:45.400]  耶穌在十架上面的受苦
[00:01:45.400 --> 00:01:47.900]  最令人感動就是
[00:01:47.900 --> 00:01:53.300]  耶穌不單止去承擔了世人的過繁
[00:01:53.300 --> 00:01:56.700]  來到去施行拯救
[00:01:56.700 --> 00:02:01.500]  祂同時想到如果自己離世之後
[00:02:01.500 --> 00:02:04.200]  祂母親的孤單
[00:02:04.200 --> 00:02:07.300]  耶穌是瑪利亞的長子
[00:02:07.300 --> 00:02:13.000]  祂當時是請約翰去照顧祂媽媽
[00:02:13.000 --> 00:02:17.900]  首先我們看到門徒因為愛母主
[00:02:17.900 --> 00:02:22.900]  勇敢的來面對恐懼
[00:02:22.900 --> 00:02:26.400]  在經文的二十五、二十六節
[00:02:26.400 --> 00:02:30.400]  它說「站在耶穌十字架旁邊的
[00:02:30.400 --> 00:02:33.000]  有祂的母親、姨母
[00:02:33.000 --> 00:02:35.600]  加羅拔的妻子瑪利亞
[00:02:35.600 --> 00:02:38.300]  和莫大拉的瑪利亞
[00:02:38.300 --> 00:02:41.900]  耶穌見母親和她所愛的那門徒
[00:02:41.900 --> 00:02:45.900]  站在旁邊就對母親說
[00:02:45.900 --> 00:02:50.100]  母親,汗,你的兒子」
[00:02:50.100 --> 00:02:55.100]  耶穌在約翰身上看到他第一個的優點
[00:02:55.100 --> 00:02:57.600]  就是他有勇氣
[00:02:57.600 --> 00:02:59.900]  在過往的日子當中
[00:02:59.900 --> 00:03:05.900]  耶穌知道約翰他是願意去承擔
[00:03:05.900 --> 00:03:08.700]  有勇氣去面對恐懼
