
[00:00:00.000 --> 00:00:02.840]  不知道大家喜不喜歡去海外旅行
[00:00:02.840 --> 00:00:06.560]  不知道大家現在去海外旅行還會不會跟旅行團
[00:00:06.560 --> 00:00:08.360]  少吧,不會吧
[00:00:08.360 --> 00:00:12.320]  大家還記不記得以前昔日跟旅行團的日子
[00:00:12.320 --> 00:00:17.160]  要選一些早機去,極早的機去,極晚的機返
[00:00:17.160 --> 00:00:19.560]  要最短時間去最多的地方
[00:00:19.560 --> 00:00:21.960]  行程要一個接一個
[00:00:21.960 --> 00:00:27.000]  少個行程你都會拿著行程去跟導遊算帳
[00:00:27.000 --> 00:00:32.600]  然後要去一個地方要大包小包的拿著很多很多的手信
[00:00:32.600 --> 00:00:35.200]  然後回來去派街坊
[00:00:35.200 --> 00:00:41.000]  但不同山了,好像這種去到盡玩到盡的模式好像大家改變了
[00:00:41.000 --> 00:00:45.800]  現在可能有些什麼大家都喜歡,自己去自駕遊
[00:00:45.800 --> 00:00:48.400]  還有一些很專門專題的東西
[00:00:48.400 --> 00:00:52.400]  有些只是帶你去跑步
[00:00:52.400 --> 00:00:55.200]  現在有帶你去跑步,帶你去拍照
[00:00:55.200 --> 00:00:57.800]  帶你去吃好東西那些又有
[00:00:57.800 --> 00:01:02.200]  好像另一種的生活方式慢慢在興起
[00:01:02.200 --> 00:01:06.800]  我們再不只是追求那些大堆頭大陣仗大製作那些
[00:01:06.800 --> 00:01:12.200]  我們不只是要尋求一次又一次更加刺激更加興奮
[00:01:12.200 --> 00:01:14.200]  都不用只是說去海外旅行
[00:01:14.200 --> 00:01:17.400]  大家可能平日走開街你都會見到
[00:01:17.400 --> 00:01:19.600]  或者大家都是參與在其中
[00:01:19.600 --> 00:01:21.600]  現在你在什麼時間你在街上走
[00:01:21.600 --> 00:01:24.400]  你都總會發現有人在跑步
[00:01:24.400 --> 00:01:25.800]  同意吧?
[00:01:25.800 --> 00:01:27.400]  什麼時間?
[00:01:27.400 --> 00:01:30.400]  當你在路上坐車的時候你會發現
[00:01:30.400 --> 00:01:34.400]  旁邊有人在踩單車,穿得很專業的裝束
[00:01:34.400 --> 00:01:37.000]  又或者當你去到郊野公園
[00:01:37.000 --> 00:01:42.000]  總會見到很多人在行山、跑步
[00:01:42.000 --> 00:01:46.000]  去到海邊你會見到人拿著一枝一枝的魚竿
[00:01:46.000 --> 00:01:50.000]  又或者你會見到一些揹著大大的背囊
[00:01:50.000 --> 00:01:54.400]  揹著很重的攝影器材,像個戰地記者一樣
[00:01:54.400 --> 00:01:57.400]  走去拍照,包括了我在內
[00:01:57.400 --> 00:02:00.400]  我是其中一份子的,不過我肯定
[00:02:00.400 --> 00:02:04.400]  這些以上活動不只是男人的浪漫
[00:02:04.400 --> 00:02:07.400]  我都不吃豆腐火腩飯的
[00:02:07.400 --> 00:02:09.400]  很多女士包括在座當中間
[00:02:09.400 --> 00:02:12.000]  應該都有參與在其中,是不是?
[00:02:12.000 --> 00:02:16.400]  不過我會想,究竟這些是不是一股潮流呢?
[00:02:16.400 --> 00:02:21.400]  過一陣子就會消失了呢?
[00:02:21.400 --> 00:02:27.400]  還是這種生活方式其實是在回應
[00:02:27.400 --> 00:02:33.400]  我們每個人對生活空間的一份渴求呢?
[00:02:33.400 --> 00:02:35.400]  不說其他,我只說我自己
[00:02:35.400 --> 00:02:37.400]  其他活動我都不敢說
[00:02:37.400 --> 00:02:41.400]  我喜歡拍照,喜歡拍一些美麗的景色
[00:02:41.400 --> 00:02:44.400]  喜歡拍一些小鳥
[00:02:44.400 --> 00:02:47.400]  每次看到拍到好的照片
[00:02:47.400 --> 00:02:50.400]  我就覺得好像撿到寶一樣
[00:02:50.400 --> 00:02:53.400]  但是,大家都知道,我不是去動物園
[00:02:53.400 --> 00:02:54.400]  我不是去珠泥公園
