
[00:00:00.000 --> 00:00:04.000]  今年聖誕將會是一個怎樣的聖誕呢?
[00:00:04.000 --> 00:00:07.000]  特別是在佔中之後
[00:00:07.000 --> 00:00:12.000]  香港的聖誕和過往的聖誕有沒有什麼分別呢?
[00:00:12.000 --> 00:00:15.000]  我覺得值得感恩的就是
[00:00:15.000 --> 00:00:18.000]  違法佔領的行動終於告一段落
[00:00:18.000 --> 00:00:22.000]  在12月11號禮拜四那天
[00:00:22.000 --> 00:00:25.000]  金鐘是順利清場
[00:00:25.000 --> 00:00:27.000]  前一天禮拜三
[00:00:27.000 --> 00:00:30.000]  我們每個禮拜三早上九點鐘
[00:00:30.000 --> 00:00:32.000]  就有一個特別的祈禱會
[00:00:32.000 --> 00:00:37.000]  我們有一班人就在窗口望著佔領區
[00:00:37.000 --> 00:00:42.000]  為了第二天要清場可能發生的風險
[00:00:42.000 --> 00:00:44.000]  來代禱
[00:00:44.000 --> 00:00:46.000]  結果很感恩
[00:00:46.000 --> 00:00:48.000]  清場很順利
[00:00:48.000 --> 00:00:52.000]  而且沒有發生任何激烈的對抗和損傷
[00:00:52.000 --> 00:00:56.000]  如果大家關心時事
[00:00:56.000 --> 00:00:59.000]  或者你是很喜歡歷史
[00:00:59.000 --> 00:01:04.000]  對世界時局和政治都有了解的話
[00:01:04.000 --> 00:01:07.000]  你暫時將情緒放下
[00:01:07.000 --> 00:01:12.000]  可能你會和我的看法有相似的地方
[00:01:12.000 --> 00:01:18.000]  佔中是來自有關政改看法的分歧
[00:01:18.000 --> 00:01:24.000]  但是我們不要被輿論上一些字句標題
[00:01:24.000 --> 00:01:27.000]  那麼容易誤導我們
[00:01:27.000 --> 00:01:34.000]  而是將自己的理性、冷靜、獨立的思考放下
[00:01:34.000 --> 00:01:37.000]  其實有很多人和我的看法一樣
[00:01:37.000 --> 00:01:42.000]  佔中不是涉及真普選、無篩選的問題
[00:01:42.000 --> 00:01:45.000]  也不是什麼形式的民主問題
[00:01:45.000 --> 00:01:48.000]  我將它總結成八個字
[00:01:48.000 --> 00:01:52.000]  究竟香港前面政制的改變
[00:01:52.000 --> 00:01:57.000]  是要脫離框架一步登天
[00:01:57.000 --> 00:02:01.000]  還是依法辦事循序漸進
[00:02:01.000 --> 00:02:04.000]  是一個形式、是一個過程
[00:02:04.000 --> 00:02:08.000]  是一個時間上快慢的問題
[00:02:08.000 --> 00:02:14.000]  如果中央和香港的關係是好的話
[00:02:14.000 --> 00:02:17.000]  大家有信任的話
[00:02:17.000 --> 00:02:22.000]  我會覺得如果有一個時間表、有一個路線圖
[00:02:22.000 --> 00:02:26.000]  就能夠將不同的意見凝聚起來
[00:02:26.000 --> 00:02:31.000]  如果我們將問題深一層來分析的話
[00:02:31.000 --> 00:02:34.000]  政改的矛盾不只是表面
[00:02:34.000 --> 00:02:39.000]  其實反映了回歸以來各類型、各層次的問題
[00:02:39.000 --> 00:02:43.000]  但是我想大家都承認佔中之後
[00:02:43.000 --> 00:02:46.000]  香港社會的撕裂是不容易彌補的
[00:02:46.000 --> 00:02:50.000]  政治生態也不再一樣
[00:02:50.000 --> 00:02:55.000]  今年香港聖誕會不會慘淡蕭條、人心惶惶呢?
[00:02:55.000 --> 00:02:58.000]  我覺得香港人很特異
[00:02:58.000 --> 00:03:00.000]  記憶力一般般
[00:03:00.000 --> 00:03:04.000]  很快就街道乾淨
[00:03:04.000 --> 00:03:06.000]  好像什麼事都沒有發生過
[00:03:06.000 --> 00:03:12.000]  工展會繼續迫爆、年宵市場會迫爆各樣東西
[00:03:12.000 --> 00:03:18.000]  這是香港人那種適應生存的一種能力
[00:03:18.000 --> 00:03:20.000]  其實我們看回
[00:03:20.000 --> 00:03:22.000]  因此你說慘不慘呢?
[00:03:22.000 --> 00:03:24.000]  是一種對比的經驗
[00:03:24.000 --> 00:03:26.000]  人生也是
[00:03:26.000 --> 00:03:28.000]  社會也是
[00:03:28.000 --> 00:03:30.000]  歷史也是
[00:03:30.000 --> 00:03:32.000]  如果就香港來說
[00:03:32.000 --> 00:03:37.000]  這個聖誕的觀念是1840年鴉片戰爭
[00:03:37.000 --> 00:03:39.000]  還有各樣香港之後
[00:03:39.000 --> 00:03:44.000]  香港漁村這班人才知道有一個日子叫做聖誕
[00:03:44.000 --> 00:03:46.000]  以為是孔誕
[00:03:46.000 --> 00:03:49.000]  中國人聖誕就是孔誕的意思
[00:03:49.000 --> 00:03:55.000]  而且就知道是紀念耶穌降生這回事
[00:03:55.000 --> 00:04:00.000]  我想起香港一個很出名的小說家張愛玲
[00:04:00.000 --> 00:04:04.000]  她寫過一部小說叫做《傾城之戀》
[00:04:04.000 --> 00:04:06.000]  拍做電影
[00:04:06.000 --> 00:04:08.000]  由周潤發和廟軒人做的
[00:04:08.000 --> 00:04:10.000]  是一部很舊的電影
[00:04:10.000 --> 00:04:13.000]  小說電影裏面
[00:04:13.000 --> 00:04:17.000]  都有描寫到香港入軍佔領時期
[00:04:17.000 --> 00:04:19.000]  3008個月
[00:04:19.000 --> 00:04:21.000]  那個聖誕是怎樣
[00:04:21.000 --> 00:04:24.000]  裏面有一幕就講到這個女主角
[00:04:24.000 --> 00:04:26.000]  在淺水灣酒店那裏
[00:04:26.000 --> 00:04:29.000]  當時是冬天近聖誕
[00:04:29.000 --> 00:04:34.000]  就目睹英軍怎樣作最後的打仗
[00:04:34.000 --> 00:04:39.000]  日軍怎樣攻佔機關槍的宿舍
[00:04:39.000 --> 00:04:43.000]  然後這個人在戰亂之後
[00:04:43.000 --> 00:04:46.000]  他就由淺水灣經西半山
[00:04:46.000 --> 00:04:48.000]  一路行到堅尼地道
[00:04:48.000 --> 00:04:50.000]  堅島西半山
[00:04:50.000 --> 00:04:52.000]  回到他的大屋
[00:04:52.000 --> 00:04:54.000]  發現已經家徒四壁
