
[00:00:00.000 --> 00:00:03.200]  今天講到的經文是詩篇133
[00:00:03.200 --> 00:00:04.900]  變成一段很熟悉的經文
[00:00:04.900 --> 00:00:06.100]  我們唱歌也有的
[00:00:06.100 --> 00:00:07.400]  不過今天沒有唱一首詩歌
[00:00:07.400 --> 00:00:09.900]  我們今天唱歌的勁敗隊比較年輕
[00:00:09.900 --> 00:00:10.900]  我們舊的詩歌
[00:00:10.900 --> 00:00:15.000]  這首是一首很好的E minor的一首小調
[00:00:15.000 --> 00:00:16.200]  是很好聽的
[00:00:16.200 --> 00:00:18.700]  是我很喜歡的一首詩歌
[00:00:18.700 --> 00:00:21.600]  我們先讀出這幾字的經文好嗎
[00:00:21.600 --> 00:00:22.900]  好 請讀
[00:00:22.900 --> 00:00:23.800]  看呀
[00:00:23.800 --> 00:00:25.700]  弟兄和木同居
[00:00:25.700 --> 00:00:28.900]  是何等的善 何等的美
[00:00:28.900 --> 00:00:30.900]  是好美也 何等的群 何等的群
[00:00:30.900 --> 00:00:32.900]  是囂張也 何等的群
[00:00:32.900 --> 00:00:34.900]  何等的群 何等的群
[00:00:34.900 --> 00:00:36.900]  何等的群 何等的群
[00:00:36.900 --> 00:00:38.900]  是好美也 何等的群
[00:00:38.900 --> 00:00:40.900]  何等的群 何等的群
[00:00:40.900 --> 00:00:42.900]  何等的群 何等的群
[00:00:42.900 --> 00:00:44.900]  是好美也 何等的群
[00:00:44.900 --> 00:00:46.900]  是囂張也 何等的群
[00:00:46.900 --> 00:00:47.900]  是囂張也 何等的群
[00:00:47.900 --> 00:00:49.400]  我們已經講過這段時間
[00:00:49.400 --> 00:00:50.900]  我們要講上行之詩
[00:00:50.900 --> 00:00:53.400]  上行之詩就是當猶太人
[00:00:53.400 --> 00:00:54.900]  或者都有外邦人
[00:00:54.900 --> 00:00:56.400]  當他們一年幾次過節
[00:00:56.400 --> 00:00:58.400]  上耶路撒冷過節的時候
[00:00:58.400 --> 00:00:59.900]  在他們的行程當中
[00:00:59.900 --> 00:01:01.900]  唱頌這些詩歌
[00:01:01.900 --> 00:01:03.900]  詩篇113篇是其中一首
[00:01:03.900 --> 00:01:05.900]  很家傳戶曉的詩歌
[00:01:05.900 --> 00:01:11.900]  詩篇的開始有一個括弧
[00:01:11.900 --> 00:01:13.900]  寫著大衛上行之詩
[00:01:13.900 --> 00:01:15.900]  不過有些識經家相信
[00:01:15.900 --> 00:01:17.900]  可能未必完全是大衛的作品
[00:01:17.900 --> 00:01:19.900]  可能是秘魯歸回之後的作品
[00:01:19.900 --> 00:01:21.900]  因為這個主題講到一種
[00:01:21.900 --> 00:01:24.900]  和木同居那種狀態
[00:01:24.900 --> 00:01:26.400]  似乎在秘魯之後
[00:01:26.400 --> 00:01:32.900]  更加珍惜弟兄弟姐之間的關係
[00:01:32.900 --> 00:01:34.400]  英文或者原文講到
[00:01:34.400 --> 00:01:35.900]  dwell together in unity
[00:01:35.900 --> 00:01:37.900]  是講到一種不是住
[00:01:37.900 --> 00:01:39.400]  不是重要的問題
[00:01:39.400 --> 00:01:40.400]  是一個合一
