
[00:00:00.000 --> 00:00:04.020]  過去預備這個講章的時候
[00:00:04.020 --> 00:00:07.600]  有很多的掙扎
[00:00:07.600 --> 00:00:09.920]  頭頭你不知道大家有沒有留意
[00:00:09.920 --> 00:00:12.980]  實際上那個講題是改過來的
[00:00:12.980 --> 00:00:15.440]  頭頭叫做《神的引導》
[00:00:15.440 --> 00:00:18.380]  接著我就改了《恩訊得救》
[00:00:18.380 --> 00:00:26.500]  不要以為我自己去讀這篇聖經的時候
[00:00:26.500 --> 00:00:28.360]  我都要看很多次
[00:00:28.360 --> 00:00:30.160]  看來是做什麼呢
[00:00:30.160 --> 00:00:32.820]  找到一些東西我是不明白的
[00:00:32.820 --> 00:00:35.480]  因為原來有時不知大家有沒有想過
[00:00:35.480 --> 00:00:39.200]  看聖經有時我們覺得明白了
[00:00:39.200 --> 00:00:42.360]  但實在很多東西是我們不明白
[00:00:42.360 --> 00:00:44.960]  不看多幾次你不知道自己不明白
[00:00:44.960 --> 00:00:48.560]  直到你知道自己不明白的時候
[00:00:48.560 --> 00:00:52.960]  讓聖靈真的可以介入你
[00:00:52.960 --> 00:00:54.640]  打破你的思維
[00:00:54.640 --> 00:00:58.840]  以至你能夠真正明白當中的意思
[00:00:58.840 --> 00:01:01.720]  如果從這個講題
[00:01:01.720 --> 00:01:04.380]  我相信大家應該有一些
[00:01:04.380 --> 00:01:07.480]  如果看過內文的你就知道了
[00:01:07.480 --> 00:01:09.960]  今天的經文因為很長
[00:01:09.960 --> 00:01:12.800]  16章的6節至到40節
[00:01:12.800 --> 00:01:16.400]  我主要會重點放在後面
[00:01:16.400 --> 00:01:20.720]  所以我想和大家一起打開聖經
[00:01:20.720 --> 00:01:25.840]  16章的16我們讀到34節
[00:01:25.840 --> 00:01:31.520]  16章16至34節
[00:01:31.520 --> 00:01:34.280]  見到的我們一起去讀
[00:01:34.280 --> 00:01:37.960]  後來我們往那禱告的地方去
[00:01:37.960 --> 00:01:40.800]  有一個使女迎著面來
[00:01:40.800 --> 00:01:42.960]  她被毛鬼所附
[00:01:42.960 --> 00:01:47.120]  用法術叫她主人們大德財利
[00:01:47.120 --> 00:01:49.440]  她跟隨保羅和我們
[00:01:49.440 --> 00:01:53.560]  喊著說這些人是至高神的僕人
[00:01:53.560 --> 00:01:56.520]  對你們傳說救人的道
[00:01:56.520 --> 00:01:59.080]  她連多日這樣喊叫
[00:01:59.080 --> 00:02:01.360]  保羅就心中厭煩
[00:02:01.360 --> 00:02:03.600]  轉身對那鬼說
[00:02:03.600 --> 00:02:05.480]  我奉耶穌基督的名
[00:02:05.480 --> 00:02:08.320]  吩咐你從他身上出來
[00:02:08.320 --> 00:02:11.040]  那鬼當時就出來了
[00:02:11.040 --> 00:02:15.200]  使女的主人們見得你的指望沒有了
[00:02:15.200 --> 00:02:17.600]  便抽著保羅和西拉
[00:02:17.600 --> 00:02:20.880]  拉他們到市上去見首領
[00:02:20.880 --> 00:02:23.360]  又帶到官長面前說
[00:02:23.360 --> 00:02:25.760]  這些人原是猶太人
[00:02:25.760 --> 00:02:27.880]  竟騷擾我們的城
[00:02:27.880 --> 00:02:30.600]  傳我們羅馬人所不可受
[00:02:30.600 --> 00:02:32.800]  不可行的規矩
[00:02:32.800 --> 00:02:35.880]  眾人就一同起來攻擊他們
[00:02:35.880 --> 00:02:38.840]  官長吩咐剝了他們的衣裳
[00:02:38.840 --> 00:02:40.120]  用棍打
[00:02:40.120 --> 00:02:41.680]  打了許多棍
[00:02:41.680 --> 00:02:44.280]  便將他們下在監獄
[00:02:44.280 --> 00:02:47.240]  祝福禁足嚴謹看守
[00:02:47.240 --> 00:02:49.440]  禁足領了這樣的命
[00:02:49.440 --> 00:02:52.320]  就把他們下在內監獄
[00:02:52.320 --> 00:02:54.720]  兩腳上了木狗
[00:02:54.720 --> 00:02:56.160]  若在午夜
[00:02:56.160 --> 00:02:58.480]  保羅和西拉土告
[00:02:58.480 --> 00:03:00.600]  唱詩贊美神
[00:03:00.600 --> 00:03:03.240]  眾囚犯也質疑而聽
[00:03:03.240 --> 00:03:05.400]  忽然地帶震動
[00:03:05.400 --> 00:03:08.760]  甚至監牢的地基都搖動了
[00:03:08.760 --> 00:03:10.960]  監門立刻全開
[00:03:10.960 --> 00:03:14.400]  眾囚犯的鎖鏈也都松開了
[00:03:14.400 --> 00:03:17.680]  禁足一醒,看見監門全開
[00:03:17.680 --> 00:03:20.280]  以為囚犯已經逃走
[00:03:20.280 --> 00:03:22.400]  就不都要自殺
[00:03:22.400 --> 00:03:24.720]  保羅大聲呼叫說
[00:03:24.720 --> 00:03:26.600]  不要傷害自己
[00:03:26.600 --> 00:03:28.800]  我們都在這裡
[00:03:28.800 --> 00:03:30.640]  禁足叫人拿燈來
[00:03:30.640 --> 00:03:32.320]  就跳進去
[00:03:32.320 --> 00:03:36.760]  戰戰兢兢地俯伏在保羅西拉麵前
[00:03:36.760 --> 00:03:39.040]  又領他們出來說
[00:03:39.040 --> 00:03:40.400]  二位先生
[00:03:40.400 --> 00:03:43.680]  我當怎樣行才可以得救
[00:03:43.680 --> 00:03:44.800]  他們說
[00:03:44.800 --> 00:03:46.480]  當信主耶穌
[00:03:46.480 --> 00:03:49.400]  你和你一家都必得救
[00:03:49.400 --> 00:03:51.160]  他們就把主的道
[00:03:51.160 --> 00:03:54.400]  講給他和他全家的人聽
[00:03:54.400 --> 00:03:56.960]  當夜就在那時候
[00:03:56.960 --> 00:03:59.240]  禁足把他們帶去
[00:03:59.240 --> 00:04:00.920]  洗他們的傷
[00:04:00.920 --> 00:04:02.840]  他和俯伏他的人
[00:04:02.840 --> 00:04:05.240]  立時都受了洗
[00:04:05.240 --> 00:04:09.280]  於是禁足領他們上自己家裡去
[00:04:09.280 --> 00:04:11.320]  給他們擺上飯
[00:04:11.320 --> 00:04:14.280]  他和全家因為信了神
[00:04:14.280 --> 00:04:16.680]  都肯喜樂
[00:04:16.680 --> 00:04:18.520]  我們一起祈禱
[00:04:18.520 --> 00:04:20.760]  主讓你的話語寶貴
[00:04:20.760 --> 00:04:21.960]  原理引導我們
[00:04:21.960 --> 00:04:24.080]  讓我們能夠明白
[00:04:24.080 --> 00:04:26.680]  我們這樣祈禱奉耶穌基督名求
[00:04:26.680 --> 00:04:27.760]  阿們
