
[00:00:00.000 --> 00:00:03.860]  我不知道你聽完這首歌之後有甚麼感想
[00:00:03.860 --> 00:00:08.600]  他們說我們不要以為離開這個世界還有很遠
[00:00:08.600 --> 00:00:10.700]  不是這個意思
[00:00:10.700 --> 00:00:14.820]  離開這個世界的時間還有很遠
[00:00:14.820 --> 00:00:16.920]  其實很近
[00:00:16.920 --> 00:00:19.520]  因為現在每天發生的事
[00:00:19.520 --> 00:00:22.040]  是沒有人可以掌握到的
[00:00:22.040 --> 00:00:24.560]  所以這首歌提醒我們
[00:00:24.560 --> 00:00:27.640]  人生真的需要去依靠神
[00:00:27.640 --> 00:00:30.100]  和每天去跟隨神
[00:00:30.100 --> 00:00:38.000]  越跟得貼 親密些就越更加好
[00:00:38.000 --> 00:00:40.360]  來到九月尾
[00:00:40.360 --> 00:00:42.480]  自己有很大的感想就是
[00:00:42.480 --> 00:00:45.060]  這一年很快就過去了
[00:00:45.060 --> 00:00:47.560]  時間真的過得很快
[00:00:47.560 --> 00:00:52.060]  一來到九月尾 就很快就完了2025年
[00:00:52.060 --> 00:00:56.220]  因為十月大家知道有甚麼節
[00:00:56.220 --> 00:00:58.140]  十一月有感恩節
[00:00:58.140 --> 00:00:59.940]  十二月有聖誕節
[00:00:59.940 --> 00:01:02.600]  接著有新的一年
[00:01:02.600 --> 00:01:08.460]  我在想 我們生命中時間過得很快
[00:01:08.460 --> 00:01:11.420]  經歷也都是越來越多的
[00:01:11.420 --> 00:01:14.500]  有些是重複再重複的
[00:01:14.500 --> 00:01:17.220]  因為日光之下沒有新事
[00:01:17.220 --> 00:01:20.920]  但有些卻是你從來沒有試過的
[00:01:20.920 --> 00:01:25.340]  但是現在就要去面對
[00:01:25.340 --> 00:01:27.100]  當我預備這篇講道的時候
[00:01:27.100 --> 00:01:32.260]  其實李太 李卓韻 黎姊妹是未曾離開世界的
[00:01:32.260 --> 00:01:35.100]  因為我在安排講道的時候
[00:01:35.100 --> 00:01:40.000]  講道這個月是生命中的聚散 離合
[00:01:40.000 --> 00:01:44.620]  跟李太認識了三十多年
[00:01:44.620 --> 00:01:49.080]  第一天搬來Torrance就已經認識了她們
[00:01:49.080 --> 00:01:55.420]  怎樣認識的呢? 就是她派了她家裏的壯丁
[00:01:55.420 --> 00:01:59.320]  Kenneth Peter 或者我忘記了是Philip
[00:01:59.320 --> 00:02:03.760]  總之還有幾個男的就來跟我們搬屋
[00:02:03.760 --> 00:02:06.480]  我由St. Gabriel搬來Torrance
[00:02:06.480 --> 00:02:13.260]  那輛貨車一到了我們租了教會的牧師宿舍
[00:02:13.260 --> 00:02:16.640]  在那裏的時候 他們這班男丁就已經在那裏等
[00:02:16.640 --> 00:02:20.340]  把東西搬到我們的家裏
[00:02:20.340 --> 00:02:23.540]  有四個層次的 你知道那些吧
[00:02:23.540 --> 00:02:27.460]  不知道什麼顏色的 四層
[00:02:27.460 --> 00:02:33.440]  那些大隻佬真是把很重的東西
[00:02:33.440 --> 00:02:35.560]  都一層一層的搬上去
[00:02:35.560 --> 00:02:40.620]  我最記得就是幫我兩個兒女搭那個上下格床
[00:02:40.620 --> 00:02:42.260]  因為只有兩間房
[00:02:42.260 --> 00:02:48.120]  我和黃牧師的一間就是他們兩兄妹
[00:02:48.120 --> 00:02:51.140]  他們真是很努力
[00:02:51.140 --> 00:02:55.760]  一直做到全部妥當了 這樣才離開的
[00:02:55.760 --> 00:02:57.900]  還有李太太好到怎樣?
[00:02:57.900 --> 00:03:00.120]  她炒好那些麵
[00:03:00.120 --> 00:03:04.080]  想著我們來到當然沒有吃東西
[00:03:04.080 --> 00:03:06.980]  而且很難會再出去吃東西了
[00:03:06.980 --> 00:03:13.080]  炒好麵給我們搬完屋之後在家裏可以吃
[00:03:13.080 --> 00:03:20.500]  一個很關懷人的姊妹 是一個小婦人
[00:03:20.500 --> 00:03:25.240]  她不是很高調的 經常要出來說話
[00:03:25.240 --> 00:03:29.500]  很多人認識她 人認識她是她的笑容
[00:03:29.500 --> 00:03:34.880]  人認識她就是當她拿著小冊子或者一份小禮物
[00:03:34.880 --> 00:03:38.360]  送給剛剛洗禮的那些人
[00:03:38.360 --> 00:03:43.940]  有些人認識她是因為大家一起住在老人大廈
[00:03:43.940 --> 00:03:49.360]  她很關心人 信耶穌 帶人去教會
[00:03:49.360 --> 00:03:52.600]  如果那裏有查經班的就邀請人去
[00:03:52.600 --> 00:03:57.460]  接著我們教會訂了一些靈命日糧
[00:03:57.460 --> 00:04:01.760]  或者傳遞生命 她自己拿到了
