
[00:00:00.000 --> 00:00:07.000]  今日會繼續看提督書第三章
[00:00:07.000 --> 00:00:09.000]  先一同祈禱
[00:00:09.000 --> 00:00:38.000]  感謝主的恩典
[00:00:40.000 --> 00:00:44.000]  最近我們的粵語主要學
[00:00:44.000 --> 00:00:48.000]  剛剛炒完了《全道書》
[00:00:48.000 --> 00:00:52.000]  《全道書》是一本比較哲學性的書
[00:00:52.000 --> 00:00:58.000]  傳統上將這本書歸類為智慧文學
[00:00:58.000 --> 00:01:03.000]  《全道書》的主題是思想人生
[00:01:03.000 --> 00:01:06.000]  人生既然是非常短暫
[00:01:06.000 --> 00:01:10.000]  就好像吹口氣一樣
[00:01:10.000 --> 00:01:13.000]  並且人又受了很多限制
[00:01:13.000 --> 00:01:16.000]  例如時間的限制
[00:01:16.000 --> 00:01:20.000]  我們不能夠預知未來
[00:01:20.000 --> 00:01:24.000]  還有一個最難解決的人生難題
[00:01:24.000 --> 00:01:28.000]  就是人是必定會死的
[00:01:28.000 --> 00:01:33.000]  而死亡又會毀滅我們一切的成就
[00:01:33.000 --> 00:01:37.000]  並且我們很快會被人忘記
[00:01:37.000 --> 00:01:44.000]  那麼人究竟應該怎樣在世上生活呢?
[00:01:44.000 --> 00:01:49.000]  為何而活又為誰而活呢?
[00:01:49.000 --> 00:01:52.000]  《全道》的總結是
[00:01:52.000 --> 00:01:57.000]  教導人要帶著敬畏創造主的心態
[00:01:57.000 --> 00:02:01.000]  快快樂樂地活在世上
[00:02:01.000 --> 00:02:04.000]  從《全道》者的結論來看
[00:02:04.000 --> 00:02:09.000]  其實他與上帝的關係是比較疏離的
[00:02:09.000 --> 00:02:13.000]  他知道人在生前或死後
[00:02:13.000 --> 00:02:17.000]  都要面對上主的審判
[00:02:17.000 --> 00:02:23.000]  所以教導我們要敬畏上主
[00:02:23.000 --> 00:02:30.000]  敬畏上主當然是對創造主的一種恰當回應
[00:02:30.000 --> 00:02:38.000]  但這不是上主對屬他的人的全部要求
[00:02:38.000 --> 00:02:42.000]  作為新約時代的信徒
[00:02:42.000 --> 00:02:45.000]  認識和跟隨上主的人
[00:02:45.000 --> 00:02:48.000]  我們又應該怎樣生活呢?
[00:02:48.000 --> 00:02:52.000]  今日我們要從提多書第三章
[00:02:52.000 --> 00:02:56.000]  去思想保羅的教導
[00:02:56.000 --> 00:03:00.000]  讓我先簡單和大家溫習一下
[00:03:00.000 --> 00:03:04.000]  保羅在提多書頭兩章講了甚麼
[00:03:04.000 --> 00:03:08.000]  提多書第一章是保羅吩咐提多
[00:03:08.000 --> 00:03:10.000]  要為教會按立牧師
[00:03:10.000 --> 00:03:15.000]  帶領教會並且將牧師的資格講得很清楚
[00:03:15.000 --> 00:03:18.000]  第二章是保羅教導提多
[00:03:18.000 --> 00:03:21.000]  怎樣做教會的牧師
[00:03:21.000 --> 00:03:25.000]  保羅以一位屬靈長者的身份
[00:03:25.000 --> 00:03:28.000]  以及作為提多的屬靈父親的身份
[00:03:28.000 --> 00:03:31.000]  教導年青的提多
[00:03:31.000 --> 00:03:34.000]  要怎樣在教會當中
[00:03:34.000 --> 00:03:41.000]  與不同年齡和性別的弟兄姊妹相處
[00:03:41.000 --> 00:03:44.000]  而今日我們看的第三章就是教導基督徒
[00:03:44.000 --> 00:03:48.000]  信主之後要怎樣生活
[00:03:48.000 --> 00:03:51.000]  很多基督徒以為信耶穌
[00:03:51.000 --> 00:03:55.000]  最重要就是上天堂
[00:03:55.000 --> 00:03:58.000]  而不知道原來信耶穌
[00:03:58.000 --> 00:04:01.000]  還有更大的好處
[00:04:01.000 --> 00:04:04.000]  就是知道當我們活在世上的時候
[00:04:04.000 --> 00:04:07.000]  我們應該怎樣生活
[00:04:07.000 --> 00:04:11.000]  不單是快快樂樂地活著
