
[00:00:00.000 --> 00:00:06.000]  上星期我們已經開始了《上帝的國》這個系列講道
[00:00:06.000 --> 00:00:10.000]  講這個主題的原因就是我認為
[00:00:10.000 --> 00:00:14.000]  《聖經》的主題是上帝的國我們應該認識的
[00:00:14.000 --> 00:00:16.000]  或者簡稱做天國
[00:00:16.000 --> 00:00:19.000]  這個《聖經》的主題不是我發現的
[00:00:19.000 --> 00:00:22.000]  是我在神學院讀神學的時候
[00:00:22.000 --> 00:00:25.000]  有一位教《聖經》神學的老師
[00:00:25.000 --> 00:00:27.000]  Graham Goldsworthy 的意見
[00:00:27.000 --> 00:00:30.000]  他寫了一兩本書講論他的論點
[00:00:30.000 --> 00:00:34.000]  我認為他的論點是很合理的
[00:00:34.000 --> 00:00:37.000]  我們已經從《創世紀》裏面
[00:00:37.000 --> 00:00:41.000]  看到這個世界是上帝所做的
[00:00:41.000 --> 00:00:44.000]  這個世界就是屬於上帝的
[00:00:44.000 --> 00:00:47.000]  從這個世界裏面很多奇妙的情況
[00:00:47.000 --> 00:00:51.000]  上星期提到這個Fibonacci的數字系列
[00:00:51.000 --> 00:00:53.000]  雖然好像很普通
[00:00:53.000 --> 00:00:58.000]  但是我們發現原來那些這麼普通的數字裏面
[00:00:58.000 --> 00:01:03.000]  它是隱藏了上帝創造的一個特殊記號
[00:01:03.000 --> 00:01:07.000]  不過有人說我講解得不是很清楚
[00:01:07.000 --> 00:01:09.000]  由於我不是教數學
[00:01:09.000 --> 00:01:14.000]  所以我沒有深入去解釋這個Fibonacci的數字系列
[00:01:14.000 --> 00:01:15.000]  如果有人
[00:01:15.000 --> 00:01:17.000]  我們當中有人真的很有興趣
[00:01:17.000 --> 00:01:21.000]  想深入一些了解一下那個數字系列的話
[00:01:21.000 --> 00:01:25.000]  你可以去YouTube那裏找一套介紹短片
[00:01:25.000 --> 00:01:27.000]  我也找了一篇文章
[00:01:27.000 --> 00:01:30.000]  是由一位大學講師寫的
[00:01:30.000 --> 00:01:31.000]  有九頁紙
[00:01:31.000 --> 00:01:32.000]  你想研究的話
[00:01:32.000 --> 00:01:34.000]  你可以告訴我
