
[00:00:00.000 --> 00:00:05.000]  婚前輔導何時開始?
[00:00:05.000 --> 00:00:09.000]  有些人在肯定期後開始
[00:00:09.000 --> 00:00:14.000]  我們說肯定期後開始已經幫助你籌備婚禮
[00:00:14.000 --> 00:00:17.000]  還有看程序要些甚麼
[00:00:17.000 --> 00:00:20.000]  婚前輔導都可以的
[00:00:20.000 --> 00:00:23.000]  因為仍然是結婚之前
[00:00:23.000 --> 00:00:25.000]  都是叫婚前輔導
[00:00:25.000 --> 00:00:27.000]  性質不同
[00:00:27.000 --> 00:00:30.000]  如果期我都要
[00:00:30.000 --> 00:00:32.000]  那就沒有壞處
[00:00:32.000 --> 00:00:34.000]  其實每個期都要都很好
[00:00:34.000 --> 00:00:35.000]  慎重
[00:00:35.000 --> 00:00:38.000]  我脈式的時候不用了
[00:00:38.000 --> 00:00:39.000]  脈式就是現在
[00:00:39.000 --> 00:00:40.000]  你要看書
[00:00:40.000 --> 00:00:41.000]  你要去講座
[00:00:41.000 --> 00:00:43.000]  你要認識自己
[00:00:43.000 --> 00:00:45.000]  我們說在脈式期裏
[00:00:45.000 --> 00:00:48.000]  你需要做些甚麼
[00:00:48.000 --> 00:00:50.000]  需要做些自我認識的事
[00:00:50.000 --> 00:00:54.000]  需要去成長小組
[00:00:54.000 --> 00:00:57.000]  需要不斷看書
[00:00:57.000 --> 00:00:59.000]  對於正確的婚姻生活
[00:00:59.000 --> 00:01:01.000]  對於正確的愛
[00:01:01.000 --> 00:01:03.000]  你要正確的觀念
[00:01:03.000 --> 00:01:04.000]  你不是很正確
[00:01:04.000 --> 00:01:06.000]  你要面對
[00:01:06.000 --> 00:01:08.000]  然後好好看
[00:01:08.000 --> 00:01:11.000]  建立你裏面的標準
[00:01:11.000 --> 00:01:13.000]  正確的信念
[00:01:13.000 --> 00:01:16.000]  需要掌握清楚
[00:01:16.000 --> 00:01:19.000]  你對自己的情緒掌握清楚
[00:01:19.000 --> 00:01:21.000]  學習掌握清楚
[00:01:21.000 --> 00:01:23.000]  這是成長小組裏面
[00:01:23.000 --> 00:01:25.000]  其中一個最大的環節
[00:01:25.000 --> 00:01:28.000]  學習掌握你情緒
[00:01:28.000 --> 00:01:31.000]  即是你要學習掌握你裏面的情緒
[00:01:31.000 --> 00:01:34.000]  因此你明白你裏面的情緒
[00:01:34.000 --> 00:01:37.000]  你是可以知道自己多些
[00:01:37.000 --> 00:01:39.000]  和怎樣處理外面的事
[00:01:39.000 --> 00:01:42.000]  然後你就去約會
[00:01:42.000 --> 00:01:46.000]  你知道約會的目的和性質
[00:01:46.000 --> 00:01:52.000]  還有你有正確的人際關係
[00:01:52.000 --> 00:01:54.000]  你會去的
[00:01:54.000 --> 00:01:55.000]  不用怕
[00:01:55.000 --> 00:01:56.000]  你怕甚麼
[00:01:56.000 --> 00:01:59.000]  你要摸索得清楚
[00:01:59.000 --> 00:02:02.000]  這些是你需要做的
[00:02:02.000 --> 00:02:05.000]  真是有一個普通朋友
[00:02:05.000 --> 00:02:06.000]  你很喜歡
[00:02:06.000 --> 00:02:09.000]  又可以萬向要好
[00:02:09.000 --> 00:02:10.000]  大家很投契
[00:02:10.000 --> 00:02:12.000]  而且現在的性質
[00:02:12.000 --> 00:02:14.000]  不只是大火熱
[00:02:14.000 --> 00:02:18.000]  有時會碰巧兩個人在一起
[00:02:18.000 --> 00:02:21.000]  而且也很想兩個人在一起
[00:02:21.000 --> 00:02:23.000]  這些是性質不同
[00:02:23.000 --> 00:02:26.000]  你單獨見面的機會多了
[00:02:26.000 --> 00:02:28.000]  你會打電話給他
[00:02:28.000 --> 00:02:29.000]  多了
[00:02:29.000 --> 00:02:30.000]  你會有些事情
[00:02:30.000 --> 00:02:32.000]  你會先找他
[00:02:32.000 --> 00:02:33.000]  又多了
[00:02:33.000 --> 00:02:34.000]  你自己會否白
[00:02:34.000 --> 00:02:35.000]  你自己的心思意念
[00:02:35.000 --> 00:02:36.000]  又多了
[00:02:36.000 --> 00:02:37.000]  這些機會
[00:02:37.000 --> 00:02:40.000]  你發覺已經是比較好的朋友
[00:02:40.000 --> 00:02:41.000]  你不要騙自己
[00:02:41.000 --> 00:02:42.000]  是的
[00:02:42.000 --> 00:02:44.000]  你已經在下感情
[00:02:44.000 --> 00:02:47.000]  而且那個人也在下感情
[00:02:47.000 --> 00:02:48.000]  不要騙自己
[00:02:48.000 --> 00:02:50.000]  不是的
[00:02:50.000 --> 00:02:54.000]  然後你又經常見面的次數多了
