
[00:00:00.000 --> 00:00:03.740]  給我們聖平安,原諒我們一起低頭祈禱
[00:00:03.740 --> 00:00:08.300]  親帥感謝祢,去招待我們在祢的殿裡一起的敬拜
[00:00:08.300 --> 00:00:11.560]  天佛,我們知道一切都不是必然
[00:00:11.560 --> 00:00:14.160]  求祢教導我們以感恩的心
[00:00:14.160 --> 00:00:16.460]  也要用渴望的心來到祢的面前
[00:00:16.460 --> 00:00:20.240]  更加靠到我們懂得怎樣去敬畏祢
[00:00:20.240 --> 00:00:23.240]  無論說話還是聽話,都痛望祢的月立
[00:00:23.240 --> 00:00:26.320]  祈禱奉主耶穌基督的名求,阿們
[00:00:27.220 --> 00:00:32.460]  我不知道大家有沒有機會,經過獅子山去沙田的方向
[00:00:32.460 --> 00:00:33.920]  當你呢
[00:00:33.920 --> 00:00:36.620]  有兩位住在沙田
[00:00:36.620 --> 00:00:41.180]  當你望向右手邊的上面
[00:00:41.180 --> 00:00:44.660]  不知道你有沒有留意,那裡有個叫望夫石
[00:00:44.660 --> 00:00:45.900]  有沒有看過?
[00:00:45.900 --> 00:00:48.140]  做甚麼笑?
[00:00:48.140 --> 00:00:52.000]  望夫石,你沒見過,OK
[00:00:52.200 --> 00:00:57.460]  相傳,這個望夫石就是一個婦人,背著一個小朋友
[00:00:57.460 --> 00:01:02.240]  在山上,遙望等她的先生回來
[00:01:02.240 --> 00:01:04.900]  不知道你對於
[00:01:04.900 --> 00:01:06.400]  當然這是相傳
[00:01:06.400 --> 00:01:10.100]  所以就是等到她的先生,自己變成石頭
[00:01:10.100 --> 00:01:14.900]  不知道你對於一個這樣的婦人
[00:01:14.900 --> 00:01:17.340]  你會覺得她
[00:01:17.340 --> 00:01:19.600]  很佩服她的忠貞
[00:01:19.600 --> 00:01:23.800]  對自己的家庭,對自己的婚姻
[00:01:23.800 --> 00:01:26.540]  對自己的承諾,忠貞
[00:01:26.540 --> 00:01:28.100]  還是你會覺得呢
[00:01:28.100 --> 00:01:30.900]  這個世界哪有這麼笨的人
