
[00:00:00.000 --> 00:00:08.000]  「耶穌對那女人說:「你的信救了你,平平安安地回去吧。」
[00:00:08.000 --> 00:00:10.000]  「你的信救了你。」
[00:00:10.000 --> 00:00:11.000]  是不是很熟悉呢?
[00:00:11.000 --> 00:00:18.000]  剛剛上個主日,顏傳道講血漏婦人的事跡
[00:00:18.000 --> 00:00:21.000]  亦都講到「你的信救了你」
[00:00:21.000 --> 00:00:25.000]  今日我們的講題是講到「罪人的服侍」
[00:00:25.000 --> 00:00:28.000]  亦都是一個愛的服侍
[00:00:28.000 --> 00:00:32.000]  罪人都會服侍的嗎?原來罪人有兩種
[00:00:32.000 --> 00:00:37.000]  第一種就是蒙恩得救的罪人
[00:00:37.000 --> 00:00:43.000]  蒙恩得救的罪人是甘心樂意去愛神,去服侍神
[00:00:43.000 --> 00:00:46.000]  今日我們主要是看這一種
[00:00:46.000 --> 00:00:50.000]  我們看看我們的經文
[00:00:50.000 --> 00:01:00.000]  在剛才的經文裏面,有一個法利塞人叫西門
[00:01:00.000 --> 00:01:02.000]  我們弄清楚,這個是法利塞人西門
[00:01:02.000 --> 00:01:06.000]  不是跟隨耶穌十二門徒裏面的西門
[00:01:06.000 --> 00:01:10.000]  弄清楚,這個也是同名的,不過是法利塞人
[00:01:10.000 --> 00:01:13.000]  不是西門彼得
[00:01:13.000 --> 00:01:18.000]  這個法利塞人請耶穌吃飯
[00:01:18.000 --> 00:01:20.000]  其實法利塞人是甚麼人呢?
[00:01:20.000 --> 00:01:24.000]  如果我們有些弟兄姊妹看過聖經都會知道多一點
[00:01:24.000 --> 00:01:27.000]  他們是很嚴謹的人
[00:01:27.000 --> 00:01:30.000]  他們是遵守摩西律法的人
[00:01:30.000 --> 00:01:34.000]  他們是很虔誠的宗教領袖
[00:01:34.000 --> 00:01:37.000]  他們不會隨便跟人吃飯
[00:01:37.000 --> 00:01:41.000]  他們不會跟一些罪人來往
[00:01:41.000 --> 00:01:47.000]  還有他們不會跟一些異族人、異教人一起
[00:01:47.000 --> 00:01:50.000]  因為他們是虔誠的人
[00:01:50.000 --> 00:01:52.000]  聖潔的人
[00:01:52.000 --> 00:01:57.000]  所以他們只會請一些尊重的人來吃飯
[00:01:57.000 --> 00:02:02.000]  所以這個法利塞人請耶穌來吃飯
[00:02:02.000 --> 00:02:06.000]  聊聊天,因為在他們心目中
[00:02:06.000 --> 00:02:09.000]  都覺得耶穌是一個受人尊重的人
[00:02:09.000 --> 00:02:14.000]  這個經文記載在路加福音第七章
[00:02:14.000 --> 00:02:18.000]  說的是耶穌初出來傳道的初期
[00:02:18.000 --> 00:02:22.000]  其實當時耶穌跟法利塞人的關係
[00:02:22.000 --> 00:02:25.000]  或者法利塞人跟耶穌的關係
[00:02:25.000 --> 00:02:29.000]  其實還是OK的
[00:02:29.000 --> 00:02:36.000]  後來我們知道法利塞人是有份要弄死耶穌
[00:02:36.000 --> 00:02:38.000]  但現在還沒有去到這個階段
[00:02:38.000 --> 00:02:40.000]  所以初初來說大家都OK
[00:02:40.000 --> 00:02:43.000]  法利塞人也很想跟耶穌吃飯
[00:02:43.000 --> 00:02:47.000]  聊聊天,認識他,了解他
[00:02:47.000 --> 00:02:50.000]  主耶穌從來不拒絕人
[00:02:50.000 --> 00:02:52.000]  你請我吃飯又如何?
[00:02:52.000 --> 00:02:54.000]  就去吧,這是禮貌
[00:02:54.000 --> 00:02:56.000]  請我吃飯就去吧
[00:02:56.000 --> 00:02:58.000]  其實耶穌什麼人都不會拒絕
[00:02:58.000 --> 00:03:00.000]  你請他吃飯他就會來
[00:03:00.000 --> 00:03:06.000]  所以耶穌不單止跟一些罪人、瑞利做朋友
[00:03:06.000 --> 00:03:08.000]  法利塞人也一樣做朋友
[00:03:08.000 --> 00:03:12.000]  在耶穌的界線上沒有特別分別
[00:03:12.000 --> 00:03:15.000]  所以法利塞人請他吃飯他就去
[00:03:15.000 --> 00:03:18.000]  在經文裡面我們看到有一個女人
[00:03:18.000 --> 00:03:21.000]  這個女人為什麼要特別提呢?
[00:03:21.000 --> 00:03:23.000]  因為她是一個罪人
[00:03:23.000 --> 00:03:27.000]  全城公認她是一個罪人
[00:03:27.000 --> 00:03:30.000]  當時來說什麼叫做罪人呢?
[00:03:30.000 --> 00:03:33.000]  我們可以想像,有些聖經學者都說
[00:03:33.000 --> 00:03:36.000]  當然不是打家劫舍
[00:03:36.000 --> 00:03:38.000]  很多聖經學者都說
[00:03:38.000 --> 00:03:40.000]  可能就是一個妓女
[00:03:40.000 --> 00:03:46.000]  她是要靠賣淫為生的
[00:03:46.000 --> 00:03:52.000]  一個被社會看不起的妓女
[00:03:52.000 --> 00:03:55.000]  甚至可能她自己都看不起自己
[00:03:55.000 --> 00:04:01.000]  主傳道有機會接觸過一些妓女的姐妹
[00:04:01.000 --> 00:04:03.000]  已經悔改了
[00:04:03.000 --> 00:04:13.000]  在她們的生命裡面有時候自己都看不到自己的價值在哪裡
[00:04:13.000 --> 00:04:16.000]  當她未信主之前
[00:04:16.000 --> 00:04:24.000]  所以這個女人被公認是一個罪人
[00:04:24.000 --> 00:04:26.000]  她自己都知道
[00:04:26.000 --> 00:04:28.000]  她知道耶穌在那裡
[00:04:28.000 --> 00:04:30.000]  但是法利塞人有沒有請她呢?
[00:04:30.000 --> 00:04:33.000]  法利塞人沒有請她
[00:04:33.000 --> 00:04:35.000]  所以她是不請自來的
[00:04:35.000 --> 00:04:37.000]  她是不請自來的
[00:04:37.000 --> 00:04:39.000]  她要厚著臉皮
[00:04:39.000 --> 00:04:40.000]  人家沒有請的
[00:04:40.000 --> 00:04:42.000]  人家沒有請你,你會不會去吃飯呢?
[00:04:42.000 --> 00:04:44.000]  當然不會
[00:04:44.000 --> 00:04:45.000]  沒有請的
