
[00:00:00.000 --> 00:00:04.200]  我們一起讀一節聖經,在真言第十章第二十二節,
[00:00:04.200 --> 00:00:07.140]  只有一節的聖經,我們一同來念,來。
[00:00:07.140 --> 00:00:11.520]  耶和華所賜的福,使人富足,並不加上憂慮。
[00:00:11.520 --> 00:00:12.840]  再讀一遍,來。
[00:00:12.840 --> 00:00:18.280]  耶和華所賜的福,使人富足,並不加上憂慮。
[00:00:18.280 --> 00:00:21.440]  今天是進入農曆新年的大年初六,
[00:00:21.440 --> 00:00:25.600]  所以在這裡首先恭賀大家新春快樂,日日蒙福。
[00:00:25.600 --> 00:00:31.260]  你們,你知道中國人一向是很看重這個祝福的,
[00:00:31.260 --> 00:00:34.460]  所以在新年的時候家家戶戶都要掛春年,
[00:00:34.460 --> 00:00:38.040]  就是盼望祝福能夠臨到自己的家。
[00:00:38.040 --> 00:00:41.000]  在家裡面也喜歡貼滿了福字,
[00:00:41.000 --> 00:00:45.600]  不但正的貼,道的貼,就是希望祝福臨到。
[00:00:45.600 --> 00:00:50.320]  那在拜年的時候,我們也常常喜歡彼此說一些吉祥話,
[00:00:50.320 --> 00:00:53.080]  恭喜發財,年年有餘。
[00:00:53.080 --> 00:00:57.000]  到虎年的時候,虎虎生威,如虎添翼。
[00:00:57.000 --> 00:01:01.120]  但到底什麼是真正的祝福呢?
[00:01:01.120 --> 00:01:07.560]  我們看見人的祝福都是很表面,而且並不真實。
[00:01:07.560 --> 00:01:14.040]  在我們一生當中,唯有神的祝福才是我們一生的至寶。
[00:01:14.040 --> 00:01:18.840]  唯有神的祝福才是我們一生的至寶。
[00:01:18.840 --> 00:01:26.720]  真言第十章二十二節說,夜娃所賜的福是叫人富足而且不加上憂慮。
[00:01:26.720 --> 00:01:34.000]  哇,多麼美好的祝福,叫我們富足而且不加上憂慮。
[00:01:34.000 --> 00:01:38.600]  那你說我們怎麼樣才能夠得到神所賜的祝福呢?
[00:01:38.600 --> 00:01:44.160]  今天早上從三方面跟大家分享領受神祝福的秘訣。
[00:01:44.160 --> 00:01:51.200]  首先第一個,你要看中神的同在,跟你們要看中神的同在。
[00:01:51.200 --> 00:01:55.600]  可能你會覺得很奇怪,為什麼我要說看中神的同在呢?
[00:01:55.600 --> 00:01:59.600]  神的同在與神的祝福有什麼關係呢?
[00:01:59.600 --> 00:02:02.040]  其實大有關係的。
[00:02:02.040 --> 00:02:06.160]  兩節的聖經我們來看,創世紀第三十九章第二節這裡說,
[00:02:06.160 --> 00:02:09.360]  約瑟住在他主人埃及人的家中,
[00:02:09.360 --> 00:02:14.320]  耶和華與他同在,他就怎麼樣?百事順利。
[00:02:14.320 --> 00:02:19.720]  第二十三節這裡說,凡在約瑟手下的事,私欲一概不可查。
[00:02:19.720 --> 00:02:24.480]  因為耶和華與約瑟同在,耶和華使他所做的怎麼樣?
[00:02:24.480 --> 00:02:26.640]  盡都順利。
[00:02:26.640 --> 00:02:30.760]  在聖經中我們真的看見約瑟是一個蒙福的人,
[00:02:30.760 --> 00:02:35.040]  我們看見神使他手中所做的事情盡都順利,
