
[00:00:00.000 --> 00:00:06.000]  好,大家平安,非常開心能夠來到你們當中。
[00:00:06.000 --> 00:00:17.000]  也知道來到靈良堂,你們靈良堂的全名叫做世界靈良佈道會是嗎?
[00:00:17.000 --> 00:00:21.500]  是,我們的全名,宗派就是世界靈良佈道會。
[00:00:21.500 --> 00:00:31.000]  這個英文很厲害,叫做Worldwide Evangelistic Mission,對不對?
[00:00:31.000 --> 00:00:36.000]  就是全世界靈良的宣教、猜拳、佈道。
[00:00:36.000 --> 00:00:42.500]  這是很棒的,因為我們講到Worldwide,好像我們覺得很驕傲,其實不是的。
[00:00:42.500 --> 00:00:47.000]  其實當我們講到全世界,我們覺得很宏大很驕傲,但其實不是的。
[00:00:47.000 --> 00:00:55.000]  其實不是驕傲的,只是上帝給每一個基督徒跟每一間教會都要Worldwide。
[00:00:55.000 --> 00:00:59.500]  其實是上帝給每一個教會、每一個基督徒,我們都應該胸懷普世。
[00:00:59.500 --> 00:01:04.500]  因為上帝在創造亞當夏娃的時候,就把整個世界交給他們管理。
[00:01:04.500 --> 00:01:09.500]  因為當上帝創造了亞當夏娃的時候,就將整個世界交給他們管理。
[00:01:09.500 --> 00:01:12.500]  只有一、兩個人的時候就要看全世界。
[00:01:12.500 --> 00:01:15.000]  只有兩個人的時候已經看見全世界。
[00:01:15.000 --> 00:01:20.000]  所以世界應該放在每一個上帝所創造、拯救的人心中。
[00:01:20.000 --> 00:01:24.000]  所以整個世界應該放在每一個神創造和拯救的人心中。
[00:01:24.000 --> 00:01:30.000]  縱然我們很小,縱然我們很少,但是我們有神的心。
[00:01:30.000 --> 00:01:31.500]  但是我們有神的心。
[00:01:31.500 --> 00:01:34.500]  Worldwide是我們上帝給我們的意象。
[00:01:34.500 --> 00:01:37.000]  就是全世界都是神給我們的意象。
[00:01:37.000 --> 00:01:39.500]  那意象要看什麼呢?
[00:01:39.500 --> 00:01:41.500]  究竟神要我們看到什麼呢?
[00:01:41.500 --> 00:01:48.500]  政治家要看整個的政客要看全世界他怎麼樣得到更多的權利。
[00:01:48.500 --> 00:01:52.000]  政客看全世界就是他要想想怎樣得到更多的權利。
[00:01:52.000 --> 00:01:55.500]  商人要看全世界得到更多的經濟利益。
