
[00:00:00.000 --> 00:00:04.480]  今年的連題是「走出去傳遞愛 活出來見正神」
[00:00:04.480 --> 00:00:10.880]  盼望透過哥倫多前書第九章今天的訊息
[00:00:10.880 --> 00:00:14.360]  可以讓我們跟思想怎樣走出去傳遞愛
[00:00:14.360 --> 00:00:16.360]  我們一起禱告
[00:00:16.360 --> 00:00:18.360]  親愛的父神我們感謝祢
[00:00:18.360 --> 00:00:20.360]  多謝祢給我們有祢的說話
[00:00:20.360 --> 00:00:26.920]  亦都很感謝神給我們有主內一家的連繫
[00:00:26.920 --> 00:00:29.320]  求因主祝福保守我們
[00:00:29.320 --> 00:00:31.320]  讓我們透過祢的說話
[00:00:31.320 --> 00:00:33.320]  彼此的激勵
[00:00:33.320 --> 00:00:35.320]  在祢的愛裏
[00:00:35.320 --> 00:00:38.520]  能夠活出這份真正的自由
[00:00:38.520 --> 00:00:41.720]  我們這樣禱告 奉主耶穌基督的聖名自祈求
[00:00:41.720 --> 00:00:43.720]  阿們
[00:00:43.720 --> 00:00:46.720]  在香港基督教對微信的朋友來說
[00:00:46.720 --> 00:00:50.120]  除了給我們有兩天的假期
[00:00:50.120 --> 00:00:53.120]  讓我們可以放鬆一下之外
[00:00:53.120 --> 00:00:56.320]  有人說基督教給人的印象一點都不輕鬆
[00:00:56.320 --> 00:01:00.320]  就好像在頭影片看到孫悟空的緊箍咒
[00:01:00.320 --> 00:01:02.320]  是沒有自由的
[00:01:02.320 --> 00:01:04.320]  很多規矩的
[00:01:04.320 --> 00:01:06.320]  又要回教會
[00:01:06.320 --> 00:01:08.320]  又要服侍
[00:01:08.320 --> 00:01:10.320]  又要奉獻
[00:01:10.320 --> 00:01:12.320]  綁手綁腳
[00:01:12.320 --> 00:01:15.320]  我不知道大家認識一些微信的朋友
[00:01:15.320 --> 00:01:17.320]  知道你是基督徒的時候
[00:01:17.320 --> 00:01:19.320]  他們會抱著什麼樣的眼光看著你
[00:01:19.320 --> 00:01:21.320]  會不會是同情的眼光
[00:01:21.320 --> 00:01:23.320]  哎呀 真是淒涼 你信了耶穌
[00:01:23.320 --> 00:01:25.320]  這麼看不開
[00:01:25.320 --> 00:01:27.320]  但是不過這樣
[00:01:27.320 --> 00:01:31.320]  很特別的是基督教又給人一種釋放的感覺
[00:01:31.320 --> 00:01:33.320]  脫離枷鎖
[00:01:33.320 --> 00:01:35.320]  有趣的是福音解讀
[00:01:35.320 --> 00:01:37.320]  福音解禱
[00:01:37.320 --> 00:01:39.320]  這些力量是很浩大的
[00:01:39.320 --> 00:01:41.320]  福音帶給人釋放的能量
[00:01:41.320 --> 00:01:43.320]  福音解讀在現時來說
[00:01:43.320 --> 00:01:47.320]  可以說是最有效的解讀方法
[00:01:47.320 --> 00:01:49.320]  比起沒有宗教
[00:01:49.320 --> 00:01:51.320]  甚至其他的宗教
[00:01:51.320 --> 00:01:53.320]  更加具威力
[00:01:53.320 --> 00:01:57.320]  上面我看到有其他宗教的學者
[00:01:57.320 --> 00:01:59.320]  居然是其他宗教的學者
[00:01:59.320 --> 00:02:01.320]  在問一個問題
[00:02:01.320 --> 00:02:03.320]  研究為什麼基督教這麼大的威力
[00:02:03.320 --> 00:02:07.320]  我就想你回來教會就知道了
[00:02:07.320 --> 00:02:11.320]  原來福音的解讀
[00:02:11.320 --> 00:02:13.320]  可以讓人認識福音
[00:02:13.320 --> 00:02:17.320]  而福音帶來對罪人的接納
[00:02:17.320 --> 00:02:19.320]  讓人脫離毒癮 捆綁
[00:02:19.320 --> 00:02:21.320]  有真正的自由
[00:02:21.320 --> 00:02:23.320]  今天的經文臨前第九章
[00:02:23.320 --> 00:02:25.320]  本來是告訴我們
[00:02:25.320 --> 00:02:29.320]  如何活出耶穌的真自由
[00:02:29.320 --> 00:02:31.320]  在臨前第九章第一節
[00:02:31.320 --> 00:02:35.320]  本來一句反問
[00:02:35.320 --> 00:02:37.320]  「我不是自由的嗎?」
[00:02:37.320 --> 00:02:41.320]  講出他是自由的
[00:02:41.320 --> 00:02:43.320]  第一至十四節
[00:02:43.320 --> 00:02:45.320]  提到神派他去傳福音
[00:02:45.320 --> 00:02:47.320]  他有自由結婚
[00:02:47.320 --> 00:02:49.320]  有自由收入
[00:02:49.320 --> 00:02:51.320]  有人供養他的生活所需
[00:02:51.320 --> 00:02:53.320]  讓他可以專心去傳福音
[00:02:53.320 --> 00:02:55.320]  在第四和第五節
[00:02:55.320 --> 00:02:57.320]  保羅提出兩個反問
[00:02:57.320 --> 00:03:01.320]  難道我無權靠傳福音有收入嗎?
[00:03:01.320 --> 00:03:03.320]  難道我無權結婚嗎?
[00:03:03.320 --> 00:03:07.320]  保羅帶出他有權有自由
[00:03:07.320 --> 00:03:09.320]  其實這一點可以推遠一點
[00:03:09.320 --> 00:03:13.320]  每一個人不只是神交托職務的人
[00:03:13.320 --> 00:03:15.320]  不只是仕途
[00:03:15.320 --> 00:03:17.320]  不只是傳道人 牧者
[00:03:17.320 --> 00:03:21.320]  其實每一個人都可以享受神的創造
[00:03:21.320 --> 00:03:25.320]  正正是因為保羅知道這一切都是好東西
[00:03:25.320 --> 00:03:29.320]  只要懷著感恩的心就可以去享受
[00:03:29.320 --> 00:03:33.320]  另一個地方有人不讓人結婚
[00:03:33.320 --> 00:03:37.320]  另一個書卷要人禁戒飲食
[00:03:37.320 --> 00:03:41.320]  保羅在提摩太前書裏說
[00:03:41.320 --> 00:03:43.320]  凡神所做的物都是好的
[00:03:43.320 --> 00:03:47.320]  若感謝著領受就無一樣可棄
[00:03:47.320 --> 00:03:49.320]  能夠享受神的祝福
[00:03:49.320 --> 00:03:53.320]  去結婚有收入 有吃喝 有生活
[00:03:53.320 --> 00:03:55.320]  令我們有滿足
[00:03:55.320 --> 00:03:57.320]  其實不用覺得不好意思
[00:03:57.320 --> 00:03:59.320]  試想像一下
[00:03:59.320 --> 00:04:03.320]  你去吃自助餐 吃放題
[00:04:03.320 --> 00:04:07.320]  你有沒有見到有人一邊吃一邊唉聲嘆氣
[00:04:07.320 --> 00:04:13.320]  唉呀 醉過了 唉呀 折墮了 唉呀 浪費了
[00:04:13.320 --> 00:04:15.320]  我想說的是
[00:04:15.320 --> 00:04:19.320]  不需要這樣想
