
[00:00:00.000 --> 00:00:04.000]  今天到《約書》第十八章和第十九章
[00:00:04.000 --> 00:00:07.000]  當我們自己去思考這兩章聖經
[00:00:07.000 --> 00:00:09.000]  我們一定要看回一點背景
[00:00:09.000 --> 00:00:11.000]  在過去不同的童工說
[00:00:11.000 --> 00:00:15.000]  由十四章開始一直到十九章
[00:00:15.000 --> 00:00:21.000]  其實是在說當以色列百姓得到應許之地之後
[00:00:21.000 --> 00:00:23.000]  透過不同的戰爭
[00:00:23.000 --> 00:00:27.000]  他們能夠擁有了整個上帝給他們的地土之後
[00:00:27.000 --> 00:00:29.000]  他們開始分地
[00:00:29.000 --> 00:00:32.000]  在十四章開始一直到第十九章
[00:00:32.000 --> 00:00:35.000]  可以說去分十一個支派
[00:00:35.000 --> 00:00:41.000]  能夠在哪個地方來定他們自己的土地
[00:00:41.000 --> 00:00:43.000]  有時候我都會問我自己
[00:00:43.000 --> 00:00:46.000]  上帝為什麼這麼細微地
[00:00:46.000 --> 00:00:49.000]  去將整個分地的過程
[00:00:49.000 --> 00:00:53.000]  用了十四、十五、十六、十七、十八、十九
[00:00:53.000 --> 00:00:56.000]  六章聖經來去描述
[00:00:56.000 --> 00:01:00.000]  或者整個過程寫出來
[00:01:00.000 --> 00:01:03.000]  而去到二十章就會說到有些屠城
[00:01:03.000 --> 00:01:06.000]  屠城等其他的童工去說
[00:01:06.000 --> 00:01:10.000]  二十一章就說到利美這個支派
[00:01:10.000 --> 00:01:13.000]  是所謂祭司的一個支派
[00:01:13.000 --> 00:01:15.000]  他們是沒有地土的
[00:01:15.000 --> 00:01:18.000]  而是其他的支派撥出一些地方
[00:01:18.000 --> 00:01:22.000]  一些城市給利美人
[00:01:22.000 --> 00:01:24.000]  所以有時候我都會想
[00:01:24.000 --> 00:01:27.000]  聖經裡面有很多這些很細微的描述
[00:01:27.000 --> 00:01:31.000]  甚至一些憲制的描述也是很細微
[00:01:31.000 --> 00:01:34.000]  甚至如果看回蓮王記上下
[00:01:34.000 --> 00:01:37.000]  很多的名字、很多的家譜
[00:01:37.000 --> 00:01:39.000]  甚至去到福音書裡面
[00:01:39.000 --> 00:01:41.000]  很多的重複
[00:01:41.000 --> 00:01:44.000]  為什麼馬太講了、馬開又講、路加又講呢
[00:01:44.000 --> 00:01:46.000]  唯一約翰比較好
[00:01:46.000 --> 00:01:49.000]  是比較沒有去重複某些的訊息
[00:01:49.000 --> 00:01:50.000]  有時候我都會想
[00:01:50.000 --> 00:01:52.000]  上帝為什麼這麼沉氣呢
[00:01:52.000 --> 00:01:54.000]  甚至一些名字
[00:01:54.000 --> 00:01:56.000]  你和我看著聖經都不懂讀名字
[00:01:56.000 --> 00:01:58.000]  怎麼會記呢
[00:01:58.000 --> 00:01:59.000]  甚至一些名字
[00:01:59.000 --> 00:02:01.000]  七個字、八個字怎麼記呢
[00:02:01.000 --> 00:02:04.000]  今天記三個中文名字已經很難記了
[00:02:04.000 --> 00:02:06.000]  哇!七個、八個字
[00:02:06.000 --> 00:02:07.000]  有時候都會想
[00:02:07.000 --> 00:02:10.000]  上帝會不會沉氣一點呢
[00:02:10.000 --> 00:02:13.000]  如果將這些全部沒有了
[00:02:13.000 --> 00:02:15.000]  簡化它
[00:02:15.000 --> 00:02:17.000]  哇!今天你和我都很開心
[00:02:17.000 --> 00:02:20.000]  因為很快讀完聖經一次
[00:02:20.000 --> 00:02:22.000]  就沒有了很多的篇幅
[00:02:22.000 --> 00:02:24.000]  但是上帝不是這樣做
[00:02:24.000 --> 00:02:28.000]  上帝卻將很細微的東西都放在聖經裡面
[00:02:28.000 --> 00:02:31.000]  你知道今天你和我一定要問一個問題
[00:02:31.000 --> 00:02:32.000]  為什麼
[00:02:32.000 --> 00:02:35.000]  究竟今天分地
[00:02:35.000 --> 00:02:38.000]  去到最後那兩章分地
[00:02:38.000 --> 00:02:41.000]  提到有七個支派去分地
[00:02:41.000 --> 00:02:44.000]  而為什麼又要換了一個地方去分地
[00:02:44.000 --> 00:02:45.000]  為什麼呢
[00:02:45.000 --> 00:02:46.000]  因為頭的部分
[00:02:46.000 --> 00:02:48.000]  如果看回地圖
[00:02:48.000 --> 00:02:51.000]  原本是吉格
[00:02:51.000 --> 00:02:53.000]  然後第二就是去到侍羅
[00:02:53.000 --> 00:02:55.000]  而今天我們就會去到
[00:02:55.000 --> 00:02:58.000]  看侍羅在這個地方
[00:02:58.000 --> 00:03:04.000]  開始分其他的七個支派的過程
[00:03:04.000 --> 00:03:06.000]  當然
[00:03:06.000 --> 00:03:08.000]  我相信童工都講過
[00:03:08.000 --> 00:03:11.000]  在分地裡面其實有一些原則
[00:03:11.000 --> 00:03:14.000]  這個原則是上帝的主權之下
[00:03:14.000 --> 00:03:16.000]  他說有一些原則
[00:03:16.000 --> 00:03:19.000]  雖然有些字我們都很難讀
[00:03:19.000 --> 00:03:21.000]  原來第一個原則就是
[00:03:21.000 --> 00:03:22.000]  約書亞就說
[00:03:22.000 --> 00:03:26.000]  我都會沾溝這個字
[00:03:26.000 --> 00:03:27.000]  都很難讀
[00:03:27.000 --> 00:03:30.000]  每個童工都要找Google
[00:03:30.000 --> 00:03:32.000]  究竟怎麼讀這個字
[00:03:32.000 --> 00:03:34.000]  但是用今天來講
[00:03:34.000 --> 00:03:35.000]  可能都說抽籤
[00:03:35.000 --> 00:03:37.000]  有一個抽籤的儀式
[00:03:37.000 --> 00:03:38.000]  第二
[00:03:38.000 --> 00:03:41.000]  你都是按照支派的人數的多寡多少
[00:03:41.000 --> 00:03:44.000]  來分地大或者地小
[00:03:44.000 --> 00:03:47.000]  第三也可能會分不同的支派
[00:03:47.000 --> 00:03:48.000]  他們的地位
[00:03:48.000 --> 00:03:49.000]  當然
[00:03:49.000 --> 00:03:50.000]  你說都很像上帝
[00:03:50.000 --> 00:03:53.000]  有些分地位的高低
[00:03:53.000 --> 00:03:55.000]  但的而且確是有他的原因
[00:03:55.000 --> 00:03:56.000]  以至到
[00:03:56.000 --> 00:03:58.000]  如果我們仔細去看
[00:03:58.000 --> 00:04:00.000]  十八章到十九章的時候
[00:04:00.000 --> 00:04:02.000]  我們看到
[00:04:02.000 --> 00:04:03.000]  別亞敏
[00:04:03.000 --> 00:04:04.000]  西冕
[00:04:04.000 --> 00:04:05.000]  西部雲
[00:04:05.000 --> 00:04:06.000]  以撒加
[00:04:06.000 --> 00:04:07.000]  阿切
[00:04:07.000 --> 00:04:08.000]  南伐他
[00:04:08.000 --> 00:04:09.000]  和澹
[00:04:09.000 --> 00:04:10.000]  這七個支派
[00:04:10.000 --> 00:04:11.000]  在不同的地方
[00:04:11.000 --> 00:04:12.000]  如果看回我的地圖
[00:04:12.000 --> 00:04:14.000]  有的西冕
[00:04:14.000 --> 00:04:15.000]  別亞敏
[00:04:15.000 --> 00:04:16.000]  和一大堆
[00:04:16.000 --> 00:04:17.000]  這裡有五個
[00:04:17.000 --> 00:04:18.000]  而澹
[00:04:18.000 --> 00:04:19.000]  是去到很有趣的
[00:04:19.000 --> 00:04:21.000]  是很小的地方
[00:04:21.000 --> 00:04:22.000]  原因
[00:04:22.000 --> 00:04:24.000]  上帝有他的原因
[00:04:24.000 --> 00:04:25.000]  如果我們仔細看
[00:04:25.000 --> 00:04:28.000]  西冕和利美
[00:04:28.000 --> 00:04:29.000]  其實某一個情況
[00:04:29.000 --> 00:04:30.000]  他們沒有地土
[00:04:30.000 --> 00:04:31.000]  為什麼
[00:04:31.000 --> 00:04:32.000]  因為西冕
[00:04:32.000 --> 00:04:34.000]  如果看回聖經的描述
[00:04:34.000 --> 00:04:38.000]  他是得一些的城市
[00:04:38.000 --> 00:04:40.000]  和一些的村莊
[00:04:40.000 --> 00:04:42.000]  他們是在
[00:04:42.000 --> 00:04:45.000]  由大廢大地裡面的一分
[00:04:45.000 --> 00:04:46.000]  是給了他
[00:04:46.000 --> 00:04:47.000]  而利美
[00:04:47.000 --> 00:04:48.000]  剛才說過
[00:04:48.000 --> 00:04:49.000]  去到也一章
[00:04:49.000 --> 00:04:51.000]  大家會詳細去知道
[00:04:51.000 --> 00:04:54.000]  他是沒有自己一個地土
[00:04:54.000 --> 00:04:55.000]  原來
[00:04:55.000 --> 00:04:56.000]  如果看回創世紀
[00:04:56.000 --> 00:04:57.000]  第四十九章
[00:04:57.000 --> 00:04:58.000]  第五節
[00:04:58.000 --> 00:04:59.000]  到第七節
[00:04:59.000 --> 00:05:00.000]  原來西冕
[00:05:00.000 --> 00:05:01.000]  和利美是弟兄
