
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,平安!復活節快樂!
[00:00:06.000 --> 00:00:11.000]  剛才主席讀出的經文是關乎耶穌復活的
[00:00:11.000 --> 00:00:18.000]  也是《路加福音》獨有
[00:00:18.000 --> 00:00:25.000]  就是只有《路加福音》記載了婦人來到耶穌的墳墓
[00:00:29.000 --> 00:00:34.000]  記載了兩個人的出現
[00:00:34.000 --> 00:00:36.000]  衣服發光
[00:00:36.000 --> 00:00:38.000]  相信他們是天使
[00:00:38.000 --> 00:00:41.000]  就跟婦人這樣說
[00:00:41.000 --> 00:00:44.000]  她不在這裡
[00:00:44.000 --> 00:00:47.000]  有時候,如果我們去理解這段經文的時候
[00:00:47.000 --> 00:00:51.000]  我們就必須要去掌握當中的處境
[00:00:55.000 --> 00:01:00.000]  今天訊息的主題就是黑暗中的盼望
[00:01:00.000 --> 00:01:06.000]  黑暗就是黑暗
[00:01:06.000 --> 00:01:09.000]  每一天都有
[00:01:09.000 --> 00:01:14.000]  你會發覺每天都有白晝和黑夜
[00:01:14.000 --> 00:01:19.000]  我不知道你怕不怕黑
[00:01:19.000 --> 00:01:23.000]  我很記得我小時候
[00:01:23.000 --> 00:01:27.000]  大概是八歲或者十歲的時候
[00:01:27.000 --> 00:01:29.000]  我很怕黑
[00:01:29.000 --> 00:01:32.000]  當時在我的年代
[00:01:32.000 --> 00:01:36.000]  就很流行一些中式殭屍片的電影
[00:01:36.000 --> 00:01:44.000]  就是那些兩隻手伸直彈彈彈那些
[00:01:44.000 --> 00:01:50.000]  如果你有看過其中一套叫做《殭屍先生》
[00:01:54.000 --> 00:01:58.000]  家人想看,我就被迫一起看
[00:01:58.000 --> 00:02:03.000]  說真的,看完真的睡不著
[00:02:03.000 --> 00:02:08.000]  在床上關了燈
[00:02:08.000 --> 00:02:11.000]  為什麼這麼黑?
[00:02:11.000 --> 00:02:14.000]  閉上眼睛當然是黑的
[00:02:14.000 --> 00:02:17.000]  睜大眼睛看一看,更黑
[00:02:17.000 --> 00:02:20.000]  更恐怖
[00:02:20.000 --> 00:02:24.000]  而我很記得這種電影裡面有一個橋段
[00:02:24.000 --> 00:02:30.000]  就是如果你一呼吸
[00:02:30.000 --> 00:02:34.000]  殭屍就會知道你在哪裡
[00:02:34.000 --> 00:02:38.000]  很快就會彈彈彈彈到你面前
[00:02:38.000 --> 00:02:42.000]  聽起來是不是很好笑?
[00:02:42.000 --> 00:02:45.000]  我那時候還是一個小朋友
[00:02:45.000 --> 00:02:48.000]  在床上驚起來
[00:02:48.000 --> 00:02:51.000]  當然是不要呼吸
