
[00:00:00.000 --> 00:00:04.040]  非常辛苦,讓我們聽道義心,讓我們同心同佛,讓我們同心道各
[00:00:04.040 --> 00:00:12.780]  向天父感謝祢給我們,能夠再次打開祢的說話,以體來到學習
[00:00:12.780 --> 00:00:17.620]  讓我們再次在祢跟前,懇求
[00:00:17.620 --> 00:00:23.580]  祢更降在我們每一個處理的人的生命裏面的心靈
[00:00:23.580 --> 00:00:26.740]  再次喚醒我們的心
[00:00:27.120 --> 00:00:30.960]  考試我們能夠完完全全接受祢的說話
[00:00:30.960 --> 00:00:34.760]  從祢生命的這部份來幫助
[00:00:34.760 --> 00:00:39.700]  我們再次感謝祢給我們,再次有這個學習主導的時間
[00:00:39.700 --> 00:00:46.420]  讓祢住在我們每一個屬祢的人裏面的生命,再次喚醒我們的生命
[00:00:46.420 --> 00:00:51.120]  保佑我們能夠真正將祢的說話藏在心裏
[00:00:51.120 --> 00:00:53.620]  並且接受成為我們生命的部份
[00:00:53.800 --> 00:00:58.960]  去處理這些動作,祈福我們屬於祂的福性的名字,阿彌陀佛
[00:01:23.800 --> 00:01:27.940]  今天我希望和大家一齊看這段聖經
[00:01:27.940 --> 00:01:30.120]  有兩個目的
[00:01:30.120 --> 00:01:35.560]  第一個目的,就是希望幫助大家從一個錯誤走出來
[00:01:35.560 --> 00:01:40.060]  但又有一個目的,就是希望幫助大家從一個錯誤走出來
[00:01:40.060 --> 00:01:43.040]  就是希望幫助大家從一個錯誤走出來
[00:01:43.040 --> 00:01:45.220]  希望幫助大家從一個錯誤走出來
[00:01:45.220 --> 00:01:48.160]  希望幫助大家從一個錯誤走出來
[00:01:48.160 --> 00:01:50.820]  希望幫助大家從一個錯誤走出來
[00:01:51.060 --> 00:01:53.840]  希望幫助大家從一個錯誤走出來
[00:01:53.840 --> 00:02:02.920]  第二,就是想和大家學習如何帶著一個什麼樣的士氣去學習我們神的說話
[00:02:02.920 --> 00:02:07.340]  第二,就是要用一個什麼樣的士氣來學習這段神的話
[00:02:07.340 --> 00:02:10.740]  首先,我們去糾正,看看我們如何看錯這段聖經
[00:02:10.740 --> 00:02:16.160]  首先,讓我們看怎樣看錯這段聖經
[00:02:16.400 --> 00:02:24.880]  很多人以為信了耶穌之後,就直接進入天堂
[00:02:24.880 --> 00:02:29.120]  因為我們對聖經不太熟悉
[00:02:29.120 --> 00:02:33.120]  我們聽了一些,但沒有聽一些
[00:02:33.120 --> 00:02:42.340]  所以我們甚至以為神會為我們預備一切天國的美好的事情
[00:02:42.560 --> 00:02:48.360]  然後,就會插上十人大花條來接我們進入天堂去享福
[00:02:48.360 --> 00:02:58.400]  然後,可能就會插派遣那個詩人的花轎來接我們去天堂
[00:02:58.400 --> 00:03:01.760]  好像太子登基一樣
[00:03:01.760 --> 00:03:03.960]  就好像太子登基一樣
[00:03:03.960 --> 00:03:07.260]  神捧我們進入天堂做祂的太子
[00:03:07.260 --> 00:03:10.160]  神捧我們進入天堂做祂的太子
[00:03:10.160 --> 00:03:12.360]  為什麼有這麼多這樣的誤解呢?
