
[00:00:00.000 --> 00:00:03.640]  首先我都係好想問候下大家
[00:00:03.640 --> 00:00:05.640]  大家都平安嘛
[00:00:05.640 --> 00:00:06.960]  我相信都好難
[00:00:06.960 --> 00:00:09.120]  即係好難好複雜嘅心情
[00:00:09.120 --> 00:00:11.600]  喺過去嘅兩個晚上
[00:00:11.600 --> 00:00:14.920]  但我深信神嘅恩典去好救我哋庸
[00:00:14.920 --> 00:00:17.440]  好想分享我自己一個好個人嘅經歷
[00:00:17.440 --> 00:00:20.680]  當特別係星期五晚
[00:00:20.680 --> 00:00:24.880]  去我睇到我哋社會所發生嘅情況
[00:00:24.880 --> 00:00:27.680]  睇住電視睇住手機
[00:00:27.680 --> 00:00:32.480]  又唔知道外面有未返到屋企嘅家人朋友嘅情況點嘅時候
[00:00:32.480 --> 00:00:34.080]  個心裏面好複雜
[00:00:34.080 --> 00:00:35.360]  好傷痛
[00:00:35.360 --> 00:00:37.920]  亦都真係好難過
[00:00:37.920 --> 00:00:39.640]  但係神好好呀
[00:00:39.640 --> 00:00:41.160]  佢就係好特別嘅
[00:00:41.160 --> 00:00:43.320]  就係當我去同佢祈禱嘅時候
[00:00:43.320 --> 00:00:45.360]  神畀咗一首詩歌畀我
[00:00:45.360 --> 00:00:46.440]  一個好特別嘅經歷
[00:00:46.440 --> 00:00:48.720]  我從來以前冇聽過呢首詩歌
[00:00:48.720 --> 00:00:50.320]  但係突然間有幾個字響起
[00:00:50.320 --> 00:00:51.360]  我就上去抄
[00:00:51.360 --> 00:00:53.560]  就係一首歌叫做Stand By Me
[00:00:53.560 --> 00:00:54.920]  但係唔好誤會喎
[00:00:54.920 --> 00:00:57.120]  唔係嗰首咩Darling Darling嗰首喎
[00:00:57.120 --> 00:00:59.360]  係一首好古舊嘅詩歌嚟㗎
[00:00:59.360 --> 00:01:00.960]  其實呢我上網睇到呢
[00:01:00.960 --> 00:01:01.960]  有五節㗎
[00:01:01.960 --> 00:01:02.640]  其實要好知
[00:01:02.640 --> 00:01:06.120]  由頭唱到第一節第二節五節唱曬嗰隻詩歌嚟㗎
[00:01:06.120 --> 00:01:10.960]  咁但係我當中呢節錄咗幾個好觸動我嘅內容呢
[00:01:10.960 --> 00:01:12.800]  好想同大家分享呀
[00:01:12.800 --> 00:01:13.640]  Stand By Me
[00:01:13.640 --> 00:01:14.920]  佢話
[00:01:14.920 --> 00:01:19.240]  邊位係嗰個喺我哋人生嘅風浪翻滾嘅時候
[00:01:19.240 --> 00:01:21.600]  同我哋一齊嗰個呢
[00:01:21.600 --> 00:01:25.200]  佢就係嗰個能夠掌管風掌管水
[00:01:25.200 --> 00:01:30.600]  喺我哋嗰個航風暴雨當中掌管嗰位耶穌基督
[00:01:30.600 --> 00:01:33.360]  邊個喺我哋生命裏面嘅困難
[00:01:33.360 --> 00:01:34.960]  喺我哋嘅試煉當中
[00:01:34.960 --> 00:01:38.960]  佢喺我哋身邊喺我哋側邊同我哋一齊嘅呢
[00:01:38.960 --> 00:01:41.840]  就係嗰個永遠都唔會打敗仗
[00:01:41.840 --> 00:01:46.360]  從來未輸過一場仗嗰個嘅耶穌基督
[00:01:46.360 --> 00:01:50.120]  喺我哋人生裏面我哋有過錯
[00:01:50.120 --> 00:01:52.280]  我哋有失敗嘅經驗
[00:01:52.280 --> 00:01:54.800]  但當我哋喺過錯同失敗當中
[00:01:54.800 --> 00:01:57.640]  邊個喺我哋身邊陪伴住我哋呢
[00:01:57.640 --> 00:02:04.080]  就係嗰個最清楚最明白最了解我哋嗰個耶穌基督
[00:02:04.080 --> 00:02:06.080]  然後甚至乎將來有一天
[00:02:06.080 --> 00:02:09.320]  正如聖經裏面講我哋會受到試煉
[00:02:09.320 --> 00:02:10.960]  我哋受到逼迫
[00:02:10.960 --> 00:02:14.040]  邊個喺我哋嘅身邊呢
[00:02:14.040 --> 00:02:17.680]  係嗰位好美麗嘅谷中百合花
[00:02:17.680 --> 00:02:20.880]  耶穌基督常常喺我哋嘅身旁
[00:02:20.880 --> 00:02:24.560]  好特別就係呢首詩歌唔單止係畀咗啲歌詞我
[00:02:24.560 --> 00:02:25.800]  我特別推介你啦
[00:02:25.800 --> 00:02:29.920]  耶穌基督更猜獻咗一個人去服侍咗我
[00:02:29.920 --> 00:02:34.240]  大家如果上網去找呢首Stand By Me嘅YouTube嘅時候呢
[00:02:34.240 --> 00:02:35.760]  記住聽一個版本
[00:02:35.760 --> 00:02:38.480]  係貓王皮禮事理嘅版本
[00:02:38.480 --> 00:02:41.560]  原來貓王都會唱好多福音嘅歌㗎
[00:02:41.560 --> 00:02:43.600]  其中呢一首就係Stand By Me
[00:02:43.600 --> 00:02:45.080]  好想呢個係好特別
[00:02:45.080 --> 00:02:50.600]  我臨時尋日日頭我先至加上去嘅一個嘅分享
