
[00:00:00.000 --> 00:00:02.480]  好 各位親愛的弟兄姊妹 主佑平安
[00:00:02.480 --> 00:00:08.080]  讓我們來今天繼續來看彼得前書
[00:00:08.080 --> 00:00:12.160]  我們已經來到了三章十三節
[00:00:12.160 --> 00:00:14.720]  我們今天會分享到四章六節
[00:00:14.720 --> 00:00:16.080]  我們一同來禱告
[00:00:16.080 --> 00:00:21.600]  父神我們感謝祢
[00:00:21.600 --> 00:00:25.800]  祢願意拆遷祢的愛子來救贖我們
[00:00:25.800 --> 00:00:28.480]  帶領我們這些世上迷途的羔羊
[00:00:28.480 --> 00:00:30.080]  回到祢的羊圈當中
[00:00:30.080 --> 00:00:34.320]  求祢指教我們如何的在這世上為祢度日
[00:00:34.320 --> 00:00:36.080]  見證祢的榮美
[00:00:36.080 --> 00:00:37.840]  也求主祢讓我們知道
[00:00:37.840 --> 00:00:39.440]  我們需要有一個心智
[00:00:39.440 --> 00:00:41.160]  就是為祢受苦的心智
[00:00:41.160 --> 00:00:43.160]  主要求祢與我們同在
[00:00:43.160 --> 00:00:45.440]  講了聽了都求主憐憫保守
[00:00:45.440 --> 00:00:47.240]  禱告放耶穌基督的聖靈
[00:00:47.240 --> 00:00:48.040]  Amen
[00:00:48.040 --> 00:00:53.800]  好 這世界上從歷史到現實
[00:00:53.800 --> 00:00:55.440]  我們都知道有很多的苦難
[00:00:55.440 --> 00:00:58.160]  而我們人生也充滿著各樣的患難
[00:00:59.160 --> 00:01:02.120]  我們想自從我們信主之後
[00:01:02.120 --> 00:01:03.400]  我們應該想一個問題
[00:01:03.400 --> 00:01:05.680]  就是基督徒會不會受苦呢
[00:01:05.680 --> 00:01:09.200]  耶穌在世上他教導他的門徒
[00:01:09.200 --> 00:01:12.320]  關於苦難一共有三個事實
[00:01:12.320 --> 00:01:16.000]  一個事實就是他自己必要受苦
[00:01:16.000 --> 00:01:18.120]  他是那位受苦的僕人
[00:01:18.120 --> 00:01:21.880]  第二個事實就是他受苦是因著別人
[00:01:21.880 --> 00:01:23.560]  被人贖罪
[00:01:23.560 --> 00:01:27.360]  第三個事實就是凡跟隨他的人
[00:01:27.680 --> 00:01:29.160]  也要預備受苦
[00:01:29.160 --> 00:01:33.160]  這三個方面都出現在彼得前書的
[00:01:33.160 --> 00:01:35.200]  第二章21-25節
[00:01:35.200 --> 00:01:38.560]  受苦成為彼得前書
[00:01:38.560 --> 00:01:40.440]  非常重要的一個主題
[00:01:40.440 --> 00:01:43.200]  他在信中在這封信裡面
[00:01:43.200 --> 00:01:45.880]  彼得前書一共出現了12次受苦
[00:01:45.880 --> 00:01:50.160]  而整本的新約一共才出現了42次
[00:01:50.160 --> 00:01:55.080]  新約這個字用在基督的身上
[00:01:55.080 --> 00:01:57.880]  就是指的他受苦以至於死
[00:01:57.880 --> 00:01:59.800]  用在信徒的身上
[00:01:59.800 --> 00:02:03.480]  指他們因為是神的子民而受苦
[00:02:03.480 --> 00:02:07.720]  彼得前書從第二章13節開始
[00:02:07.720 --> 00:02:10.360]  彼得就懇切的來教導
[00:02:10.360 --> 00:02:13.360]  基督徒們要做神的僕人
[00:02:13.360 --> 00:02:18.840]  要為主的緣故來敬畏上帝
[00:02:18.840 --> 00:02:21.920]  以及順從政治制度
[00:02:21.920 --> 00:02:22.600]  社會制度
[00:02:22.600 --> 00:02:23.480]  婚姻制度
[00:02:24.360 --> 00:02:25.760]  要竭力的行善
[00:02:25.760 --> 00:02:28.760]  彼得期待的是
[00:02:28.760 --> 00:02:30.200]  當我們竭力行善的時候
[00:02:30.200 --> 00:02:33.280]  就在很大的程度上會避免逼迫
[00:02:33.280 --> 00:02:36.880]  我們看13節
[00:02:36.880 --> 00:02:39.400]  開始三章13節
[00:02:39.400 --> 00:02:43.000]  到三章的第17節
[00:02:43.000 --> 00:02:45.800]  我們一同來讀三章的第13節
[00:02:45.800 --> 00:02:46.920]  到第17節
[00:02:46.920 --> 00:02:47.640]  豪情
[00:02:47.640 --> 00:02:50.440]  你們若惡心行善
[00:02:50.440 --> 00:02:52.000]  有誰害你們
[00:02:52.720 --> 00:02:54.920]  你們就是為義受苦
[00:02:54.920 --> 00:02:56.520]  也是有福的
[00:02:56.520 --> 00:02:58.800]  不要怕人的威嚇
[00:02:58.800 --> 00:03:00.520]  也不要驚慌
[00:03:00.520 --> 00:03:03.680]  只要心裡尊主基督為聖
[00:03:03.680 --> 00:03:07.240]  有人問你們心中盼望的緣由
[00:03:07.240 --> 00:03:09.480]  就要常做預備
[00:03:09.480 --> 00:03:13.000]  以溫柔欣慰的心回答個人
[00:03:13.000 --> 00:03:15.480]  存著無愧的良心
[00:03:15.480 --> 00:03:18.520]  叫你們在何事上被誹謗
[00:03:18.520 --> 00:03:21.120]  就在何事上可以叫那
[00:03:21.120 --> 00:03:24.840]  污賴你們在基督裡有好品行的人
[00:03:24.840 --> 00:03:26.280]  自覺羞愧
[00:03:26.280 --> 00:03:27.960]  神的旨意
[00:03:27.960 --> 00:03:30.880]  若是叫你們因行善受苦
[00:03:30.880 --> 00:03:33.720]  總強如因行惡受苦
[00:03:33.720 --> 00:03:34.920]  好
[00:03:34.920 --> 00:03:35.880]  就先到這裡
[00:03:35.880 --> 00:03:37.360]  我們會分三個部分
[00:03:37.360 --> 00:03:37.880]  第一個部分
[00:03:37.880 --> 00:03:39.560]  就是這裡的經文
[00:03:39.560 --> 00:03:41.080]  13節到第17節
[00:03:41.080 --> 00:03:43.400]  它實際上教我們有一個受苦的心智
[00:03:43.400 --> 00:03:44.480]  然後後面的經文
[00:03:44.480 --> 00:03:46.560]  就是他舉出了兩大理由
[00:03:46.560 --> 00:03:48.480]  為什麼我們基督徒在世上
