
[00:00:00.000 --> 00:00:02.000]  請主媒平安
[00:00:30.000 --> 00:00:33.200]  提醒讓我再次低頭同心祈禱
[00:00:33.200 --> 00:00:38.320]  請我將心裡多謝你讓我們一起在你面前去敬拜
[00:00:38.320 --> 00:00:41.760]  讓我們在你面前安靜等候你自己
[00:00:41.760 --> 00:00:44.560]  多謝你特別在沒有親子的日子裏面
[00:00:44.560 --> 00:00:47.040]  你給我們有真是很愛惜
[00:00:47.040 --> 00:00:49.040]  我們的媽媽我們感謝你
[00:00:49.040 --> 00:00:52.240]  求你親自報答他們真是養育之恩
[00:00:52.240 --> 00:00:55.840]  你親自施恩幫助他們讓他們都經歷認識你自己
[00:00:55.840 --> 00:00:59.120]  我將整個敬拜獻情給你求你親自的月能
[00:00:59.440 --> 00:01:02.000]  我們仰望著聽我們祈禱奉主耶穌的名及
[00:01:02.000 --> 00:01:02.880]  阿們
[00:01:29.440 --> 00:01:31.440]  講到葡萄樹和枝子的關係
[00:01:31.440 --> 00:01:35.040]  經文簡單地說可以分為兩個段落
[00:01:35.040 --> 00:01:38.080]  頭一至八節講到葡萄樹和枝子的關係
[00:01:38.080 --> 00:01:42.400]  第九到第十七節講到一個有真愛的生命在裏面
[00:01:42.400 --> 00:01:46.080]  開始的時候他說我是真葡萄樹
[00:01:46.080 --> 00:01:50.400]  講到真葡萄樹的時候其實有真有假
[00:01:50.400 --> 00:01:54.800]  其實在聖經裏面用到葡萄樹和葡萄園
[00:01:54.800 --> 00:01:56.800]  經常都用到這些描述
[00:01:57.200 --> 00:01:59.840]  教育聖經裏面在二冊書第五章一至七節
[00:01:59.840 --> 00:02:02.000]  就講到以葡萄園的比喻
[00:02:02.000 --> 00:02:04.480]  去講到耶和華愛的以色列
[00:02:04.480 --> 00:02:06.640]  可惜以色列背道
[00:02:06.640 --> 00:02:08.240]  以致成為了野葡萄
[00:02:08.240 --> 00:02:10.880]  詩篇八十篇第八節就講到
[00:02:10.880 --> 00:02:16.160]  以色列是神從埃及裏面拿出來的一條葡萄樹
[00:02:16.160 --> 00:02:18.240]  結果因為他們的損益
[00:02:18.240 --> 00:02:20.960]  以致遭到神的囚禁
[00:02:20.960 --> 00:02:24.720]  所以在這裏講到葡萄樹的經文
[00:02:24.720 --> 00:02:27.600]  即是過往在教育聖經裏面都有這樣描述
[00:02:27.600 --> 00:02:31.040]  這裏耶穌去強調祂自己是真葡萄樹
[00:02:31.040 --> 00:02:33.040]  很強調是真
[00:02:33.040 --> 00:02:36.880]  在約翰福音裏面亦都時時用真去描述
[00:02:36.880 --> 00:02:41.040]  在約翰福音第四章二十三節講到真正拜父的
[00:02:41.040 --> 00:02:45.440]  在約翰福音第六章三十二節有講到真的娘
[00:02:45.440 --> 00:02:48.480]  在約翰福音第十章裏面講到真的好木人
[00:02:48.480 --> 00:02:49.920]  相對故宮
[00:02:49.920 --> 00:02:51.920]  所以去描述真
[00:02:51.920 --> 00:02:55.040]  亦都時時在裏面這樣去描述
[00:02:55.040 --> 00:02:57.680]  有真自然有假
[00:02:57.680 --> 00:03:02.400]  其實有時我都去過花園街裏面
[00:03:02.400 --> 00:03:04.400]  特別你看到那些花
[00:03:04.400 --> 00:03:07.040]  真花和假花其實有很大的分別
[00:03:07.040 --> 00:03:08.560]  有些是真花
[00:03:08.560 --> 00:03:10.560]  有些是塑膠花
[00:03:10.560 --> 00:03:11.920]  或者是紙花
[00:03:11.920 --> 00:03:15.040]  在裏面你見到有生命和沒有生命的分別
[00:03:15.040 --> 00:03:16.800]  見到它有沒有香味
[00:03:16.800 --> 00:03:21.440]  甚至你見到有沒有蜜蜂在裏面採蜜
[00:03:21.920 --> 00:03:23.920]  所以真和假一分
[00:03:23.920 --> 00:03:26.960]  就很明顯裏面有很大的分別
[00:03:26.960 --> 00:03:31.680]  我記得早段時間在教會樓下
[00:03:31.680 --> 00:03:34.400]  那次剛剛去買
[00:03:34.400 --> 00:03:36.400]  選一間藥房去買
[00:03:36.400 --> 00:03:39.280]  在教會樓下去買的時候
[00:03:39.280 --> 00:03:42.960]  買了一支俄羅納英的雪花膏
[00:03:42.960 --> 00:03:46.560]  我一直都講得很清楚俄羅納英雪花膏
[00:03:46.560 --> 00:03:48.160]  照給錢照買
[00:03:48.160 --> 00:03:50.160]  整個樣子都一模一樣
[00:03:50.160 --> 00:03:52.160]  誰知我回去的時候
[00:03:52.160 --> 00:03:53.040]  我太太和我說
[00:03:53.040 --> 00:03:55.040]  為甚麼你買這支藥膏
[00:03:55.040 --> 00:03:57.600]  我說俄羅納英雪花膏
[00:03:57.600 --> 00:03:59.120]  品牌是
[00:03:59.120 --> 00:04:00.800]  顏色也是
[00:04:00.800 --> 00:04:01.840]  所有東西都是
[00:04:01.840 --> 00:04:02.960]  開出來也是
[00:04:02.960 --> 00:04:04.720]  我太太和我說
[00:04:04.720 --> 00:04:06.000]  你有沒有看清楚
[00:04:06.000 --> 00:04:09.200]  這支是納英雪花膏
[00:04:09.200 --> 00:04:12.480]  這支不是俄羅納英雪花膏
[00:04:12.480 --> 00:04:13.360]  我說不是
[00:04:13.360 --> 00:04:14.400]  看上去都是啡色的
