
[00:00:00.000 --> 00:00:03.760]  這段聖經也說到耶穌基督復活之後
[00:00:03.760 --> 00:00:10.680]  幾個門徒都走到最後的一里路
[00:00:10.680 --> 00:00:14.120]  但又是一個新的一頁的一里路
[00:00:14.120 --> 00:00:15.640]  我想我們也一樣
[00:00:15.640 --> 00:00:17.240]  看完《路加福音》
[00:00:17.240 --> 00:00:18.480]  好像是最後了
[00:00:18.480 --> 00:00:20.720]  又會開新的一頁
[00:00:20.720 --> 00:00:22.960]  我們也要在最後的一頁
[00:00:22.960 --> 00:00:24.560]  看完最後的一頁
[00:00:24.560 --> 00:00:27.080]  又會開新的一頁
[00:00:27.080 --> 00:00:30.960]  好像是最後了 又會開新的一頁
[00:00:30.960 --> 00:00:35.600]  《路加福音》第24章
[00:00:35.600 --> 00:00:44.240]  24至13至15節
[00:00:44.240 --> 00:00:47.800]  找到了嗎 是我沒找到
[00:00:47.800 --> 00:00:49.640]  好 我們一起讀
[00:00:49.640 --> 00:00:51.600]  預備 請
[00:00:51.600 --> 00:00:55.720]  正當那日門徒中有兩個人
[00:00:55.720 --> 00:00:58.000]  往一個村子去
[00:00:58.000 --> 00:01:01.680]  這村子名叫以馬五斯
[00:01:01.680 --> 00:01:05.480]  離耶路撒冷約有二十五里
[00:01:05.480 --> 00:01:10.520]  他們彼此談論所遇見的這一切事
[00:01:10.520 --> 00:01:13.680]  正談論相問的時候
[00:01:13.680 --> 00:01:16.760]  耶穌親自就近他們
[00:01:16.760 --> 00:01:18.880]  和他們同行
[00:01:18.880 --> 00:01:22.400]  只是他們的眼睛迷糊了
[00:01:22.400 --> 00:01:24.400]  不認識他
[00:01:24.400 --> 00:01:26.520]  耶穌對他們說
[00:01:26.520 --> 00:01:31.640]  你們走路彼此談論的是什麼事呢
[00:01:31.640 --> 00:01:33.800]  他們就站著
[00:01:33.800 --> 00:01:36.520]  臉上帶著愁容
[00:01:36.520 --> 00:01:41.840]  二人中有一個名叫甲劉巴的回答說
[00:01:41.840 --> 00:01:44.400]  你在耶路撒冷作客
[00:01:44.400 --> 00:01:49.480]  還不知道這幾天在那裡所出的事嗎
[00:01:49.480 --> 00:01:52.440]  耶穌說 什麼事呢
[00:01:52.440 --> 00:01:56.800]  他們說 就是拿撒勒人耶穌的事
[00:01:56.800 --> 00:01:58.720]  他是個先知
[00:01:58.720 --> 00:02:01.800]  在神和眾百姓面前
[00:02:01.800 --> 00:02:04.920]  說話行事都有大能
[00:02:04.920 --> 00:02:08.040]  祭司長和我們的官府
[00:02:08.040 --> 00:02:10.120]  竟把他解去
[00:02:10.120 --> 00:02:11.680]  定了死罪
[00:02:11.680 --> 00:02:14.160]  釘在十字架上
[00:02:14.160 --> 00:02:17.120]  但我們數來所盼望
[00:02:17.120 --> 00:02:20.720]  要贖以色列民的就是他
[00:02:20.720 --> 00:02:24.600]  不但如此 而且這是成就
[00:02:24.600 --> 00:02:27.400]  現在已經三天了
[00:02:27.400 --> 00:02:33.040]  再者 我們中間有幾個婦女使我們驚奇
[00:02:33.040 --> 00:02:36.520]  她們清早到了墳墓那裡
[00:02:36.520 --> 00:02:38.680]  不見她的身體
[00:02:38.680 --> 00:02:41.200]  就回來告訴我們
[00:02:41.200 --> 00:02:44.840]  說看見了天使顯現
[00:02:44.840 --> 00:02:46.760]  說她活了
[00:02:46.760 --> 00:02:51.520]  又有我們的幾個人往墳墓那裡去
[00:02:51.520 --> 00:02:56.000]  所遇見的正如婦女們所說的
[00:02:56.000 --> 00:02:58.960]  只是沒有看見她
[00:02:58.960 --> 00:03:01.160]  耶穌對她們說
[00:03:01.160 --> 00:03:02.840]  無知的人啊
[00:03:02.840 --> 00:03:05.600]  先知所說的一切話
[00:03:05.600 --> 00:03:09.520]  你們的心信得太遲鈍了
[00:03:09.520 --> 00:03:11.840]  基督這樣受害
[00:03:11.840 --> 00:03:14.360]  又進入她的榮耀
[00:03:14.360 --> 00:03:17.040]  豈不是應當的呢
[00:03:17.040 --> 00:03:21.000]  於是從摩西和眾仙之起
[00:03:21.000 --> 00:03:24.600]  凡經上所指著自己的話
[00:03:24.600 --> 00:03:28.560]  都給她們講解明白了
[00:03:28.560 --> 00:03:31.720]  將近她們所去的村子
[00:03:31.720 --> 00:03:35.360]  耶穌好像還要往前行
[00:03:35.360 --> 00:03:38.360]  她們卻強留她說
[00:03:38.360 --> 00:03:40.000]  時候晚了
[00:03:40.000 --> 00:03:42.680]  日頭已經平息了
[00:03:42.680 --> 00:03:45.920]  請你和我們住下吧
[00:03:45.920 --> 00:03:47.800]  耶穌就進去
[00:03:47.800 --> 00:03:50.480]  要和她們住下
[00:03:50.480 --> 00:03:52.880]  到了坐直的時候
[00:03:52.880 --> 00:03:55.160]  耶穌拿起餅來
[00:03:55.160 --> 00:03:57.680]  捉著了就張開
[00:03:57.680 --> 00:03:59.360]  遞給她們
[00:03:59.360 --> 00:04:02.200]  她們的眼睛明亮了
[00:04:02.200 --> 00:04:04.680]  這才認出她來
[00:04:04.680 --> 00:04:07.320]  忽然耶穌不見了
[00:04:07.320 --> 00:04:09.200]  她們彼此說
[00:04:09.200 --> 00:04:12.760]  在路上她和我們說話
[00:04:12.760 --> 00:04:16.200]  給我們講解聖經的時候
[00:04:16.200 --> 00:04:19.960]  我們的心豈不是火熱的嗎
[00:04:19.960 --> 00:04:22.640]  她們就立時起身
[00:04:22.640 --> 00:04:24.840]  回耶路撒冷去
[00:04:24.840 --> 00:04:27.600]  正遇見十一個使徒
[00:04:27.600 --> 00:04:31.560]  和她們的同人聚集在一處
[00:04:31.560 --> 00:04:34.600]  說主果然復活
[00:04:34.600 --> 00:04:37.880]  已經吸吸妻們汗尿
[00:04:37.880 --> 00:04:41.480]  兩人就把路上所遇見
[00:04:41.480 --> 00:04:43.520]  受麥餅的時候
[00:04:43.520 --> 00:04:47.080]  怎樣被她們認出來的事
[00:04:47.080 --> 00:04:49.680]  都述說了一遍
[00:04:49.680 --> 00:04:51.840]  好,謝謝
[00:04:51.840 --> 00:04:53.000]  這段經文
[00:04:53.000 --> 00:04:55.120]  你看到好像
[00:04:55.120 --> 00:04:55.720]  也不是好像
[00:04:55.720 --> 00:04:57.120]  簡直是兩個門徒
