
[00:00:00.000 --> 00:00:04.280]  在我們在開始敬拜之前,我們去同心禱告:
[00:00:04.280 --> 00:00:08.600]  「千人主,感謝詐昧祢,祢是作者為王的主,
[00:00:08.600 --> 00:00:12.200]  無論晴天雨天,主啊,祢都是我們的上帝,
[00:00:12.200 --> 00:00:15.640]  主啊,求祢這一刻,祢的聖靈充滿在這裡,
[00:00:15.640 --> 00:00:17.880]  親自開啟我們的心思意念,
[00:00:17.880 --> 00:00:21.320]  以至於我們可以能夠進入到祢話語的奧秘當中,
[00:00:21.320 --> 00:00:24.280]  主啊,祢親自不單只是讓我們可以得到教導,
[00:00:24.280 --> 00:00:26.920]  也讓我們將祢的話語吃進我們生命的當中,
[00:00:26.920 --> 00:00:28.600]  成為我們生命的一部分,
[00:00:28.600 --> 00:00:31.880]  等我們可以再次踏出這個禮堂的時候,
[00:00:31.880 --> 00:00:34.600]  我們的生命被祢的話語建造不再一樣,
[00:00:34.600 --> 00:00:37.920]  將以下的時間恭敬仰望,求主與我們同在,
[00:00:37.920 --> 00:00:43.480]  奉耶穌基督的名求祢,阿們。」
[00:00:43.480 --> 00:00:45.320]  那曾幾何時呢?
[00:00:45.320 --> 00:00:49.720]  日本製造這個四個字是有很大的光環的,
[00:00:49.720 --> 00:00:51.520]  我記得我很小的時候,
[00:00:51.520 --> 00:00:54.600]  我的家裡面換電器,買電器,
[00:00:54.600 --> 00:00:59.440]  很多很好心的親友就來建議我們,
[00:00:59.440 --> 00:01:01.320]  他最主要買日本貨,
[00:01:01.320 --> 00:01:04.240]  買日本貨貴一點都值,
[00:01:04.240 --> 00:01:06.400]  為什麼呢?因為日本貨那個時代,
[00:01:06.400 --> 00:01:09.800]  日本貨意味著高品質,耐用,美觀,
[00:01:09.800 --> 00:01:11.920]  而且是品質比較高,
[00:01:11.920 --> 00:01:15.080]  所以日本製造這幾個字似乎有一種光環,
[00:01:15.080 --> 00:01:19.040]  只要是日本製造,似乎你買得來就比較放心,
[00:01:19.040 --> 00:01:22.000]  但是這幾年一些造假的事件,
[00:01:22.000 --> 00:01:27.200]  令到日本製造這個字的光環在不斷的消退。
[00:01:27.200 --> 00:01:31.800]  如果你關心這個時事的話,你可以看到,
[00:01:31.800 --> 00:01:37.960]  首先是奧林匹斯和東芝這個公司就發現到他們在財務上造假,
[00:01:37.960 --> 00:01:43.520]  然後是三菱汽車他們就發現在汽車的耗油數據上造假,
[00:01:43.520 --> 00:01:45.480]  接下來是豐田公司,
[00:01:45.480 --> 00:01:49.160]  他們的方向盤設計上面在造假,
[00:01:49.160 --> 00:01:54.920]  讓司機容易撞車,接下來輪到高田公司,
[00:01:54.920 --> 00:01:58.120]  高田公司他們生產汽車的安全氣囊,
[00:01:58.120 --> 00:02:01.360]  我不曉得這裡多少弟兄姐妹家是開車的,
[00:02:01.360 --> 00:02:06.400]  那個氣囊的造假結果導致到大量的汽車被回收出去,
[00:02:06.400 --> 00:02:11.760]  接下來前一段時間鬧得沸沸揚揚的是神戶智剛造假,
[00:02:11.760 --> 00:02:15.840]  這個數據造假,而且影響的相當之廣泛,
[00:02:15.840 --> 00:02:21.520]  連波音公司很多的一些大企業的這些鋼材都其中受影響,
[00:02:21.520 --> 00:02:23.200]  當這件事情還沒有完的時候,
[00:02:23.200 --> 00:02:31.960]  如果你去年你留意,你就看到接下來是日立製的高鐵在英國又發生事情,
[00:02:31.960 --> 00:02:35.640]  漏水,然後很多一些的電器短路這些事情,
[00:02:35.640 --> 00:02:41.040]  這一連串的這些造假的新聞讓我們看見日本這些所謂的龍頭企業,
[00:02:41.040 --> 00:02:45.920]  他們的產量,他們的產品的品質一直在下降,
[00:02:45.920 --> 00:02:48.960]  當我們看了這一系列的新聞的時候,我們可能會問一個問題,
[00:02:48.960 --> 00:02:54.880]  為什麼這樣以前被認為是很高品質,美觀可靠的日本貨,
