
[00:00:00.000 --> 00:00:04.680]  好,各位導演,前輩,早晨,我們又開始這個專題講座了
[00:00:04.680 --> 00:00:09.680]  我們昨天就看了,末世究竟會什麼時候降臨
[00:00:09.680 --> 00:00:11.980]  有些什麼的預兆
[00:00:11.980 --> 00:00:16.320]  接著就是我們個人上要怎樣來好地裝備呢?
[00:00:16.320 --> 00:00:20.960]  就是要謹慎自守,警醒禱告
[00:00:20.960 --> 00:00:24.520]  然後我們今天會再去看第二部分的
[00:00:24.520 --> 00:00:29.240]  就是我們要切實相愛,等候主再回來
[00:00:29.240 --> 00:00:34.480]  曾經講過,《馬蹄福音》24章就是講到主耶穌回來之前的預兆
[00:00:34.480 --> 00:00:36.560]  25章裡面有三個比喻
[00:00:36.560 --> 00:00:41.000]  但是這三個比喻就跟《彼得前書》所講的是很相同的
[00:00:41.000 --> 00:00:44.560]  主耶穌來到世上,再回來的時候
[00:00:44.560 --> 00:00:47.720]  祂不是用救主的身份來帶人回來
[00:00:47.720 --> 00:00:49.680]  祂是要來帶人去審判的
[00:00:49.680 --> 00:00:55.280]  我們一起來讀《馬蹄福音》25章,31到34節
[00:00:55.280 --> 00:00:57.280]  我們一起來讀出
[00:00:57.280 --> 00:01:03.320]  "當人子在家裡,同雀共天似狀的時候"
[00:01:03.320 --> 00:01:06.760]  "要坐在他榮耀的寶座上"
[00:01:06.760 --> 00:01:10.200]  "萬民都要聚集在他面前"
[00:01:10.200 --> 00:01:12.960]  "他要把他們分別出來"
[00:01:12.960 --> 00:01:17.640]  "母雀母羊的分別如羊山羊一般"
[00:01:17.640 --> 00:01:22.640]  "當羊羊安寺在右邊,山羊在左邊"
[00:01:22.640 --> 00:01:26.240]  "於是王要向那右邊的時"
[00:01:26.240 --> 00:01:29.120]  "居門者同我互助伏筆"
[00:01:29.120 --> 00:01:32.320]  "可由平平仇恨喪失義和"
[00:01:32.320 --> 00:01:35.240]  "對居門所以被擊破"
[00:01:35.240 --> 00:01:36.960]  這裡就很清楚地說
[00:01:36.960 --> 00:01:39.960]  當主耶穌再回來的時候,祂就要審判了
[00:01:39.960 --> 00:01:44.240]  就好像一些人將綿羊和山羊分開兩邊
[00:01:44.240 --> 00:01:47.720]  我們先來看《馬蹄福音》25章這個比喻
[00:01:47.720 --> 00:01:53.680]  然後我們再來對照《彼得前書》裡面的教導
[00:01:53.680 --> 00:01:55.440]  主耶穌回來的時候
[00:01:55.440 --> 00:01:58.880]  我已經再說了,祂不是用一個救世主的身份回來
[00:01:58.880 --> 00:02:01.800]  而是一個軍王要審判大地
[00:02:01.800 --> 00:02:04.360]  《馬蹄福音》第16章27章裡面怎麼說呢?
[00:02:04.360 --> 00:02:07.320]  "人只要在他父的榮耀裡"
[00:02:07.320 --> 00:02:10.240]  "同著眾事者降臨那時候"
[00:02:10.240 --> 00:02:15.440]  "他要照各人的行為報應各人"
[00:02:15.440 --> 00:02:18.000]  所以今天我們傳福音的時候
[00:02:18.000 --> 00:02:20.840]  我們都需要找一些共同點
[00:02:20.840 --> 00:02:22.440]  讓大家有話要說
[00:02:22.440 --> 00:02:23.600]  很簡單地舉個例子
[00:02:23.600 --> 00:02:26.720]  記不記得耶穌在撒瑪利亞井旁
[00:02:26.720 --> 00:02:28.080]  跟一個女人講道的時候
[00:02:28.080 --> 00:02:29.360]  祂不是馬上指出
[00:02:29.360 --> 00:02:31.960]  你這個女人,你已經有五個老公
[00:02:31.960 --> 00:02:34.760]  現在你的老公都不是你的老公
[00:02:34.760 --> 00:02:35.960]  馬上說
[00:02:35.960 --> 00:02:38.440]  那個女人說,現在關你什麼事?
[00:02:38.440 --> 00:02:39.760]  你想做我第六個?
[00:02:39.760 --> 00:02:40.600]  是不是?
[00:02:40.600 --> 00:02:42.160]  不是的
[00:02:42.160 --> 00:02:45.760]  耶穌是用一些說話引起祂的興趣
[00:02:45.760 --> 00:02:47.800]  首先其實是愛心
[00:02:47.800 --> 00:02:50.320]  就是你可不可以給我一些水
[00:02:50.320 --> 00:02:51.800]  其實耶穌是一個大男人
[00:02:51.800 --> 00:02:54.520]  在那個井旁去自己拿水也行,對不對?
[00:02:54.520 --> 00:02:56.680]  要找個話題,對不對?
[00:02:56.680 --> 00:02:58.680]  好了,這個女人跟著說
[00:02:58.680 --> 00:03:00.280]  你要跟我說什麼?
[00:03:00.280 --> 00:03:01.880]  然後耶穌就說道
[00:03:01.880 --> 00:03:03.680]  如果你知道我是誰的時候
[00:03:03.680 --> 00:03:05.080]  就要問我拿活水
[00:03:05.080 --> 00:03:07.480]  這樣就引起祂的興趣
[00:03:07.480 --> 00:03:09.880]  所以我們傳福音的時候都是一樣的
[00:03:09.880 --> 00:03:13.440]  中國人很講求報應
[00:03:13.440 --> 00:03:14.880]  我們又說,沒有報應的
[00:03:14.880 --> 00:03:17.560]  第二,聖經不斷地說有報應的
[00:03:17.560 --> 00:03:19.160]  這是神的公平
[00:03:19.160 --> 00:03:22.040]  是按照你所做的去回應
[00:03:22.040 --> 00:03:23.400]  如果你做得好的時候
[00:03:23.400 --> 00:03:24.800]  神當然會祝福
[00:03:24.800 --> 00:03:26.680]  但是如果你來到違背神的心意
[00:03:26.680 --> 00:03:28.960]  不斷地去背叛神的時候
[00:03:28.960 --> 00:03:30.200]  做一些不好的事的時候
[00:03:30.200 --> 00:03:31.360]  你就會受審判
[00:03:31.360 --> 00:03:32.680]  這就是報應
[00:03:32.680 --> 00:03:35.080]  所以大家來來去去說一些共同話題
[00:03:35.080 --> 00:03:36.440]  不過也要很小心
[00:03:36.440 --> 00:03:39.280]  有時候大家可能是相同的言語
[00:03:39.280 --> 00:03:42.600]  但是有不同的內容
[00:03:42.600 --> 00:03:44.640]  你也要很小心,不要隨便運用
[00:03:44.640 --> 00:03:45.720]  最簡單舉個例子
[00:03:45.720 --> 00:03:47.920]  今天當中有些人是來自中國的,對不對?
[00:03:47.920 --> 00:03:49.520]  他們是來自香港的
[00:03:49.520 --> 00:03:51.600]  嘩
[00:03:51.600 --> 00:03:55.520]  這次英女皇慶祝她登基七十年
[00:03:55.520 --> 00:03:57.600]  很多人來看她的節目
[00:03:57.600 --> 00:04:00.040]  人流很厲害
[00:04:00.040 --> 00:04:02.280]  我們香港人就會知道人流很厲害
[00:04:02.280 --> 00:04:05.600]  人的數量很多,對不對?
[00:04:05.600 --> 00:04:09.600]  大家知道國內的人流是什麼意思嗎?
[00:04:09.600 --> 00:04:11.120]  人工流產
[00:04:11.120 --> 00:04:13.400]  嘩,人工流產很多
[00:04:13.400 --> 00:04:16.080]  那你就是去宗旨懷孕那麼多,對不對?
[00:04:16.080 --> 00:04:17.600]  原來大家都是在說人流
[00:04:17.600 --> 00:04:19.800]  但是可能是有兩種不同的解釋
[00:04:19.800 --> 00:04:21.760]  當然我們說到報應
[00:04:21.760 --> 00:04:23.640]  也是要很小心
[00:04:23.640 --> 00:04:27.160]  因為可能在佛家或者中華傳統觀念就是
