
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹 朋友 牧者 平安
[00:00:04.000 --> 00:00:09.000]  我感謝神今天又能夠繼續和大家分享神的說話
[00:00:09.000 --> 00:00:11.000]  由我們到先一同禱告
[00:00:11.000 --> 00:00:18.000]  親愛的天父 祢是至高聖潔的神
[00:00:18.000 --> 00:00:21.000]  我們能夠將時間分別為聖
[00:00:21.000 --> 00:00:24.000]  來到祢的面前敬拜祢
[00:00:24.000 --> 00:00:27.000]  是祢給我們的恩典和福氣
[00:00:28.000 --> 00:00:30.000]  我們感謝祢愛我們
[00:00:30.000 --> 00:00:32.000]  祢又眷顧我們的教會
[00:00:32.000 --> 00:00:35.000]  祢配得我們的感恩和讚美
[00:00:35.000 --> 00:00:38.000]  恭敬將以下的時間交託
[00:00:38.000 --> 00:00:41.000]  求天父幫助我們每一個人
[00:00:41.000 --> 00:00:45.000]  敞開我們的心去領受祢的說話
[00:00:45.000 --> 00:00:50.000]  要我們的心靈因得著祢的教導而滿足
[00:00:50.000 --> 00:00:55.000]  又叫天父祢的心因為我們謙卑受教而滿足
[00:00:56.000 --> 00:01:00.000]  我們今天禱告 奉靠主耶穌基督的名 阿們
[00:01:26.000 --> 00:01:30.000]  有一個晚上 星期五晚 我接到一個電話
[00:01:30.000 --> 00:01:35.000]  很奇怪 因為是Andy的媽媽打電話給我
[00:01:35.000 --> 00:01:39.000]  其實我沒有見過她 我只見過她的兒子
[00:01:39.000 --> 00:01:42.000]  我也不認識這個媽媽
[00:01:42.000 --> 00:01:47.000]  她告訴我 她在Andy那裡取得我的電話號碼
[00:01:47.000 --> 00:01:48.000]  聯絡我
[00:01:48.000 --> 00:01:52.000]  其實她是很想告訴我 她家裡發生了一些事
[00:01:53.000 --> 00:01:59.000]  所以她很想我在明天的星期六接放學的時候
[00:01:59.000 --> 00:02:02.000]  接她的兒子 因為她自己趕不到時間去接
[00:02:02.000 --> 00:02:05.000]  也麻煩我送她回家
[00:02:05.000 --> 00:02:10.000]  我就問她的地址在哪裡 原來住得很近我的
[00:02:10.000 --> 00:02:13.000]  於是我就答應 說好 我幫你接她
[00:02:13.000 --> 00:02:17.000]  星期六接放學的時候 我接了我的兒子
[00:02:17.000 --> 00:02:21.000]  又接了Andy 兩個男孩坐在車的後排
[00:02:22.000 --> 00:02:24.000]  我去到Andy的家裡
[00:02:24.000 --> 00:02:27.000]  我就在那裡等 沒聲音
[00:02:27.000 --> 00:02:31.000]  我就轉頭看 我以為他要下車了
[00:02:31.000 --> 00:02:34.000]  大家知不知道我看到了什麼呢
[00:02:34.000 --> 00:02:39.000]  我看到一個十二歲的男孩 很刻意地彎下身
