
[00:00:00.000 --> 00:00:02.000]  多謝家欣給我們好好的敬拜
[00:00:02.000 --> 00:00:04.000]  我們給她掌聲 多謝敬拜隊好嗎
[00:00:04.000 --> 00:00:08.000]  跟旁邊的人說聖誕節快樂
[00:00:08.000 --> 00:00:12.000]  相信我們都是很難得
[00:00:12.000 --> 00:00:15.000]  留港來度聖誕節的
[00:00:15.000 --> 00:00:17.000]  因為香港人已經是
[00:00:17.000 --> 00:00:19.000]  旅行已經是我們
[00:00:19.000 --> 00:00:21.000]  例牌的生活
[00:00:21.000 --> 00:00:23.000]  今天和大家討論的題目是
[00:00:23.000 --> 00:00:25.000]  齊來朝建新生活
[00:00:25.000 --> 00:00:27.000]  為什麼會這樣去想呢
[00:00:27.000 --> 00:00:30.000]  因為在香港過聖誕
[00:00:30.000 --> 00:00:33.000]  大家已經過得有點麻木
[00:00:33.000 --> 00:00:35.000]  其實你今天早上出來
[00:00:35.000 --> 00:00:37.000]  你和多少人說聖誕節快樂
[00:00:37.000 --> 00:00:40.000]  沒有啊
[00:00:40.000 --> 00:00:43.000]  那和旁邊的人說聖誕節快樂
[00:00:43.000 --> 00:00:47.000]  我們節日的特色是越來越少
[00:00:47.000 --> 00:00:49.000]  同意嗎
[00:00:49.000 --> 00:00:51.000]  新年都是見面就說恭喜發財
[00:00:51.000 --> 00:00:53.000]  但聖誕節
[00:00:53.000 --> 00:00:55.000]  即使是基督徒
[00:00:55.000 --> 00:00:57.000]  聖誕節都是很少的
[00:00:57.000 --> 00:00:59.000]  恭喜一下
[00:00:59.000 --> 00:01:01.000]  我們當中有沒有新朋友
[00:01:01.000 --> 00:01:05.000]  你今年是第一次在教會的聖誕節
[00:01:05.000 --> 00:01:09.000]  有沒有人是第一次在教會的聖誕節
[00:01:09.000 --> 00:01:11.000]  也有一些
[00:01:11.000 --> 00:01:13.000]  歡迎你
[00:01:13.000 --> 00:01:15.000]  我們大部分都是老人
[00:01:15.000 --> 00:01:17.000]  有多少人已經過了五年
[00:01:17.000 --> 00:01:19.000]  在教會過聖誕節
[00:01:19.000 --> 00:01:21.000]  有五年的
[00:01:21.000 --> 00:01:23.000]  再老一點的呢
[00:01:23.000 --> 00:01:25.000]  舉直一點
[00:01:25.000 --> 00:01:27.000]  有沒有廿年的
[00:01:27.000 --> 00:01:29.000]  也有
[00:01:29.000 --> 00:01:31.000]  開國元老
[00:01:31.000 --> 00:01:33.000]  明年廿五周年
[00:01:33.000 --> 00:01:35.000]  其實我們開放的那班
[00:01:35.000 --> 00:01:37.000]  只是在芝麥已經三十年了
[00:01:37.000 --> 00:01:41.000]  有沒有人在教會是五十年了
[00:01:41.000 --> 00:01:43.000]  寥寥可數
[00:01:43.000 --> 00:01:45.000]  最老的是我
[00:01:45.000 --> 00:01:47.000]  我在教會超過五十年了
[00:01:47.000 --> 00:01:49.000]  因為我小時候在教會
[00:01:49.000 --> 00:01:51.000]  過了這麼多年的聖誕節
[00:01:51.000 --> 00:01:53.000]  大家怎樣看聖誕節
[00:01:53.000 --> 00:01:55.000]  2019年
[00:01:55.000 --> 00:01:57.000]  你拿年曆表的時候
[00:01:57.000 --> 00:01:59.000]  你最關心的
[00:01:59.000 --> 00:02:01.000]  是不是聖誕節
[00:02:01.000 --> 00:02:03.000]  也是的
[00:02:03.000 --> 00:02:05.000]  聖誕節和復活節的假期
[00:02:05.000 --> 00:02:07.000]  怎樣拼
[00:02:07.000 --> 00:02:09.000]  怎樣拼到最長的假期
[00:02:09.000 --> 00:02:11.000]  這是我們所關心的
[00:02:11.000 --> 00:02:13.000]  我想問一下
[00:02:13.000 --> 00:02:15.000]  我們跟普通微信主的人有沒有分別呢
[00:02:15.000 --> 00:02:17.000]  好像真的沒什麼分別
[00:02:17.000 --> 00:02:19.000]  我小時候
[00:02:19.000 --> 00:02:21.000]  很喜歡在教會
[00:02:21.000 --> 00:02:23.000]  過了這麼多年的聖誕節
[00:02:23.000 --> 00:02:25.000]  也是在教會過
[00:02:25.000 --> 00:02:27.000]  當年的年代
[00:02:27.000 --> 00:02:29.000]  最好的就是看燈飾
[00:02:29.000 --> 00:02:31.000]  但看燈飾
[00:02:31.000 --> 00:02:33.000]  在尖沙咀中環地區
[00:02:33.000 --> 00:02:35.000]  家裡很窮
[00:02:35.000 --> 00:02:37.000]  媽媽不會帶我們出去看燈飾
[00:02:37.000 --> 00:02:39.000]  所以我看燈飾
[00:02:39.000 --> 00:02:41.000]  其實是在電視看的
[00:02:41.000 --> 00:02:43.000]  但為什麼喜歡在教會
[00:02:43.000 --> 00:02:45.000]  就是喜歡教會有師班
[00:02:45.000 --> 00:02:47.000]  因為當年師班對基督教來說
[00:02:47.000 --> 00:02:49.000]  是很重要的
[00:02:49.000 --> 00:02:51.000]  因為基督教是音樂的宗教
[00:02:51.000 --> 00:02:53.000]  所以他們唱的詩歌很好聽
[00:02:53.000 --> 00:02:55.000]  還有一件很漂亮的絲袍
[00:02:55.000 --> 00:02:57.000]  白色也好藍色也好
[00:02:57.000 --> 00:02:59.000]  你都覺得它很漂亮
[00:02:59.000 --> 00:03:01.000]  我們小時候在教會
[00:03:01.000 --> 00:03:03.000]  聖誕節是一個很大的節日
[00:03:03.000 --> 00:03:05.000]  原因就是用很多時間去鋪排和部署
[00:03:05.000 --> 00:03:07.000]  做師班更加是聖誕節的重頭戲
[00:03:07.000 --> 00:03:09.000]  我們通常
[00:03:09.000 --> 00:03:11.000]  十月還是十一月
[00:03:11.000 --> 00:03:13.000]  全間教會通常會招募
[00:03:13.000 --> 00:03:15.000]  不是招募師班
