
[00:00:00.000 --> 00:00:07.000]  我們一起去將這個美好的上帝給我們生命敬拜的人生
[00:00:07.000 --> 00:00:09.000]  我們做一個真正的慈悲
[00:00:09.000 --> 00:00:11.000]  我們為這件事禱告,好嗎?
[00:00:11.000 --> 00:00:14.000]  主啊,我們在這裡面前的時候
[00:00:14.000 --> 00:00:18.000]  我們常常都講到我們要怎樣奉獻,怎樣擺上
[00:00:18.000 --> 00:00:22.000]  但其實上帝你更注重的
[00:00:22.000 --> 00:00:28.000]  真的不是那些的自由,那些的陽高
[00:00:28.000 --> 00:00:32.000]  而是我們內心對你的敬拜的心
[00:00:32.000 --> 00:00:35.000]  願意上帝你在我們的人生當中
[00:00:35.000 --> 00:00:39.000]  在你的話語裡面,在你的靈裡面
[00:00:39.000 --> 00:00:43.000]  讓我們很多時候冰冷了的心
[00:00:43.000 --> 00:00:45.000]  我們再一次被你融化
[00:00:45.000 --> 00:00:47.000]  我們再一次因為你自己的愛
[00:00:47.000 --> 00:00:49.000]  我們被你所溫暖
[00:00:49.000 --> 00:00:51.000]  我們人生很多的遭遇
[00:00:51.000 --> 00:00:54.000]  上帝我們很多我們預測不到的事
[00:00:54.000 --> 00:00:59.000]  我們有時候真的今天不知道明天會發生什麼事
[00:00:59.000 --> 00:01:01.000]  但讓我們將一切的憂慮
[00:01:01.000 --> 00:01:03.000]  在我們的敬拜裡面
[00:01:03.000 --> 00:01:05.000]  我們擺上給你
[00:01:05.000 --> 00:01:12.000]  求你去承擔我們這些我們自己承受不到的事情
[00:01:12.000 --> 00:01:15.000]  讓我們今天在你面前
[00:01:15.000 --> 00:01:17.000]  讓我們真正去敬拜
[00:01:17.000 --> 00:01:19.000]  讓我們的真情真心
[00:01:19.000 --> 00:01:21.000]  是誠實的在你面前去流露
[00:01:21.000 --> 00:01:25.000]  讓我們不再去掩飾我們自己
[00:01:25.000 --> 00:01:27.000]  我們感謝你
[00:01:27.000 --> 00:01:29.000]  感謝你給我們的豐富的一切
[00:01:29.000 --> 00:01:31.000]  祈禱奉主的名求
[00:01:31.000 --> 00:01:33.000]  阿門
[00:01:33.000 --> 00:01:35.000]  OK 那就
[00:01:35.000 --> 00:01:38.000]  昨天是星期六
[00:01:38.000 --> 00:01:40.000]  星期六可以有機會和弟兄姊妹
[00:01:40.000 --> 00:01:45.000]  接下來這個星期六我們都會有一個特別的時間
[00:01:45.000 --> 00:01:47.000]  如果你很想念我們的弟兄姊妹
[00:01:47.000 --> 00:01:51.000]  星期六都要來我們有一個Bible Conference
[00:01:51.000 --> 00:01:53.000]  十點鐘開始
[00:01:53.000 --> 00:01:55.000]  特別報告就是
[00:01:55.000 --> 00:01:57.000]  他們說不吃這個Sandwich
[00:01:57.000 --> 00:02:01.000]  可能報名人數不多
[00:02:01.000 --> 00:02:03.000]  我覺得SandwichOK
[00:02:03.000 --> 00:02:05.000]  不過不要緊
[00:02:05.000 --> 00:02:07.000]  他們現在說吃飯盒
[00:02:07.000 --> 00:02:10.000]  不知道有什麼菜
[00:02:10.000 --> 00:02:12.000]  但我想是比Sandwich好
[00:02:12.000 --> 00:02:14.000]  我們中國人
[00:02:14.000 --> 00:02:16.000]  報名所以要報名
[00:02:16.000 --> 00:02:18.000]  因為他們說今天是節日
[00:02:18.000 --> 00:02:21.000]  他們說飯盒要時間去整
[00:02:21.000 --> 00:02:23.000]  不像Sandwich那樣馬上爆
[00:02:23.000 --> 00:02:27.000]  其實我們知道
[00:02:27.000 --> 00:02:29.000]  各以民為本
[00:02:29.000 --> 00:02:31.000]  民以食為天
[00:02:31.000 --> 00:02:33.000]  搵食大過天
[00:02:33.000 --> 00:02:35.000]  食物大過天
[00:02:35.000 --> 00:02:38.000]  食物對很多人來說
[00:02:38.000 --> 00:02:40.000]  是很重要的
[00:02:40.000 --> 00:02:42.000]  如果不是
[00:02:42.000 --> 00:02:45.000]  今天我們說五餅二魚的時候
[00:02:45.000 --> 00:02:50.000]  希望大家都明白當中的真理
