
[00:00:00.000 --> 00:00:07.360]  今天我們要學習另一個爲主一切發良的功課
[00:00:07.360 --> 00:00:10.820]  就是同傳主愛
[00:00:10.820 --> 00:00:13.740]  一起去傳遞耶穌的愛
[00:00:13.740 --> 00:00:15.120]  我已經跟大家講過了
[00:00:15.120 --> 00:00:17.180]  這是一個相當重要的觀念
[00:00:17.180 --> 00:00:18.620]  我希望每一個會點人
[00:00:18.620 --> 00:00:20.940]  每一個來聚會的人都能夠掌握
[00:00:20.940 --> 00:00:23.200]  是什麼呢?
[00:00:23.200 --> 00:00:26.300]  如果我們真的一切爲主發良的話
[00:00:26.300 --> 00:00:27.820]  首先我們要學習的是什麼?
[00:00:27.820 --> 00:00:29.820]  放下我們自己
[00:00:29.820 --> 00:00:31.200]  你經常想着自己的話
[00:00:31.200 --> 00:00:32.900]  你很難發光
[00:00:32.900 --> 00:00:34.900]  也很難和其他人一起發光
[00:00:34.900 --> 00:00:37.180]  學習放下自我
[00:00:37.180 --> 00:00:39.680]  學習去做一個不自私
[00:00:39.680 --> 00:00:41.080]  不僅是懂得想自己
[00:00:41.080 --> 00:00:42.620]  不僅是懂得照顧自己
[00:00:42.620 --> 00:00:45.280]  不僅是懂得來娶的一個人
[00:00:45.280 --> 00:00:46.380]  要學習怎樣呢?
[00:00:46.380 --> 00:00:47.640]  去付出
[00:00:47.640 --> 00:00:48.700]  學習去付出
[00:00:48.700 --> 00:00:51.240]  學習去關心其他人
[00:00:51.240 --> 00:00:53.260]  除非我們能夠掌握到這個真理
[00:00:53.260 --> 00:00:54.460]  學到這個功課
[00:00:54.460 --> 00:00:58.440]  否則我們說一起發光是不會實現的
[00:00:58.440 --> 00:01:00.440]  因爲當我們自己向內面看
[00:01:00.440 --> 00:01:01.580]  向自己看的話
[00:01:01.580 --> 00:01:04.920]  你沒辦法向周圍發光
[00:01:04.920 --> 00:01:06.380]  在這個前提上
[00:01:06.380 --> 00:01:08.320]  當我們學會付出
[00:01:08.320 --> 00:01:10.360]  去關心其他人的時候
[00:01:10.360 --> 00:01:11.720]  你就會發覺
[00:01:11.720 --> 00:01:13.960]  原來彼此相愛就不會很累了
[00:01:13.960 --> 00:01:15.460]  否則照顧人也挺累的
[00:01:15.460 --> 00:01:17.580]  有沒有照顧過人啊?
[00:01:17.580 --> 00:01:18.500]  我跟大家說過
[00:01:18.500 --> 00:01:20.500]  上個星期照顧師母也很辛苦
[00:01:20.500 --> 00:01:21.320]  所以輕了幾磅
