
[00:00:00.000 --> 00:00:02.000]  各位姐妹們
[00:00:02.000 --> 00:00:10.000]  每一個人都是希望能夠經歷生命的和睦
[00:00:10.000 --> 00:00:17.000]  我們會用不同的方式去追求去締造和睦
[00:00:17.000 --> 00:00:22.000]  其中一個方式就是我們會建築一些圍牆
[00:00:22.000 --> 00:00:28.000]  希望能夠藉此去締造和睦
[00:00:28.000 --> 00:00:37.000]  我們建築圍牆是要保護自己的領域,財富和自己所愛的人
[00:00:37.000 --> 00:00:48.000]  在歷史當中,中國的牆城就是用來保護民族,抵禦匈奴
[00:00:48.000 --> 00:01:01.000]  但有些城牆不是單單用來保護的,他們是用來分裂和分化
[00:01:01.000 --> 00:01:12.000]  在1961年,東德人建造了柏林的圍牆,防止東德人去西德
[00:01:12.000 --> 00:01:23.000]  這裏的牆是禁錮著東德人,是斷絕德國人的親情
[00:01:23.000 --> 00:01:29.000]  不少的家人因為這牆的緣故分開,不能夠一起生活
[00:01:29.000 --> 00:01:35.000]  有些東德人他們是要和家人相聚
[00:01:35.000 --> 00:01:41.000]  他們冒險要越過這裏的圍牆
[00:01:41.000 --> 00:01:47.000]  但是不成功,被東德的守衛去射殺
[00:01:47.000 --> 00:01:55.000]  所以對東德人來說,對西德人來說,柏林圍牆所標誌著的是
[00:01:55.000 --> 00:02:00.000]  隔絕、敵對、死亡
[00:02:00.000 --> 00:02:05.000]  後來柏林圍牆在1989年被拆除
[00:02:05.000 --> 00:02:13.000]  東德人成功拆毀這道隔斷生命的牆
[00:02:13.000 --> 00:02:17.000]  在今早我們所讀的聖經提及到
[00:02:17.000 --> 00:02:21.000]  毀壞了中間隔斷的牆
[00:02:21.000 --> 00:02:24.000]  就是講到牆那種的拆毀
[00:02:24.000 --> 00:02:28.000]  聖經當中講到那種隔絕的牆
[00:02:28.000 --> 00:02:33.000]  是指以色列人聖殿當中的牆
[00:02:33.000 --> 00:02:37.000]  在耶穌基督的年代的聖殿有兩個院子
[00:02:37.000 --> 00:02:40.000]  一個院子就是為以色列人而設的
[00:02:40.000 --> 00:02:43.000]  另一個是為外邦人而設的
[00:02:43.000 --> 00:02:50.000]  外邦人的院子裏面容讓不同國籍的人可以在那裏
[00:02:50.000 --> 00:02:56.000]  在兩個院子當中有一道的圍牆將兩個院隔住
[00:02:56.000 --> 00:03:01.000]  圍牆大概是4.5英呎高,有13個入口
[00:03:01.000 --> 00:03:06.000]  在入口上面有一些文字寫著
[00:03:06.000 --> 00:03:11.000]  外邦人假如進入猶太人的院子
[00:03:11.000 --> 00:03:16.000]  就會遭受死亡的刑罰
[00:03:16.000 --> 00:03:21.000]  這些都是要提醒那些不是猶太人的人
[00:03:21.000 --> 00:03:27.000]  要遠離以色列人的地方
