
[00:00:00.000 --> 00:00:01.120]  今天說起罰
[00:00:01.120 --> 00:00:03.340]  我真的不太喜歡他不停地說罰這件事
[00:00:03.340 --> 00:00:04.960]  因爲大家的反應都是
[00:00:04.960 --> 00:00:06.240]  記得被人罰什麼
[00:00:06.240 --> 00:00:08.700]  就不會記得爲什麼被人罰
[00:00:08.700 --> 00:00:10.120]  但是反過來一件事就是
[00:00:10.120 --> 00:00:12.680]  有時候有些激氣的事情
[00:00:12.680 --> 00:00:14.680]  可能是子女也好,學生也好
[00:00:14.680 --> 00:00:18.040]  就是你面對有人的紀律問題
[00:00:18.040 --> 00:00:19.720]  最激得你緊要的
[00:00:19.720 --> 00:00:21.440]  就像剛纔姐妹說的一件事就是
[00:00:21.440 --> 00:00:23.040]  說謊已經是了
[00:00:23.040 --> 00:00:24.720]  但是最大的問題就是
[00:00:24.720 --> 00:00:25.760]  不認的嘛
[00:00:25.760 --> 00:00:27.080]  你明白嗎?
[00:00:27.080 --> 00:00:28.480]  有錯不認
[00:00:28.480 --> 00:00:30.480]  跟有錯肯認
[00:00:30.480 --> 00:00:31.920]  是很不同的一件事
[00:00:31.920 --> 00:00:33.280]  香港人經常說
[00:00:33.280 --> 00:00:35.440]  有錯就要認,打就要
[00:00:35.440 --> 00:00:36.800]  站住
[00:00:36.800 --> 00:00:39.320]  不要用打的法來站住
[00:00:39.320 --> 00:00:42.880]  我們是很直接的觀念和信息
[00:00:42.880 --> 00:00:43.880]  錯誤裏面
[00:00:43.880 --> 00:00:45.320]  現實是一件事作爲一個基督徒
[00:00:45.320 --> 00:00:46.560]  我們很明白一件事就是
[00:00:46.560 --> 00:00:47.760]  人間有錯的
[00:00:47.760 --> 00:00:49.080]  我們每一個人都會錯的
[00:00:49.080 --> 00:00:50.200]  我今天在說
[00:00:50.200 --> 00:00:51.040]  我都會告訴你
[00:00:51.040 --> 00:00:54.080]  我生命裏面以往有錯
[00:00:54.080 --> 00:00:56.240]  接下來我不會告訴你我不會有錯
[00:00:56.240 --> 00:00:57.520]  我也很有機會錯
[00:00:57.520 --> 00:00:59.680]  當然我會討告神保佑我
[00:00:59.680 --> 00:01:01.160]  不要跌倒
[00:01:01.160 --> 00:01:05.120]  但是錯誤是我們成長的一部分
[00:01:05.120 --> 00:01:05.960]  總會有
[00:01:05.960 --> 00:01:07.880]  不論用聖經來表達
[00:01:07.880 --> 00:01:09.320]  人在罪裏面
[00:01:09.320 --> 00:01:10.560]  或者我們把一件事
[00:01:10.560 --> 00:01:13.320]  很政治中立的說了
[00:01:13.320 --> 00:01:16.040]  有不應該的事情做了也好
[00:01:16.040 --> 00:01:17.480]  tune down了的意思而已
[00:01:17.480 --> 00:01:19.040]  但都是一件不對的事情
[00:01:19.040 --> 00:01:20.560]  錯愛人也有
[00:01:20.560 --> 00:01:21.160]  但問題是
[00:01:21.160 --> 00:01:22.400]  在錯誤裏面
[00:01:22.400 --> 00:01:24.360]  或者我們面對有人做錯
[00:01:24.360 --> 00:01:27.480]  或者我們面對有人對我做了一些錯的事情
[00:01:27.480 --> 00:01:29.480]  我們應該怎麼對他呢
[00:01:29.480 --> 00:01:31.400]  這是一個很重要的問題
[00:01:31.400 --> 00:01:32.960]  剛纔我讀了一段聖經
[00:01:32.960 --> 00:01:34.400]  多一點的補充
[00:01:34.400 --> 00:01:35.920]  如果你是剛纔讀
[00:01:35.920 --> 00:01:37.000]  拿着教會的版本
[00:01:37.000 --> 00:01:38.680]  或者印刷的版本
[00:01:38.680 --> 00:01:40.320]  有時候你要知道
[00:01:40.320 --> 00:01:43.240]  出版社加的標題
[00:01:43.240 --> 00:01:44.360]  是幫到我們的
[00:01:44.360 --> 00:01:46.240]  但有時候就不是太幫到我們
[00:01:46.240 --> 00:01:47.400]  因爲在第五章這裏
[00:01:47.400 --> 00:01:48.920]  第一章是講淫亂的事情
[00:01:48.920 --> 00:01:51.080]  但是如果回到整個過程裏面
[00:01:51.080 --> 00:01:52.000]  你就會發現
[00:01:52.000 --> 00:01:54.760]  高林多教會當日這件淫亂的事情
[00:01:54.760 --> 00:01:57.360]  是因爲教會真的要面對紀律
[00:01:57.360 --> 00:01:59.480]  而這件是很緊要的淫亂的事
[00:01:59.480 --> 00:02:00.240]  所以拿出來
[00:02:00.240 --> 00:02:01.960]  這段你明白是什麼意思吧
[00:02:01.960 --> 00:02:04.000]  可能有別的事情
[00:02:04.000 --> 00:02:05.080]  不過這件
[00:02:05.080 --> 00:02:06.600]  保羅要特別拿出來講
