
[00:00:00.000 --> 00:00:03.000]  今日我會繼續跟大家講
[00:00:03.000 --> 00:00:09.640]  從耶穌的權柄和能力來認識祂的身份
[00:00:09.640 --> 00:00:12.560]  今次會講耶穌
[00:00:12.560 --> 00:00:17.240]  祂是有權柄能力來掌管大自然的運作
[00:00:17.240 --> 00:00:23.760]  講起大自然的時候,我就在想
[00:00:24.200 --> 00:00:32.200]  如果有人有能力可以呼風喚雨,那就不得了
[00:00:32.200 --> 00:00:42.200]  特別在古時,如果有人稍微可以做到近乎呼風喚雨
[00:00:42.200 --> 00:00:50.200]  或者叫求雨,稍微有些靈驗,間中可以得到
[00:00:51.200 --> 00:00:58.200]  那就不得了,一定會被人奉祂為神明
[00:00:58.200 --> 00:01:03.200]  皇帝也會封祂為國師
[00:01:03.200 --> 00:01:11.200]  但是在人類的歷史裡,除了聖經之外
[00:01:11.200 --> 00:01:19.200]  從未記載或見到有人可以呼風喚雨,或者可以控制風浪
[00:01:22.200 --> 00:01:27.200]  有時我們會看到一些記載,那些在哪裡呢?
[00:01:27.200 --> 00:01:30.200]  在神話故事裡記載
[00:01:30.200 --> 00:01:35.200]  聖經就不同,聖經是準確的歷史
[00:01:35.200 --> 00:01:50.200]  我們會問為什麼其他歷史書沒有記載人可以掌管大自然的事呢?
[00:01:52.200 --> 00:02:01.200]  因為在其他各國裡,從沒有真神出現過
[00:02:01.200 --> 00:02:06.200]  因為只有真神才有能力權柄去掌管大自然
[00:02:06.200 --> 00:02:16.200]  因為大自然是真神所做,大自然律也是真神所定
[00:02:19.200 --> 00:02:28.200]  只有聖經記載了耶穌,祂能夠平靜風浪,和祂能夠控制大自然
[00:02:28.200 --> 00:02:38.200]  因為耶穌是真神,因為耶穌也只有出現在當時猶太的地方
[00:02:38.200 --> 00:02:48.200]  昔日那些門徒經歷到在風浪中被耶穌拯救,得到平安
[00:02:48.200 --> 00:02:54.200]  他們親眼見到風和海,也聽從耶穌
