
[00:00:00.000 --> 00:00:05.400]  生涯規劃是近年來一種流行的理論
[00:00:05.400 --> 00:00:10.680]  有機構甚至是專門提供生涯規劃的服務
[00:00:10.680 --> 00:00:14.000]  這個生涯規劃到底是甚麼來的呢?
[00:00:14.000 --> 00:00:20.200]  就是全面地計劃規劃我們的人生
[00:00:20.200 --> 00:00:24.160]  我們可以在當中考慮一下
[00:00:24.160 --> 00:00:25.440]  從幾方面去看
[00:00:25.440 --> 00:00:31.080]  從我們的智能、我們的性向、價值觀念
[00:00:31.080 --> 00:00:34.840]  以及一些阻礙我們的因素
[00:00:34.840 --> 00:00:37.640]  以及一些有助我們發展的因素
[00:00:37.640 --> 00:00:39.640]  我們從這幾方面去考量
[00:00:39.640 --> 00:00:41.640]  去計劃我們的人生
[00:00:41.640 --> 00:00:44.440]  去做一個妥善的安排
[00:00:44.440 --> 00:00:48.040]  以致我們能夠過到我們喜歡的生活
[00:00:48.040 --> 00:00:50.240]  做到我們喜歡的工作
[00:00:50.240 --> 00:00:55.040]  就是摘其所愛 愛其所摘
[00:00:55.040 --> 00:00:58.640]  免得我們做一粒擺錯位的螺絲
[00:00:58.640 --> 00:01:04.040]  現在我想和大家一起看看以下幾位仁兄
[00:01:04.040 --> 00:01:07.640]  看看他們是怎樣去規劃他們的人生
[00:01:07.640 --> 00:01:11.240]  第一位是邵逸夫爵士
[00:01:11.240 --> 00:01:14.040]  他剛剛離開世界
[00:01:14.040 --> 00:01:16.240]  他享年一百零六歲
[00:01:16.240 --> 00:01:22.240]  他十七歲那年加入他哥哥的影片公司
[00:01:22.240 --> 00:01:26.640]  他一生投身在影藝娛樂事業
[00:01:26.640 --> 00:01:29.640]  他所打造的《邵氏王國》
[00:01:29.640 --> 00:01:31.640]  可以說是全香港
[00:01:31.640 --> 00:01:34.840]  甚至是全球華人的集體回憶
[00:01:34.840 --> 00:01:39.240]  接著這一位大家認不認識他?
