
[00:00:00.000 --> 00:00:05.880]  新婚時去到她的區內散步,和太太Victoria去散步
[00:00:05.880 --> 00:00:10.760]  見到一間屋正在建,未建好,所以去參觀一下
[00:00:10.760 --> 00:00:16.380]  發覺這間屋好靚又新淨,比起一般的舊屋
[00:00:16.380 --> 00:00:19.720]  並且這層樓是兩層,好特別
[00:00:19.720 --> 00:00:22.780]  上到去參觀,樓面又好高,好靚
[00:00:22.780 --> 00:00:29.440]  特別令她羨慕的是整幅落地的玻璃牆
[00:00:29.440 --> 00:00:33.600]  看見後面的花園好靚,真是好靚
[00:00:33.600 --> 00:00:38.880]  Victoria就說,我都盼望有一天
[00:00:38.880 --> 00:00:42.960]  我們能夠有一間這麼靚的屋來住,跟阿Joe講
[00:00:42.960 --> 00:00:48.520]  Joe就說,我們現在經濟有這樣的情況
[00:00:48.520 --> 00:00:52.720]  我薪金又未薄,怎可能有這樣的情況呢?
[00:00:52.720 --> 00:00:59.280]  Victoria就說,不是,我覺得有一天這件事會成為事實
[00:00:59.280 --> 00:01:03.560]  Victoria感染了Joe,於是Joe就覺得
[00:01:03.560 --> 00:01:08.360]  總有一天神會將這個美夢成真
[00:01:08.360 --> 00:01:13.160]  結果三年之後,他們就將這間舊屋拆了
[00:01:13.160 --> 00:01:17.560]  找地產商建一個新的屋
[00:01:17.560 --> 00:01:24.800]  這間屋就照他們三年前夢寐以求的屋照做
[00:01:24.800 --> 00:01:28.240]  結果夢想成真
[00:01:28.240 --> 00:01:31.760]  於是Joe就說,如果我當初沒有這個信心
[00:01:31.760 --> 00:01:37.680]  如果我當初沒有讓Victoria這句話擴闊我的世界
[00:01:37.680 --> 00:01:39.600]  不可能有這一天
[00:01:39.600 --> 00:01:46.040]  所以他在書中鼓勵讀者放膽去求神
[00:01:46.040 --> 00:01:55.160]  給他們在生活上一些物質、享受、豐盛
[00:01:55.160 --> 00:01:57.680]  如果有病,求主去醫治
[00:01:57.680 --> 00:02:02.240]  如果有做生意的就成功
[00:02:02.240 --> 00:02:08.240]  打工的就求神給你升職,甚至去到總裁的位置
[00:02:08.240 --> 00:02:12.600]  這本書其實賣得很厲害
[00:02:12.600 --> 00:02:16.640]  賣出500萬卷書,這些拆的書
[00:02:16.640 --> 00:02:27.440]  並且在報章的記錄,在流行榜上的書是首位
[00:02:27.440 --> 00:02:33.240]  影響很巨大,在美國也很大,在香港我們也看到
[00:02:33.240 --> 00:02:35.320]  原來Joe Austin是什麼背景呢?
[00:02:35.320 --> 00:02:41.080]  其實就是美國鼓吹一種神學,一種成功的神學
[00:02:41.080 --> 00:02:43.840]  這個成功的神學是什麼呢?
[00:02:43.840 --> 00:02:47.800]  它的意思就是神會祝福信徒
[00:02:47.800 --> 00:02:48.920]  用什麼祝福他們呢?
[00:02:48.920 --> 00:02:54.600]  在今生中一些財富、一些物質的好處去祝福信徒
[00:02:54.600 --> 00:02:59.680]  而Joe Austin就是這些成功神學的一個代表人物
[00:02:59.680 --> 00:03:01.440]  所以信徒要怎樣呢?
[00:03:01.440 --> 00:03:06.320]  既然神是這樣祝福人的時候,人就要擴闊他的世界
[00:03:06.320 --> 00:03:09.920]  所以如果是窮的就要脫貧
[00:03:09.920 --> 00:03:12.680]  如果有錢,求神給你更加富有
[00:03:12.680 --> 00:03:17.920]  總要有信心,並且要向神和人宣告
[00:03:17.920 --> 00:03:20.760]  宣告出來我這樣才有信心,有力量
[00:03:20.760 --> 00:03:24.160]  這樣美夢就會成真
[00:03:24.160 --> 00:03:26.400]  簡單來說一句話
[00:03:26.400 --> 00:03:33.480]  敬虔向神的人就得著在今世裡面的一些生活物質的祝福
[00:03:33.480 --> 00:03:37.840]  我想問大家這樣的神學有沒有問題?
[00:03:37.840 --> 00:03:39.440]  有問題吧?
[00:03:39.440 --> 00:03:44.360]  但是我又,神又祝福人,我又好像剛剛好
[00:03:44.360 --> 00:03:46.360]  當然很大問題
[00:03:46.360 --> 00:03:50.000]  神的祝福當然包括了物質、今生這些的享受
[00:03:50.000 --> 00:03:52.160]  就算在提摩大前書也說
[00:03:52.160 --> 00:03:55.600]  神是口齒百物給人享受的
[00:03:55.600 --> 00:03:59.400]  也說神所賜的物,如果存在感恩的心
[00:03:59.400 --> 00:04:01.480]  我們都可以享用,是不是?
[00:04:01.480 --> 00:04:02.560]  是有的
[00:04:02.560 --> 00:04:05.920]  但是聖經更加強調我們在神裡面的祝福
[00:04:05.920 --> 00:04:07.520]  是在屬靈方面的
[00:04:07.520 --> 00:04:09.440]  在主耶穌基督裡面的救恩
[00:04:09.440 --> 00:04:11.520]  我們能夠有平安喜樂
[00:04:11.520 --> 00:04:15.440]  我們能夠過一個聖潔的生命
[00:04:15.440 --> 00:04:19.920]  我們反而體輕了我們今生所擁有的
[00:04:19.920 --> 00:04:23.680]  甚至神叫我們為主去受苦
[00:04:23.680 --> 00:04:26.400]  這樣在聖經裡面所說
[00:04:26.400 --> 00:04:29.360]  而聖經神學就強調我們個人的需要
[00:04:29.360 --> 00:04:32.200]  並且我們高舉我們要拿到什麼?
[00:04:32.200 --> 00:04:34.520]  今生的享受
[00:04:34.520 --> 00:04:38.080]  而真正聖經信仰告訴我們
[00:04:38.080 --> 00:04:41.040]  基督教的核心是耶穌基督的救恩
[00:04:41.040 --> 00:04:42.680]  反而這些放在裡面
[00:04:42.680 --> 00:04:47.560]  所以不少的學者就批評成功神學是一個異端
[00:04:47.560 --> 00:04:49.840]  我也同意這個說法
[00:04:49.840 --> 00:04:53.520]  其實今天我們看這段經文是提摩大前書
[00:04:53.520 --> 00:04:55.640]  六章這裡就說到
[00:04:55.640 --> 00:04:57.680]  整章的提摩大前書
[00:04:57.680 --> 00:05:02.240]  保羅是提醒或者是叫信徒小心
[00:05:02.240 --> 00:05:04.880]  有些假教師他們的信仰走差了
[00:05:04.880 --> 00:05:08.360]  整個人的生命都是走一個敗壞的一個境況
[00:05:08.360 --> 00:05:09.760]  叫他們不要這樣做
[00:05:09.760 --> 00:05:12.160]  叫他們認識什麼叫做真的利益
[00:05:12.160 --> 00:05:14.080]  什麼叫做真的好處
[00:05:14.080 --> 00:05:17.880]  並且在提摩大前書也提到一個很重要的真理
[00:05:17.880 --> 00:05:19.720]  當一個人有純正的信仰
[00:05:19.720 --> 00:05:22.440]  自然整個生命有一個敬虔的生命
[00:05:22.440 --> 00:05:23.920]  是會建立出來的
[00:05:23.920 --> 00:05:28.120]  這個就是真正的福音真正的正路
[00:05:28.120 --> 00:05:31.560]  但是假教師走了一個歪路的時候
[00:05:31.560 --> 00:05:33.800]  所以保羅就提醒信徒
[00:05:33.800 --> 00:05:36.640]  所以我們今天雖然沒有那些假教師
[00:05:36.640 --> 00:05:38.800]  但我們也檢視一下我們的生命
[00:05:38.800 --> 00:05:44.240]  會不會也走到那些假教師的道路裡面
[00:05:44.240 --> 00:05:45.240]  我們反省一下
[00:05:45.240 --> 00:05:47.720]  以致我們真正在敬虔的生活裡面
[00:05:47.720 --> 00:05:49.800]  我們去被神所建立
[00:05:49.800 --> 00:05:52.880]  或者我們首先看看這些假教師有什麼特色
[00:05:52.880 --> 00:05:54.480]  有什麼錯誤
[00:05:54.480 --> 00:05:56.440]  我們一起看看有幾方面的錯誤
[00:05:56.440 --> 00:05:59.720]  我們一起請大家再跟我一起重讀
[00:05:59.720 --> 00:06:02.680]  第三節去第五節
[00:06:02.680 --> 00:06:04.480]  請大家一起讀好嗎
[00:06:04.480 --> 00:06:06.680]  若有人傳別的教義
[00:06:06.680 --> 00:06:10.760]  不符合我們主耶穌基督純正的話語
[00:06:10.760 --> 00:06:13.040]  於合乎敬虔的教導
[00:06:13.040 --> 00:06:19.240]  他是至高至大一無所知先好生變善於竊賤
[00:06:19.240 --> 00:06:23.880]  因而生出嫉妒紛爭誹謗惡意猜疑
[00:06:23.880 --> 00:06:28.600]  和心術不正與喪失真理的人不停地爭吵
[00:06:28.600 --> 00:06:31.480]  以敬虔為得利的門路
[00:06:31.480 --> 00:06:33.600]  好我們看到這裡
[00:06:33.600 --> 00:06:35.920]  這個講到說如果有人傳別的教義
[00:06:35.920 --> 00:06:37.480]  就是另外一種教義
[00:06:37.480 --> 00:06:41.560]  他不是合乎主耶穌基督純正的話語
[00:06:41.560 --> 00:06:45.320]  純正的意思就是說健康正確
[00:06:45.320 --> 00:06:48.120]  換言之純正的話語就是福音
[00:06:48.120 --> 00:06:49.200]  福音是什麼呢
[00:06:49.200 --> 00:06:53.280]  就是耶穌基督為我們的罪被釘在十字架上
[00:06:53.280 --> 00:06:54.960]  第三天又復活
[00:06:54.960 --> 00:06:58.280]  叫相信祂的人不折棉忘返得永生
[00:06:58.280 --> 00:07:03.480]  所以就好像是提摩大前書第一章裡面第十五節提到
[00:07:03.480 --> 00:07:07.280]  「這話可信,值得完全接受
[00:07:07.280 --> 00:07:11.400]  基督耶穌到世上來是要拯救罪人
[00:07:11.400 --> 00:07:15.400]  這就是信仰的核心就是福音的意思
[00:07:15.400 --> 00:07:18.600]  神的意思就是叫我們直著相信耶穌基督
[00:07:18.600 --> 00:07:22.040]  離開罪惡回轉歸向神
[00:07:22.040 --> 00:07:24.400]  以致我們有新的生命
[00:07:24.400 --> 00:07:29.880]  有著聖靈的能力我們行出聖經所教我們的敬虔的教訓
[00:07:29.880 --> 00:07:32.880]  所以我們有一個敬虔的生命
[00:07:32.880 --> 00:07:34.440]  那什麼叫敬虔呢
[00:07:34.440 --> 00:07:36.720]  敬虔基本的意思就是說縮起來
[00:07:36.720 --> 00:07:39.720]  就是說表示一種很敬畏的心態
[00:07:39.720 --> 00:07:42.280]  以致我們的言行都很謹慎
[00:07:42.280 --> 00:07:44.280]  我們是專行神的話語
[00:07:44.280 --> 00:07:51.160]  所以純正的話語和純正的福音
[00:07:51.160 --> 00:07:54.280]  和敬虔的教導是分不開的
[00:07:54.280 --> 00:07:58.680]  所以提摩大前書也有提到一章第五節
[00:07:58.680 --> 00:08:01.240]  「但命令的目的就是愛
[00:08:01.240 --> 00:08:03.720]  這愛是出於清潔的心
[00:08:03.720 --> 00:08:07.080]  無愧的良心和無偽的信心
[00:08:07.080 --> 00:08:09.680]  有信就有愛」
[00:08:09.680 --> 00:08:13.080]  所以一個人有純正的福音接受了
[00:08:13.080 --> 00:08:14.880]  自然生命得著改變
[00:08:14.880 --> 00:08:17.000]  過一個敬虔的生命
[00:08:17.000 --> 00:08:20.840]  在我們教會我認識一位長者
[00:08:20.840 --> 00:08:22.960]  九十幾歲信了耶穌
[00:08:22.960 --> 00:08:25.280]  生命都得著很大的改變
[00:08:25.280 --> 00:08:29.280]  這位長者雖然身體虛弱
